C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |NGC 4030b                          UGC 6998                           |Galaxy                            |12 00 47.6945334528 -00 01 24.049061400|276.7233063957481 +60.2457560489536|   -2.358 1.431   |     ~   |~               |1.318 0.891    |    1|   31.0000  Mpc |                         |redshift|2019A&A...631A..38L
2   |NGC 4044                           NGC 4044                           |Radio Galaxy                      |12 02 29.5143882864 -00 12 44.758678104|277.6588489808596 +60.2353473061280|            ~ ~   |     ~   |~               |0.783 0.658    |    1|   89.46    Mpc |                         |redshift|2007ApJ...655..790C
3   |HD 104262                                                             |Star                              |12 00 24.2237303040 -00 41 30.336497844|277.0647087351151 +59.5922569407217|  -48.712 8.160   |9.18     |F7V             |    ~     ~    |    1|  144.957   pc  |  -0.4455     +0.4455    |paral   |2020yCat.1350....0G
4   |BD+00 2876                                                            |High Proper Motion Star           |12 00 55.4417357952 -00 43 54.011292492|277.3322390736682 +59.6057113791346|  -52.279 4.512   |10.7     |F8              |    ~     ~    |    1|  247.856   pc  |  -3.5262     +3.5262    |paral   |2020yCat.1350....0G
5   |HD 104408                                                             |Star                              |12 01 27.4147214016 -00 21 52.670416248|277.2958817326791 +59.9957490354555|  -6.889 -9.603   |8.90     |A5/7            |    ~     ~    |    1|  119.082   pc  |  -0.3262     +0.3262    |paral   |2020yCat.1350....0G
6   |HD 104409                                                             |Spectroscopic Binary              |12 01 27.9320519232 -00 22 43.510222344|277.3107287921386 +59.9835449982923|    3.732 7.328   |8.34     |G8/K2           |    ~     ~    |    1|  193.844   pc  |  -1.5331     +1.5331    |paral   |2020yCat.1350....0G
7   |HD 104356                                                             |High Proper Motion Star           |12 01 01.7386341936 -01 46 05.398393800|278.1450793858085 +58.6564365120623|-19.141 -73.957   |6.316    |K1III           |    ~     ~    |    1|  168.424   pc  |  -0.6496     +0.6496    |paral   |2020yCat.1350....0G
8   |HD 104355                                                             |High Proper Motion Star           |12 01 02.5681551912 -01 35 32.738020692|278.0245542934106 +58.8207051472760|-164.901 -83.901  |9.21     |G5V             |    ~     ~    |    1|   52.402   pc  |  -0.0497     +0.0497    |paral   |2020yCat.1350....0G
9   |BD-00 2522                                                            |Horizontal Branch Star            |12 01 15.9143340144 -00 56 37.976176284|277.6476255015347 +59.4422394812896|  -1.564 -1.439   |10.083   |G5              |    ~     ~    |    1|  790.199   pc  | -46.7200    +46.7200    |ST-L    |2020AJ....160...83S
10  |BD-00 2523                                                            |Star                              |12 02 32.4073869504 -01 34 28.590958200|278.6846709125447 +58.9758225231584| 38.125 -21.287   |9.88     |G0              |    ~     ~    |    1|   98.767   pc  |  -0.6551     +0.6551    |ST-L    |2020AJ....160...83S
11  |BD-01 2603                                                            |High Proper Motion Star           |12 00 02.7477952848 -02 14 36.848356188|278.0496791864815 +58.1236620730443|  45.459 41.196   |9.924    |G0              |    ~     ~    |    1|  115.438   pc  |  -0.8917     +0.8917    |ST-L    |2020AJ....160...83S
12  |Ross 920                                                              |High Proper Motion Star           |12 01 07.0438309911 -01 43 53.588204863|278.1582251719619 +58.6986508873032|-459.058 197.996  |10.95    |K4              |    ~     ~    |    1|   50.3547  pc  |  -0.0461     +0.0461    |paral   |2020yCat.1350....0G
13  |BD-01 2606                                                            |Star                              |12 01 26.5744488576 -02 13 24.753832968|278.6507408618141 +58.2715763617324| -23.909 -2.291   |9.55     |K0              |    ~     ~    |    1|  503.931   pc  |  -4.7742     +4.7742    |paral   |2020yCat.1350....0G
14  |HD 104485                                                             |Star                              |12 01 58.0342939584 -02 14 18.025001916|278.8930439635307 +58.3055453091060|  9.041 -29.020   |9.23     |G5V             |    ~     ~    |    1|  176.258   pc  |  -0.9413     +0.9413    |paral   |2020yCat.1350....0G
15  |BD-01 2605                                                            |Star                              |12 00 53.4135326640 -02 41 34.312028712|278.7322681820730 +57.7842825567463|  2.149 -26.645   |10.02    |G0              |    ~     ~    |    1|  235.172   pc  |  -3.2090     +3.2090    |ST-L    |2020AJ....160...83S
