C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 106561                                                                                                |Star                                |12 15 24.1615008600 -00 16 00.298727292|283.9219511187747 +61.2679033181995| -18.246 10.829   |9.08     |K2III          |    ~     ~    |    1|  845.952   pc  | -13.8833    +13.8833  |paral   |2020yCat.1350....0G
2   |HD 106860                                                                                                |Star                                |12 17 24.1231745520 -00 00 39.712492296|284.7734051694031 +61.6549013904121| -13.139 -6.728   |9.60     |F7V            |    ~     ~    |    1|  208.086   pc  |  -0.7621     +0.7621  |paral   |2020yCat.1350....0G
3   |HD 107090                                                                                                |High Proper Motion Star             |12 18 49.5168048216 -00 06 44.706886776|285.5526384900799 +61.6539641272110|-106.996 -82.862  |9.53     |G6V            |    ~     ~    |    1|  139.318   pc  |  -0.4814     +0.4814  |paral   |2020yCat.1350....0G
4   |HD 107307                                                                                                |High Proper Motion Star             |12 20 15.1798705752 -00 08 40.562917296|286.2968663199340 +61.7158059641635|-49.929 -11.150   |8.34     |F2V            |    ~     ~    |    1|  159.008   pc  |  -0.5866     +0.5866  |paral   |2020yCat.1350....0G
5   |BD+00 2929                                                                                               |Star                                |12 20 53.8572301560 -00 13 27.920286804|286.6682223233697 +61.6791745808313| -2.093 -23.216   |10.04    |F5             |    ~     ~    |    1|  199.291   pc  |  -0.6434     +0.6434  |paral   |2020yCat.1350....0G
6   |BD+00 2931                                                                                               |High Proper Motion Star             |12 21 16.4103736152 -00 15 05.960053296|286.8743381482219 +61.6760678969930| -83.236 17.877   |9.93     |G9V            |    ~     ~    |    1|  175.973   pc  |  -0.6162     +0.6162  |paral   |2020yCat.1350....0G
7   |HD 107534                                                                                                |Star                                |12 21 37.8185290776 -00 09 28.791405972|287.0084522203536 +61.7887369350913|-27.246 -17.255   |8.08     |K2IVCNII       |    ~     ~    |    1|  178.495   pc  |  -0.9048     +0.9048  |paral   |2020yCat.1350....0G
8   |PPM 705719                                                                                               |High Proper Motion Star             |12 20 34.0463215224 -00 15 54.749151360|286.5214334243513 +61.6190228257040| 56.015 -13.888   |10.5     |M1.8           |    ~     ~    |    1|   35.575   pc  |  -0.0256     +0.0256  |paral   |2020yCat.1350....0G
9   |HD 106497                                                                                                |Star                                |12 15 00.3046863552 -00 39 39.437154612|283.9612833132674 +60.8618049168418| 16.200 -17.527   |8.88     |G8III          |    ~     ~    |    1|  817.862   pc  | -12.2408    +12.2408  |paral   |2020yCat.1350....0G
10  |BD+00 2915                                                                                               |Star                                |12 15 03.9815269680 -00 34 12.141658092|283.9373065129208 +60.9532619249850| 34.164 -31.809   |10.09    |F8             |    ~     ~    |    1|  167.093   pc  |  -0.4328     +0.4328  |paral   |2020yCat.1350....0G
11  |* 13 Vir                                                                                                 |Star                                |12 18 40.3174863528 -00 47 13.863547104|285.8463503205607 +60.9929680644418| 33.554 -16.527   |5.897    |A5IV/V         |    ~     ~    |    1|  114.981   pc  |  -0.6809     +0.6809  |paral   |2020yCat.1350....0G
12  |HD 107147                                                                                                |Star                                |12 19 13.8159736512 -00 35 52.655026092|286.0233353101230 +61.2119887427331| 36.080 -14.415   |9.49     |G5V            |    ~     ~    |    1|  134.647   pc  |  -0.3010     +0.3010  |paral   |2020yCat.1350....0G
13  |NAME Zaniah                        * eta Vir                                                             |Spectroscopic Binary                |12 19 54.3423981960 -00 40 00.466313196|286.3987331467812 +61.1886853758347|-54.665 -17.642   |3.90     |A2IV           |0.0017  0.0    |    1|   75.935   pc  |  -4.2415     +4.2415  |paral   |2020yCat.1350....0G
14  |BD+00 2930                                                                                               |Star                                |12 21 15.9498189600 -00 38 58.345174320|287.0743660592283 +61.2898081425583| -33.435 18.137   |9.80     |F8V            |    ~     ~    |    1|  228.092   pc  |  -1.1758     +1.1758  |paral   |2020yCat.1350....0G
15  |BD+00 2933                                                                                               |Red Giant Branch star               |12 21 57.4448994168 -00 35 43.089501912|287.3969700380330 +61.3840794035707| -20.917 13.336   |10.5     |K2             |    ~     ~    |    1|  544.366   pc  |  -6.6675     +6.6675  |paral   |2020yCat.1350....0G
16  |BD+00 2934                                                                                               |Red Giant Branch star               |12 22 07.3267958016 -00 45 43.080895620|287.5626017625762 +61.2319324035050| -31.196 11.664   |10.17    |K0             |    ~     ~    |    1|  346.644   pc  |  -2.4032     +2.4032  |paral   |2020yCat.1350....0G
17  |HD 106498                                                                                                |Star                                |12 15 00.0188534904 -01 19 35.733673884|284.3467995352653 +60.2237327486960|  -41.885 0.079   |7.48     |K0III          |    ~     ~    |    1|  233.836   pc  |  -1.8536     +1.8536  |paral   |2020yCat.1350....0G
18  |HD 106562                                                                                                |Star                                |12 15 22.2713378424 -01 05 32.122569012|284.3922642129322 +60.4747319340515|  -22.661 3.657   |9.62     |F0/2IV         |    ~     ~    |    1|  337.462   pc  |  -2.1182     +2.1182  |paral   |2020yCat.1350....0G
