C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:58

dec< 0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2350

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 7767                                                                                                  |Star                                |01 16 42.0934103664 -41 10 49.586107800|284.2512555055068 -75.0184975370379|   17.662 5.790   |7.40     |K0III             |    ~     ~    |    1|  191.766   pc  |  -0.6509     +0.6509  |paral   |2020yCat.1350....0G
2   |HD 7868                                                                                                  |Spectroscopic Binary                |01 17 45.5034602040 -41 16 28.261908120|283.6846459524456 -74.8552372008344| 164.197 29.707   |9.669    |F8V               |    ~     ~    |    1|  122.796   pc  |  -0.9597     +0.9597  |ST-L    |2020AJ....160...83S
3   |HD 7884                                                                                                  |Double or Multiple Star             |01 17 50.7642648480 -41 15 02.003747868|283.5906780686719 -74.8708421825485|-116.560 -44.267  |9.49     |G6V               |0.0033  0.0    |    1|   93.824   pc  |  -6.4208     +6.4208  |paral   |2020yCat.1350....0G
4   |HD 7885                                                                                                  |Spectroscopic Binary                |01 17 54.2844743568 -41 35 17.579864256|284.0498846989549 -74.5554396379150|132.605 -64.335   |9.56     |G8IV/V            |    ~     ~    |    1|  140.691   pc  |  -0.9501     +0.9501  |paral   |2020yCat.1350....0G
5   |HD 7706                                                                                                  |High Proper Motion Star             |01 16 12.0437730672 -42 00 34.979824620|285.7286239490218 -74.2811966331560|-55.881 -21.326   |6.578    |K2III             |    ~     ~    |    1|  155.008   pc  |  -0.3916     +0.3916  |paral   |2020yCat.1350....0G
6   |HD 7778                                                                                                  |Star                                |01 16 46.1398515144 -41 52 18.179503860|285.1800258732355 -74.3720071678265| 12.148 -15.200   |8.66     |K3/4(III)         |    ~     ~    |    1|  713.267   pc  | -10.2767    +10.2767  |paral   |2020yCat.1350....0G
7   |CD-42 454                                                                                                |Star                                |01 18 17.9581150176 -42 10 45.210431964|284.6302089372021 -73.9810403335206|  22.115 -7.381   |10.50    |~                 |    ~     ~    |    1|  226.424   pc  |  -1.1176     +1.1176  |paral   |2020yCat.1350....0G
8   |HD 7718                                                                                                  |Star                                |01 16 18.2620300128 -42 28 47.590848372|286.2626874925467 -73.8340799104526|  31.156 35.067   |8.63     |F5V               |    ~     ~    |    1|  114.099   pc  |  -0.1979     +0.1979  |paral   |2020yCat.1350....0G
9   |HD 7795                                                                                                  |High Proper Motion Star             |01 17 00.8234907240 -42 31 57.837640296|285.8903459491816 -73.7388124055246| 48.737 -22.561   |7.852    |B9III/IV          |    ~     ~    |    1|  260.892   pc  |  -2.3074     +2.3074  |paral   |2020yCat.1350....0G
10  |CD-43 379                                                                                                |High Proper Motion Star             |01 17 43.1359374624 -42 58 45.549477552|286.0206023542273 -73.2753155357663| 40.522 -35.210   |10.564   |~                 |    ~     ~    |    1|  229.851   pc  |  -2.8270     +2.8270  |ST-L    |2020AJ....160...83S
11  |CD-42 436                                                                                                |Star                                |01 15 00.8773639056 -42 04 46.248108024|286.5806775453141 -74.2918862787835|  20.974 -3.435   |10.451   |~                 |    ~     ~    |    1|  300.366   pc  |  -5.3380     +5.3380  |ST-L    |2020AJ....160...83S
