C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2949                                                                                                                                                                     |Star                                  |12 30 30.2471083536 -00 06 35.601589728|291.6152284023042 +62.3010096875567|-11.051 -11.292   |10.25    |F8             |    ~     ~    |    1|  251.111   pc  |  -1.9358     +1.9358    |paral   |2020yCat.1350....0G
2   |HD 109204                                                                                                                                                                      |High Proper Motion Star               |12 32 58.8815550168 -00 16 24.472274628|292.9859322484256 +62.2413370621534| -82.970 54.788   |8.32     |F0V            |    ~     ~    |    1|  103.291   pc  |  -0.2955     +0.2955    |paral   |2020yCat.1350....0G
3   |BD-00 2585                                                                                                                                                                     |Star                                  |12 30 08.0738263128 -00 48 26.788604256|291.6801091319632 +61.5980281774731|  -15.670 8.753   |10.14    |G0             |    ~     ~    |    1|  156.382   pc  |  -0.5087     +0.5087    |paral   |2020yCat.1350....0G
4   |BD-00 2586                                                                                                                                                                     |Spectroscopic Binary                  |12 31 41.3682662880 -01 16 33.859846344|292.6435530526005 +61.2005641450474|  -11.472 2.681   |10.59    |F8             |    ~     ~    |    1|  231.610   pc  |  -1.2177     +1.2177    |paral   |2020yCat.1350....0G
5   |HD 109098                                                                                                                                                                      |Star                                  |12 32 04.4496181008 -01 46 20.490935016|292.9989962726484 +60.7254005998566| -25.712 38.503   |7.31     |G3/5V          |    ~     ~    |    1|   57.201   pc  |  -0.0887     +0.0887    |paral   |2020yCat.1350....0G
6   |TYC 4948-119-1                                                                                                                                                                 |Star                                  |12 32 11.7836478960 -00 25 57.635700780|292.6244041605633 +62.0533772352478| -2.278 -12.628   |10.4     |K5             |    ~     ~    |    1|  939.055   pc  | -15.2556    +15.2556    |paral   |2020yCat.1350....0G
7   |BD-00 2588                                                                                                                                                                     |Star                                  |12 33 12.8139400896 -01 26 19.104810828|293.4751506531563 +61.0980411524081|    8.887 8.797   |10.08    |G5             |    ~     ~    |    1|  125.078   pc  |  -0.2879     +0.2879    |paral   |2020yCat.1350....0G
8   |HD 108835                                                                                                                                                                      |Star                                  |12 30 19.5227937912 -01 56 33.094503168|292.1755812604416 +60.4875478158908| 11.968 -26.096   |8.98     |A0V            |    ~     ~    |    1|  391.727   pc  |  -6.8439     +6.8439    |paral   |2020yCat.1350....0G
9   |HD 108946                                                                                                                                                                      |Double or Multiple Star               |12 31 09.8857067808 -02 04 00.760104264|292.6360730667773 +60.3989702304496|  -6.143 -3.560   |9.91     |G2/3V          |    ~     ~    |    1|  127.483   pc  |  -0.3315     +0.3315    |paral   |2020yCat.1350....0G
10  |BD-01 2679                                                                                                                                                                     |Star                                  |12 30 33.5088610752 -02 44 29.503602780|292.5526421324757 +59.7087873131538|  25.559 -3.185   |10.46    |G0             |    ~     ~    |    1|  295.430   pc  |  -1.8154     +1.8154    |paral   |2020yCat.1350....0G
11  |BD-01 2680                                                                                                                                                                     |Star                                  |12 30 52.7205393264 -02 24 54.423394704|292.6057989511992 +60.0437908542965|   14.503 3.702   |10.35    |F5             |    ~     ~    |    1|  245.026   pc  |  -1.5250     +1.5250    |paral   |2020yCat.1350....0G
12  |HD 109205                                                                                                                                                                      |Star                                  |12 33 02.8737234720 -02 17 26.573898048|293.6438072724335 +60.2489695581274|  8.714 -25.533   |8.61     |F0V            |    ~     ~    |    1|  217.576   pc  |  -1.1598     +1.1598    |paral   |2020yCat.1350....0G
13  |TYC 4948-1033-1                                                                                                                                                                |Star                                  |12 31 11.4254380392 -02 08 38.449133664|292.6736559542098 +60.3238329471799| -35.264 -8.061   |10.052   |~              |    ~     ~    |    1|  116.245   pc  |  -0.8194     +0.8194    |ST-L    |2020AJ....160...83S
14  |TYC 4951-1-1                                                                                                                                                                   |Star                                  |12 33 14.9203154520 -02 34 29.446763016|293.8246078085171 +59.9748733691679|  -34.075 6.983   |10.39    |~              |    ~     ~    |    1|  869.868   pc  | -39.2712    +39.2712    |paral   |2020yCat.1350....0G
15  |TYC 4948-16-1                                                                                                                                                                  |Star                                  |12 31 03.0107468592 -00 43 32.403798660|292.1258667513691 +61.7175811869216|  -10.538 2.620   |10.6     |~              |    ~     ~    |    1| 3503.854   pc  |-257.8169   +257.8169    |paral   |2020yCat.1350....0G
