C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 111059                                                                                                |Star                                |12 46 40.0237148928 -00 39 44.787683736|300.3753020737337 +62.1856214316392|  -27.226 2.905   |8.28     |G8III            |    ~     ~    |    1|  320.328   pc  |  -2.5550     +2.5550    |paral   |2020yCat.1350....0G
2   |HD 110916                                                                                                |Star                                |12 45 31.8008393976 -01 19 33.171704832|299.8352083856854 +61.5103388790830|   -8.356 3.181   |9.38     |G8/K0III/IV      |    ~     ~    |    1|  597.800   pc  |  -6.4683     +6.4683    |paral   |2020yCat.1350....0G
3   |HD 111044                                                                                                |Star                                |12 46 32.3819134632 -00 49 17.564102724|300.3209496021760 +62.0253674949936|  -22.243 1.466   |8.31     |G8III/IV         |    ~     ~    |    1|  341.087   pc  |  -3.1179     +3.1179    |paral   |2020yCat.1350....0G
4   |HD 111135                                                                                                |Star                                |12 47 08.2246801968 -01 07 47.669648088|300.6622723634130 +61.7228846727233| -21.423 -6.677   |10.07    |F2V              |    ~     ~    |    1|  228.822   pc  |  -1.1990     +1.1990    |paral   |2020yCat.1350....0G
5   |BD-01 2725                                                                                               |Red Giant Branch star               |12 47 03.6526241280 -02 05 07.281009060|300.6922805905767 +60.7673563408124|  -3.774 -6.685   |10.96    |M0               |    ~     ~    |    1| 2267.574   pc  | -98.7243    +98.7243    |paral   |2020yCat.1350....0G
6   |HD 110917                                                                                                |Red Giant Branch star               |12 45 31.2836286744 -02 33 46.349928432|299.9508373489858 +60.2746220108604|-15.958 -40.227   |9.64     |K0(IV)           |    ~     ~    |    1|  210.323   pc  |  -5.7860     +5.7860    |paral   |2020yCat.1350....0G
7   |NGC 4668                           NGC 4668                                                              |Galaxy in Pair of Galaxies          |12 45 31.941 -00 32 02.36              |299.754535 +62.301320              |            ~ ~   |     ~   |~                |0.913 0.438    |    1|   14.79    Mpc |  -1.80       +1.80      |T-F     |2020ApJ...902..145K
8   |NGC 4684                           NGC 4684                                                              |Galaxy towards a Group of Galaxies  |12 47 17.5097110680 -02 43 38.661355884|300.8528654580375 +60.1276036535096|    0.555 1.360   |     ~   |~                |1.950 0.741    |    1|   13.366   Mpc |                         |redshift|2019A&A...631A..38L
9   |BD+00 2990                                                                                               |Star                                |12 51 14.8865518128 -00 00 57.624117732|302.8279200394623 +62.8557025563323|  -44.155 1.919   |9.83     |~                |    ~     ~    |    1|  186.937   pc  |  -1.8311     +1.8311    |paral   |2020yCat.1350....0G
10  |HD 111275                                                                                                |High Proper Motion Star             |12 48 06.3792690960 -00 21 33.418777320|301.1278879890252 +62.5007940889754| -87.946 -7.620   |7.99     |F8V              |    ~     ~    |    1|   68.187   pc  |  -0.1344     +0.1344    |paral   |2020yCat.1350....0G
