C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:10:47

dec< 0&rah >=13.0&rah< 13.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5348

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 113905                                                                                                |Star                                |13 06 53.6723387424 -00 11 22.562476692|311.3044301033660 +62.4306163422208|   -5.362 9.703   |9.20     |G8III/IV         |    ~     ~    |    1|  795.292   pc  | -11.5746    +11.5746  |paral   |2020yCat.1350....0G
2   |NGC 4904                           NGC 4904                                                              |Seyfert 1 Galaxy                    |13 00 58.667 -00 01 38.83              |308.145992 +62.747675              |            ~ ~   |     ~   |~                |1.010 0.889    |    1|   14.93    Mpc |  -1.75       +1.75    |T-F     |2020ApJ...902..145K
3   |BD+00 3014                                                                                               |Star                                |13 04 30.3318420456 -00 06 02.345354712|310.0429334889355 +62.5905351776493|  -16.805 4.368   |10.2     |~                |    ~     ~    |    1| 2309.469   pc  |-113.0733   +113.0733  |paral   |2020yCat.1350....0G
4   |HD 112977                                                                                                |High Proper Motion Star             |13 00 32.8602627912 -00 31 47.727633540|307.8284833439163 +62.2551824011770| 58.739 -46.702   |9.48     |F3V              |    ~     ~    |    1|  167.830   pc  |  -0.5662     +0.5662  |paral   |2020yCat.1350....0G
5   |BD+00 3013                                                                                               |Star                                |13 03 34.4442158088 -00 34 49.996331328|309.4345775176907 +62.1378679420303|-25.984 -21.490   |9.92     |K5               |    ~     ~    |    1|  494.291   pc  |  -4.0802     +4.0802  |paral   |2020yCat.1350....0G
6   |HD 113564                                                                                                |Star                                |13 04 38.5291888344 -00 43 41.914041744|309.9680359015350 +61.9629149069754|  5.942 -19.867   |7.19     |K0/1III          |    ~     ~    |    1|  463.886   pc  |  -6.2190     +6.2190  |paral   |2020yCat.1350....0G
7   |HD 113787                                                                                                |Star                                |13 06 10.8704642688 -00 38 18.033244260|310.8037782697489 +62.0078579886236| -31.146 -1.270   |9.60     |F1V              |    ~     ~    |    1|  267.315   pc  |  -1.5006     +1.5006  |paral   |2020yCat.1350....0G
8   |BD+00 3019                                                                                               |Star                                |13 06 30.6867881712 -00 29 50.232839028|311.0159189011756 +62.1376344518007|  -3.539 -3.112   |10.6     |K0               |    ~     ~    |    1|  514.377   pc  |  -5.0800     +5.0800  |paral   |2020yCat.1350....0G
9   |BD+00 3021                                                                                               |High Proper Motion Star             |13 07 13.4585478768 -00 27 05.571749376|311.4067832699136 +62.1601565974667| 51.002 -37.080   |9.89     |K2               |    ~     ~    |    1|  261.623   pc  |  -1.2868     +1.2868  |paral   |2020yCat.1350....0G
10  |HD 112916                                                                                                |Star                                |13 00 07.6593393888 -01 11 09.407879484|307.5035232881079 +61.6086432645648|   7.341 12.276   |7.53     |A8/9V            |    ~     ~    |    1|  111.511   pc  |  -0.3619     +0.3619  |paral   |2020yCat.1350....0G
11  |HD 112942                                                                                                |High Proper Motion Star             |13 00 22.5891702648 -01 41 19.731023916|307.5580406128905 +61.1026193992421| -57.388 -5.562   |10.18    |F0/2V            |    ~     ~    |    1|  270.424   pc  |  -1.7770     +1.7770  |paral   |2020yCat.1350....0G
12  |TYC 4957-865-1                                                                                           |Star                                |13 00 23.0896536240 -00 44 21.313207104|307.7079551347114 +62.0494978650725|  -14.405 6.373   |10.8     |F8               |    ~     ~    |    1|  266.290   pc  |  -1.4749     +1.4749  |paral   |2020yCat.1350....0G
13  |BD-00 2643                                                                                               |High Proper Motion Star             |13 00 56.2447674240 -01 05 49.031103768|307.9424464801077 +61.6823428424960|-102.417 -81.359  |10.09    |G5               |    ~     ~    |    1|   96.782   pc  |  -0.2613     +0.2613  |paral   |2020yCat.1350....0G
14  |BD-00 2645                                                                                               |Star                                |13 01 35.8423157232 -01 31 43.542871176|308.2144162797280 +61.2387401805387| -17.018 -7.048   |10.21    |F8               |    ~     ~    |    1|  139.831   pc  |  -0.3754     +0.3754  |paral   |2020yCat.1350....0G
15  |BD-00 2646                                                                                               |Star                                |13 01 49.2612282864 -01 10 59.141068464|308.3909993538494 +61.5785478564219|  -41.153 5.539   |10.40    |F8               |    ~     ~    |    1|  202.049   pc  |  -1.1839     +1.1839  |paral   |2020yCat.1350....0G
16  |HD 113307                                                                                                |Star                                |13 02 48.6785156736 -00 47 39.937062264|308.9854129103749 +61.9435684556013|-16.974 -10.858   |8.75     |K5III            |    ~     ~    |    1|  690.179   pc  | -11.0989    +11.0989  |paral   |2020yCat.1350....0G
17  |HD 113325                                                                                                |Star                                |13 02 57.1443049416 -01 30 25.981315020|308.9193447833598 +61.2305990963183|  -0.203 25.729   |9.28     |G1V              |    ~     ~    |    1|  165.440   pc  |  -0.4461     +0.4461  |paral   |2020yCat.1350....0G
18  |HD 113424                                                                                                |High Proper Motion Star             |13 03 38.2454049960 -01 07 44.650392276|309.3514858097820 +61.5905249543820|  77.495 55.702   |9.76     |F7V              |    ~     ~    |    1|  101.864   pc  |  -0.1868     +0.1868  |paral   |2020yCat.1350....0G
19  |BD-00 2651                                                                                               |Star                                |13 03 59.9911568616 -00 52 07.507215876|309.5974030044463 +61.8403125560706|  -47.653 7.845   |10.07    |F0               |    ~     ~    |    1|  294.638   pc  |  -2.8300     +2.8300  |paral   |2020yCat.1350....0G
20  |HD 113641                                                                                                |Star                                |13 05 11.1229818288 -01 09 54.962170776|310.1511363283354 +61.5136326263502|  -0.598 -3.103   |9.01     |K0III            |    ~     ~    |    1|  519.669   pc  |  -5.8332     +5.8332  |paral   |2020yCat.1350....0G
