C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
1   |BD+00 3038                                                                                                                                                                                                        |Star                              |13 15 22.7461723056 -00 03 16.639388856|315.8575655553330 +62.2147923770809|-13.738 -12.419     |9.77     |K0                  |    ~     ~    
2   |BD+00 3042                                                                                                                                                                                                        |High Proper Motion Star           |13 18 10.7595772680 -00 06 33.049897884|317.2965330993787 +62.0144582840036| 49.243 -20.050     |10.8     |G0                  |    ~     ~    
3   |HD 115488                                                                                                                                                                                                         |Double or Multiple Star           |13 17 29.8510032840 -00 40 33.865038804|316.6858637402137 +61.4978197221037| -66.836 -2.303     |6.351    |A9V                 |    ~     ~    
4   |BD+00 3041                                                                                                                                                                                                        |Eclipsing Binary                  |13 17 42.9229773384 -00 33 44.637253560|316.8483421096300 +61.5972979850043|-105.479 11.527     |10.75    |G5                  |    ~     ~    
5   |HD 115152                                                                                                                                                                                                         |Star                              |13 15 20.9820350208 -01 44 45.659992380|315.1579968995482 +60.5568681625275| -28.851 -5.235     |8.80     |G2V                 |    ~     ~    
6   |BD-00 2673                                                                                                                                                                                                        |Star                              |13 16 18.7072285584 -00 58 08.340534264|315.9542032907201 +61.2722810826197| -38.442 -3.843     |10.8     |K0                  |    ~     ~    
7   |HD 115479                                                                                                                                                                                                         |Star                              |13 17 27.1771212720 -01 41 02.867191368|316.2303816705145 +60.5141681694377|  -35.825 6.563     |8.73     |F2III               |    ~     ~    
8   |BD-01 2794                                                                                                                                                                                                        |High Proper Motion Star           |13 16 36.5584815912 -02 08 48.407132040|315.6263871782048 +60.1030997536308| -47.026 18.151     |10.83    |G0                  |    ~     ~    
9   |V* DK Vir                                                                                                                                                                                                         |delta Sct Variable                |13 16 25.4834125536 -01 23 25.945922184|315.8373787183537 +60.8535780818892|-32.817 -31.316     |6.681    |F0IV/V              |    ~     ~    
10  |BD-01 2791                                                                                                                                                                                                        |High Proper Motion Star           |13 15 17.1813988824 -02 39 08.175264768|314.7888554152282 +59.6693320298692| -65.729 -1.065     |9.609    |K0                  |    ~     ~    
