C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:15:01

dec< 0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5671

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 3068                                                                                                                                  |High Proper Motion Star            |13 32 06.7296095472 -00 13 25.297517208|324.2541088756652 +60.9530059403664| -90.338 55.905   |9.96     |G0                |    ~     ~    |    1|  120.188   pc  |  -0.2456     +0.2456    |paral   |2020yCat.1350....0G
2   |BD+00 3069                                                                                                                                  |Star                               |13 32 11.6706787704 -00 29 57.210668016|324.1117769819951 +60.6855630952055|  -15.699 2.138   |9.61     |K5                |    ~     ~    |    1| 1277.466   pc  | -29.3745    +29.3745    |paral   |2020yCat.1350....0G
3   |BD-00 2697                                                                                                                                  |Spectroscopic Binary               |13 30 42.4337783472 -01 41 41.358800796|322.6536672716414 +59.6648244068561|  -34.816 0.052   |10.459   |K2                |    ~     ~    |    1|  330.722   pc  | -13.6400    +13.6400    |ST-L    |2020AJ....160...83S
4   |BD-00 2698                                                                                                                                  |Star                               |13 31 05.0594505384 -01 02 04.994783916|323.2347998184103 +60.2648375501493|  -11.716 3.344   |10.448   |F8                |    ~     ~    |    1|  288.075   pc  | -11.7200    +11.7200    |ST-L    |2020AJ....160...83S
5   |BD-00 2699                                                                                                                                  |High Proper Motion Star            |13 31 28.1550046320 -01 43 26.922239112|322.9949507544191 +59.5791897930783|-216.614 -79.315  |10.311   |G0                |    ~     ~    |    1|  125.027   pc  |  -1.2970     +1.2970    |ST-L    |2020AJ....160...83S
6   |HD 117634                                                                                                                                   |High Proper Motion Star            |13 31 45.0316384344 -01 14 21.677050500|323.4252389649160 +60.0186379675898| -2.545 -51.620   |8.42     |K4III             |    ~     ~    |    1|  388.154   pc  |  -4.3240     +4.3240    |paral   |2020yCat.1350....0G
7   |BD-00 2702                                                                                                                                  |Star                               |13 32 08.4192039696 -01 01 36.928684344|323.7446429287657 +60.1897372928257| -9.183 -29.643   |10.06    |K2                |    ~     ~    |    1|  219.993   pc  |  -0.8276     +0.8276    |paral   |2020yCat.1350....0G
8   |HD 117419                                                                                                                                   |Star                               |13 30 14.8791987432 -01 53 42.228187980|322.3194029779432 +59.5078822869159|  7.312 -16.990   |7.85     |A0III             |    ~     ~    |    1|  326.179   pc  |  -4.2025     +4.2025    |paral   |2020yCat.1350....0G
9   |HD 117499                                                                                                                                   |Star                               |13 30 43.4293410504 -02 16 33.909421692|322.3212016688971 +59.1087459890196|  6.771 -25.466   |8.76     |K1/2III           |    ~     ~    |    1|  303.524   pc  |  -7.4360     +7.4360    |ST-L    |2020AJ....160...83S
10  |HD 117557                                                                                                                                   |Star                               |13 31 10.3215251424 -02 15 43.852387356|322.5374076669681 +59.0887378713187| -28.013 10.965   |8.60     |K0/1III           |    ~     ~    |    1|  393.672   pc  | -11.1400    +11.1400    |ST-L    |2020AJ....160...83S
11  |HD 117635                                                                                                                                   |Spectroscopic Binary               |13 31 39.9354734900 -02 19 02.873792137|322.7337604088614 +58.9989803869123|-828.835 293.787  |7.36     |G8V               |0.0017  0.0    |    1|   26.469   pc  |  -0.4260     +0.4260    |ST-L    |2020AJ....160...83S
12  |NGC 5183                           NGC 5183                                                                                                 |LINER-type Active Galaxy Nucleus   |13 30 06.1328493048 -01 43 14.214099864|322.3526223676836 +59.6852981041953|            ~ ~   |     ~   |~                 |1.027 0.431    |    1|   46.99    Mpc |  -3.17       +3.17      |T-F     |2020ApJ...902..145K
13  |NGC 5196                           NGC 5196                                                                                                 |LINER-type Active Galaxy Nucleus   |13 31 19.6624949568 -01 36 54.159870060|322.9942452174425 +59.6938802184017|            ~ ~   |     ~   |~                 |0.460 0.396    |    0|                |                         |        |                   
14  |NGC 5197                           NGC 5197                                                                                                 |Galaxy towards a Group of Galaxies |13 31 25.1345382072 -01 41 35.077397028|322.9900306722690 +59.6126153741943|            ~ ~   |     ~   |~                 |0.420 0.176    |    0|                |                         |        |                   
15  |NGC 5184                           NGC 5184                                                                                                 |LINER-type Active Galaxy Nucleus   |13 30 11.4891152736 -01 39 47.294472312|322.4286605508963 +59.7335724727145|            ~ ~   |     ~   |~                 |1.177 0.730    |    1|   65.46    Mpc |                         |        |2016AJ....152...50T
16  |NGC 5192                           NGC 5192                                                                                                 |Emission-line galaxy               |13 30 51.6692911152 -01 46 43.279861224|322.6763488710598 +59.5732737082593|            ~ ~   |     ~   |~                 |0.427 0.265    |    0|                |                         |        |                   
17  |BD+00 3073                                                                                                                                  |Star                               |13 33 44.2217935440 -00 09 44.365853124|325.0846791885950 +60.8770513332130| -14.998 -0.158   |10.22    |F8                |    ~     ~    |    1|  189.739   pc  |  -0.6876     +0.6876    |paral   |2020yCat.1350....0G
18  |HD 118526                                                                                                                                   |Spectroscopic Binary               |13 37 30.3346469496 -00 13 17.340180276|326.8464825740129 +60.4934853518669|    5.752 5.912   |8.76     |F0V               |    ~     ~    |    1|  148.157   pc  |  -2.6955     +2.6955    |paral   |2020yCat.1350....0G
19  |BD+00 3083                                                                                                                                  |Spectroscopic Binary               |13 37 38.8133483400 -00 09 57.072256308|326.9542598092795 +60.5325796743084|  -77.938 5.014   |10.8     |~                 |    ~     ~    |    1|  119.901   pc  |  -1.1760     +1.1760    |paral   |2020yCat.1350....0G
20  |TYC 4966-1346-1                                                                                                                             |Red Giant Branch star              |13 39 02.6264953032 -00 09 39.508639164|327.6170000902441 +60.4089512943719|  -9.315 -2.871   |10.7     |~                 |    ~     ~    |    1| 2582.645   pc  |-142.7391   +142.7391    |paral   |2020yCat.1350....0G
21  |BD+00 3071                                                                                                                                  |Star                               |13 32 51.8724648816 -00 40 48.861173604|324.3153996882363 +60.4601449744604|    2.087 3.657   |10.7     |F6III             |    ~     ~    |    1|  232.245   pc  |  -1.0086     +1.0086    |paral   |2020yCat.1350....0G
22  |HD 118036                                                                                                                                   |Double or Multiple Star            |13 34 16.2586779 -00 18 49.595871      |325.2377133934 +60.6894969561      |  -202.52 25.68   |7.338    |K0V               |    ~     ~    |    1|   26.56    pc  |  -0.92       +0.92      |ST-L    |2010MNRAS.403.1949K
23  |NAME Heze                          * zet Vir                                                                                                |High Proper Motion Star            |13 34 41.5913587272 -00 35 44.939098032|325.2459503978064 +60.3883811887338|-276.903 44.621   |3.38     |A2Van             |    ~     ~    |    1|   22.859   pc  |  -0.1740     +0.1740    |paral   |2020yCat.1350....0G
24  |BD+00 3077                                                                                                                                  |High Proper Motion Star            |13 35 24.7723839888 -00 23 20.766615540|325.7320077935363 +60.5212503876073| 35.117 183.316   |10.270   |K7V               |    ~     ~    |    1|   19.258   pc  |  -0.0066     +0.0066    |paral   |2020yCat.1350....0G
25  |HD 118290                                                                                                                                   |Star                               |13 35 59.5340092200 -00 34 39.614788128|325.8751014250613 +60.2942213623030| 11.756 -22.461   |8.32     |K5III             |    ~     ~    |    1|  568.861   pc  |  -7.7988     +7.7988    |paral   |2020yCat.1350....0G
26  |HD 118579                                                                                                                                   |Star                               |13 37 47.0727509856 -00 37 32.999063844|326.6843571338756 +60.0911083655707|-21.518 -17.936   |9.49     |A5/7II            |    ~     ~    |    1|  232.591   pc  |  -1.3092     +1.3092    |paral   |2020yCat.1350....0G
27  |BD+00 3085                                                                                                                                  |Star                               |13 38 12.3856225296 -00 35 36.543183288|326.9050157359753 +60.0833137537233|  -24.622 3.382   |10.30    |F2                |    ~     ~    |    1|  234.126   pc  |  -1.0799     +1.0799    |paral   |2020yCat.1350....0G
28  |TYC 4966-242-1                                                                                                                              |High Proper Motion Star            |13 33 39.5243374152 -00 15 46.163274372|324.9777908574648 +60.7889063389848|-22.605 -78.360   |10.9     |K0IV              |    ~     ~    |    1|  113.724   pc  |  -0.2444     +0.2444    |paral   |2020yCat.1350....0G
29  |BD-00 2705                                                                                                                                  |Star                               |13 33 44.3075986872 -01 25 29.480347164|324.2459666475427 +59.6849221174744|-35.003 -11.236   |9.58     |G5                |    ~     ~    |    1|  323.373   pc  |  -1.8404     +1.8404    |paral   |2020yCat.1350....0G
30  |BD-00 2706                                                                                                                                  |Star                               |13 34 21.4524950448 -00 51 59.334253812|324.9034090579856 +60.1615489366665| -10.719 -2.095   |9.60     |K2III             |    ~     ~    |    1|  616.371   pc  |  -6.6865     +6.6865    |paral   |2020yCat.1350....0G
31  |HD 118280                                                                                                                                   |Star                               |13 35 52.6000814448 -00 57 53.622126432|325.5527980546708 +59.9406787351425|-28.478 -19.991   |8.82     |K3III             |    ~     ~    |    1|  536.913   pc  | -10.7815    +10.7815    |paral   |2020yCat.1350....0G
32  |BD-00 2709                                                                                                                                  |Star                               |13 36 04.6084111728 -01 20 58.519960368|325.3855920884234 +59.5620004401022|   0.803 -3.170   |10.26    |K2                |    ~     ~    |    1|  770.060   pc  | -14.6469    +14.6469    |paral   |2020yCat.1350....0G
33  |HD 118330                                                                                                                                   |High Proper Motion Star            |13 36 14.6480848248 -00 55 51.561385536|325.7482719424933 +59.9409418610488|-222.442 -54.017  |7.04     |F7V               |    ~     ~    |    1|   50.639   pc  |  -0.0792     +0.0792    |paral   |2020yCat.1350....0G
34  |HD 118390                                                                                                                                   |Star                               |13 36 43.9922462304 -01 15 38.132557272|325.7501645743925 +59.5894008377559|  12.065 -5.490   |8.35     |K0III             |    ~     ~    |    1|  334.963   pc  |  -2.8050     +2.8050    |paral   |2020yCat.1350....0G
35  |HD 118595                                                                                                                                   |Star                               |13 37 55.8807375648 -01 34 26.770910376|326.0875015110506 +59.1913399616020| -25.843 -2.676   |9.12     |K1III             |    ~     ~    |    1|  431.127   pc  |  -3.0669     +3.0669    |paral   |2020yCat.1350....0G
36  |BD-00 2716                                                                                                                                  |Star                               |13 38 15.3229615824 -01 17 15.270667764|326.4339133732843 +59.4309203755323|-44.261 -11.794   |10.02    |K0                |    ~     ~    |    1|   69.311   pc  |  -0.4597     +0.4597    |paral   |2020yCat.1350....0G
37  |HD 118671                                                                                                                                   |High Proper Motion Star            |13 38 24.4721366640 -01 00 01.145627244|326.7065453634220 +59.6856537067512| -56.022 12.857   |9.16     |F5V               |    ~     ~    |    1|  194.375   pc  |  -0.7367     +0.7367    |paral   |2020yCat.1350....0G
38  |BD-00 2719                                                                                                                                  |High Proper Motion Star            |13 38 41.9440742976 -01 14 17.160041040|326.6723421941510 +59.4375857664119|-70.094 -55.508   |9.95     |G5                |    ~     ~    |    1|  167.980   pc  |  -2.2884     +2.2884    |paral   |2020yCat.1350....0G
39  |HD 118850                                                                                                                                   |Star                               |13 39 35.4757722504 -01 13 27.440628132|327.0906641150151 +59.3698812109921|-32.451 -13.194   |9.529    |G8IV              |    ~     ~    |    1|  306.736   pc  |  -6.7500     +6.7500    |ST-L    |2020AJ....160...83S
40  |HD 118916                                                                                                                                   |High Proper Motion Star            |13 40 04.6335078480 -01 36 58.895989812|327.0329762509683 +58.9604960963784|-67.742 -19.283   |9.49     |G2V               |    ~     ~    |    1|   91.954   pc  |  -0.1640     +0.1640    |paral   |2020yCat.1350....0G
41  |BD-01 2837                                                                                                                                  |Spectroscopic Binary               |13 34 22.2841993896 -02 03 56.984576364|324.1336784922044 +59.0272089070330|-19.498 -14.181   |10.63    |G0                |    ~     ~    |    1|  386.612   pc  |  -9.3760     +9.3760    |ST-L    |2020AJ....160...83S
42  |BD-01 2843                                                                                                                                  |Star                               |13 36 46.5721417968 -01 53 10.486472208|325.3503972818458 +58.9978856998834| -26.984 -9.229   |10.21    |G5                |    ~     ~    |    1|  269.840   pc  |  -2.5776     +2.5776    |paral   |2020yCat.1350....0G
43  |HD 118580                                                                                                                                   |Star                               |13 37 53.2057098672 -02 05 21.478464636|325.7201041773803 +58.7121243619364|   -8.232 4.489   |8.66     |F3V               |    ~     ~    |    1|  144.344   pc  |  -0.4855     +0.4855    |paral   |2020yCat.1350....0G
44  |BD-01 2845                                                                                                                                  |Star                               |13 38 25.8912201552 -01 46 05.742942996|326.1827346047836 +58.9656731562037|  -44.348 3.675   |10.562   |G0                |    ~     ~    |    1|  220.506   pc  |  -3.0000     +3.0000    |ST-L    |2020AJ....160...83S
45  |BD-01 2849                                                                                                                                  |Star                               |13 40 24.6968303688 -02 04 55.606381788|326.8578617872921 +58.4961209441509| -16.724 17.608   |10.303   |K0                |    ~     ~    |    1|  760.274   pc  | -36.7100    +36.7100    |ST-L    |2020AJ....160...83S
46  |HD 117832                                                                                                                                   |Star                               |13 32 57.1967890560 -02 25 27.344056764|323.2634619316559 +58.7989872857192|-30.941 -10.091   |7.25     |K0III             |    ~     ~    |    1|  202.511   pc  |  -1.0745     +1.0745    |paral   |2020yCat.1350....0G
47  |HD 118182                                                                                                                                   |Star                               |13 35 13.3548028824 -02 34 24.087677592|324.2059519275161 +58.4782218724245|-33.309 -28.186   |8.84     |F3V               |    ~     ~    |    1|  120.699   pc  |  -1.6855     +1.6855    |paral   |2020yCat.1350....0G
48  |BD-01 2839                                                                                                                                  |High Proper Motion Star            |13 35 19.9683667200 -02 28 45.792844968|324.3141273328704 +58.5582033362371|-216.784 -43.958  |9.54     |G0                |    ~     ~    |    1|  101.054   pc  |  -0.1552     +0.1552    |paral   |2020yCat.1350....0G
49  |BD-01 2841                                                                                                                                  |High Proper Motion Star            |13 35 56.3197092720 -02 33 23.276879100|324.5396950893026 +58.4359526023438|  -63.305 8.201   |9.81     |F8                |    ~     ~    |    1|  147.067   pc  |  -0.3612     +0.3612    |paral   |2020yCat.1350....0G
50  |HD 118363                                                                                                                                   |Star                               |13 36 34.5667131816 -02 30 59.239082664|324.8519533953888 +58.4211289178899|-16.875 -13.287   |8.50     |K3III             |    ~     ~    |    1|  542.094   pc  |  -7.4054     +7.4054    |paral   |2020yCat.1350....0G
51  |HD 118760                                                                                                                                   |Star                               |13 38 54.3836903616 -02 31 50.499705144|325.8848060553512 +58.2098495986361| -27.226 18.282   |7.71     |K4III             |    ~     ~    |    1|  639.632   pc  |  -8.4690     +8.4690    |paral   |2020yCat.1350....0G
52  |HD 118939                                                                                                                                   |Star                               |13 40 13.1200798728 -02 22 18.632860176|326.5736488349620 +58.2430393422491|-29.356 -35.833   |9.59     |K1(III)           |    ~     ~    |    1|  197.049   pc  |  -2.5600     +2.5600    |ST-L    |2020AJ....160...83S
53  |NGC 5211                           NGC 5211                                                                                                 |LINER-type Active Galaxy Nucleus   |13 33 05.3360484144 -01 02 08.955351168|324.1903218901325 +60.1055461019862|            ~ ~   |13.10    |~                 |0.830 0.548    |    1|   55.48    Mpc |                         |redshift|2007ApJ...655..790C
54  |BD-01 2835                                                                                                                                  |Star                               |13 33 53.4045488928 -02 14 07.452106296|323.8075126925648 +58.9049818292079| 35.782 -15.263   |10.44    |~                 |    ~     ~    |    1|   76.949   pc  |  -0.3810     +0.3810    |ST-L    |2020AJ....160...83S
55  |TYC 4966-1044-1                                                                                                                             |Star                               |13 38 01.9276063512 -00 29 14.256411504|326.9005428525882 +60.1980749732493|  -9.989 15.542   |10.8     |~                 |    ~     ~    |    1|  243.564   pc  |  -2.0822     +2.0822    |paral   |2020yCat.1350....0G
56  |BD+00 3080                                                                                                                                  |Star                               |13 36 21.9645 -00 34 00.747            |326.0594106 +60.2717943            | -15.640 -4.912   |10.5     |G0                |    ~     ~    |    0|                |                         |        |                   
57  |BD-00 2718                                                                                                                                  |Spectroscopic Binary               |13 38 30.7971586368 -00 49 21.089845524|326.8824989635930 +59.8420320329949| 18.030 -47.302   |10.71    |G0                |    ~     ~    |    1|  243.078   pc  |  -2.5348     +2.5348    |paral   |2020yCat.1350....0G
58  |BD-00 2711                                                                                                                                  |Star                               |13 36 34.7515261416 -00 58 11.267993172|325.8782032197090 +59.8755462658180|-16.353 -17.702   |10.7     |~                 |    ~     ~    |    1|  427.679   pc  |  -8.0846     +8.0846    |paral   |2020yCat.1350....0G
59  |GEN# +7.81750006                                                                                                                            |Star                               |13 33 45.0 -00 15 06                   |325.0295 +60.7918                  |            ~ ~   |10.98    |~                 |    ~     ~    |    0|                |                         |        |                   
60  |TYC 4966-3-1                                                                                                                                |Star                               |13 31 30.3020566584 -02 00 15.489101232|322.8439686203908 +59.3096033317623| -4.951 -12.115   |10.586   |~                 |    ~     ~    |    1|  397.217   pc  | -10.3100    +10.3100    |ST-L    |2020AJ....160...83S
61  |TYC 4966-15-1                                                                                                                               |Star                               |13 30 54.1041389112 -02 13 55.626480300|322.4293112953383 +59.1375597231582|   -4.086 5.156   |10.943   |~                 |    ~     ~    |    1|  679.483   pc  | -34.2900    +34.2900    |ST-L    |2020AJ....160...83S
62  |TYC 4966-47-1                                                                                                                               |High Proper Motion Star            |13 31 48.0967476312 -00 51 48.769160508|323.6866929879345 +60.3714930024859|-78.553 -43.706   |9.96     |~                 |    ~     ~    |    1|  144.890   pc  |  -0.3926     +0.3926    |paral   |2020yCat.1350....0G
63  |TYC 4966-162-1                                                                                                                              |Star                               |13 30 50.9142440616 -02 23 20.854115196|322.3140991087796 +58.9915463047761| 22.798 -35.385   |10.111   |~                 |    ~     ~    |    1|  197.048   pc  |  -2.5490     +2.5490    |ST-L    |2020AJ....160...83S
64  |TYC 4966-207-1                                                                                                                              |Star                               |13 31 30.0835953912 -01 08 33.065186388|323.3670295094975 +60.1300453912139| -44.389 -1.262   |10.67    |~                 |    ~     ~    |    1|  450.694   pc  |  -4.4281     +4.4281    |paral   |2020yCat.1350....0G
65  |TYC 4966-251-1                                                                                                                              |Star                               |13 30 53.7861600504 -00 13 51.871061244|323.6551904435739 +61.0430484629119| -13.468 -0.225   |10.7     |~                 |    ~     ~    |    1| 1546.790   pc  | -41.3913    +41.3913    |paral   |2020yCat.1350....0G
66  |TYC 4966-296-1                                                                                                                              |Spectroscopic Binary               |13 32 59.4316051392 -00 36 51.768456156|324.4193384258111 +60.5121785931750|  30.771 -9.791   |10.314   |~                 |    ~     ~    |    1|  207.270   pc  |  -4.2130     +4.2130    |ST-L    |2020AJ....160...83S
67  |TYC 4966-388-1                                                                                                                              |Spectroscopic Binary               |13 39 24.1657154136 -01 49 30.527292468|326.5830229240002 +58.8264798980645|  -10.653 8.307   |10.522   |~                 |    ~     ~    |    1| 1188.350   pc  | -85.4100    +85.4100    |ST-L    |2020AJ....160...83S
68  |TYC 4966-484-1                                                                                                                              |Star                               |13 36 04.1360486280 -02 17 33.609775560|324.7652820284120 +58.6742760207416|  -40.750 8.858   |10.75    |~                 |    ~     ~    |    1|  173.726   pc  |  -0.6187     +0.6187    |paral   |2020yCat.1350....0G
69  |TYC 4966-520-1                                                                                                                              |Star                               |13 37 35.6215910448 -02 18 38.299655808|325.4422349946021 +58.5293207756029|   15.955 2.943   |10.58    |~                 |    ~     ~    |    1|  148.672   pc  |  -1.3815     +1.3815    |paral   |2020yCat.1350....0G
70  |TYC 4966-726-1                                                                                                                              |High Proper Motion Star            |13 39 49.3148490384 -02 08 40.771248324|326.5517794321197 +58.4906357334230| -42.974 28.056   |10.875   |~                 |    ~     ~    |    1|  484.499   pc  | -18.8900    +18.8900    |ST-L    |2020AJ....160...83S
71  |TYC 4966-748-1                                                                                                                              |Star                               |13 37 41.2917158496 -02 11 56.260033188|325.5580126652067 +58.6262017697613|  8.109 -22.129   |10.47    |~                 |    ~     ~    |    1|  381.196   pc  | -12.1900    +12.1900    |ST-L    |2020AJ....160...83S
72  |TYC 4966-839-1                                                                                                                              |Star                               |13 33 36.6128309784 -01 38 20.014802916|324.0497975733479 +59.4926240774551|  9.901 -12.136   |10.620   |~                 |    ~     ~    |    1|  851.635   pc  | -36.5700    +36.5700    |ST-L    |2020AJ....160...83S
73  |TYC 4966-1174-1                                                                                                                             |Star                               |13 34 34.0600801440 -00 59 59.768603700|324.9135790471689 +60.0182203422362|  -7.429 -1.037   |10.184   |~                 |    ~     ~    |    1|  271.344   pc  |  -6.1310     +6.1310    |ST-L    |2020AJ....160...83S
74  |TYC 4967-227-1                                                                                                                              |High Proper Motion Star            |13 41 03.5475372024 -02 29 37.498500348|326.8618905759433 +58.0538508024783|-45.542 -58.454   |10.468   |~                 |    ~     ~    |    1|  177.926   pc  |  -1.8780     +1.8780    |ST-L    |2020AJ....160...83S
75  |TYC 4969-60-1                                                                                                                               |Star                               |13 33 20.0796124824 -02 33 18.111264120|323.3597432038885 +58.6451199412139|  25.315 -1.981   |10.910   |~                 |    ~     ~    |    1|  253.040   pc  |  -5.4380     +5.4380    |ST-L    |2020AJ....160...83S
76  |HD 117529                                                                                                                                   |High Proper Motion Star            |13 31 01.1708662968 -02 49 00.189432660|322.1498928753483 +58.5703396152030| -70.495 -9.222   |9.579    |K0III             |    ~     ~    |    1|  371.136   pc  |  -8.6830     +8.6830    |ST-L    |2020AJ....160...83S
77  |HD 117515                                                                                                                                   |Star                               |13 30 51.4275429840 -03 02 59.385472548|321.9456783373023 +58.3592091157975|  -5.663 34.288   |6.91     |K0III             |    ~     ~    |    1|  147.095   pc  |  -1.3960     +1.3960    |ST-L    |2020AJ....160...83S
78  |HD 117530                                                                                                                                   |High Proper Motion Star            |13 30 59.8130009376 -03 30 38.566997424|321.7566032801021 +57.9079143908254| -50.737 -1.461   |9.07     |K0III             |    ~     ~    |    1|  451.756   pc  | -13.1700    +13.1700    |ST-L    |2020AJ....160...83S
79  |BD-02 3701                                                                                                                                  |Double or Multiple Star            |13 32 11.0200624200 -03 06 02.600925948|322.5191691901017 +58.2130187130247|  19.279 -7.368   |8.56     |~                 |0.0017  0.0    |    1|  431.630   pc  |  -4.0614     +4.0614    |paral   |2020yCat.1350....0G
80  |HD 117712                                                                                                                                   |Star                               |13 32 11.2656895680 -03 07 43.884749280|322.5050725076751 +58.1858634785090| -7.011 -16.180   |8.98     |F2/3V             |    ~     ~    |    1|  217.761   pc  |  -1.6929     +1.6929    |paral   |2020yCat.1350....0G
81  |HD 117731                                                                                                                                   |High Proper Motion Star            |13 32 15.8501084760 -03 33 57.029517972|322.2945686580721 +57.7629468024675| -51.373 -8.223   |8.61     |F3V               |    ~     ~    |    1|  116.904   pc  |  -0.2638     +0.2638    |paral   |2020yCat.1350....0G
82  |BD-03 3482                                                                                                                                  |Star                               |13 30 03.1324641648 -04 14 02.254785612|320.9542927700132 +57.2804184310468| -10.826 -1.600   |9.39     |M3                |    ~     ~    |    1| 1005.632   pc  | -16.9898    +16.9898    |paral   |2020yCat.1350....0G
83  |BD-03 3488                                                                                                                                  |High Proper Motion Star            |13 31 06.1704053592 -04 06 19.995433740|321.4864291980250 +57.3303324552393|  49.796 16.815   |10.4     |K2V               |    ~     ~    |    1|   61.686   pc  |  -0.2448     +0.2448    |ST-L    |2020AJ....160...83S
84  |HD 117578                                                                                                                                   |Star                               |13 31 25.7241951504 -04 00 24.523686864|321.6831176777094 +57.4017775181694|  19.519 -6.183   |9.168    |K0III             |    ~     ~    |    1|  345.962   pc  |  -7.5640     +7.5640    |ST-L    |2020AJ....160...83S
85  |HD 117500                                                                                                                                   |High Proper Motion Star            |13 30 45.0360995880 -04 27 27.688808808|321.1481341798967 +57.0171527397419|-44.673 -48.529   |9.607    |G2V               |    ~     ~    |    1|  185.581   pc  |  -6.4040     +6.4040    |ST-L    |2020AJ....160...83S
86  |BD-03 3490                                                                                                                                  |Star                               |13 31 47.4956065320 -04 40 07.641790752|321.4948764924396 +56.7415305008197|-14.602 -10.911   |9.13     |M1                |    ~     ~    |    1|  709.622   pc  | -12.2870    +12.2870    |paral   |2020yCat.1350....0G
87  |BD-03 3491                                                                                                                                  |Star                               |13 32 22.5972743904 -04 27 59.022086076|321.8561539664449 +56.8935902746190|  -5.963 -9.497   |9.782    |K0                |    ~     ~    |    1|  676.645   pc  | -32.1400    +32.1400    |ST-L    |2020AJ....160...83S
88  |BD-03 3484                                                                                                                                  |Star                               |13 30 08.5445845104 -03 54 53.928645012|321.1589046704826 +57.5806212447704| -11.989 -7.483   |10.78    |~                 |    ~     ~    |    1|  248.921   pc  |  -4.3620     +4.3620    |ST-L    |2020AJ....160...83S
89  |BD-02 3693                                                                                                                                  |Star                               |13 30 24.4851492024 -03 13 57.492225732|321.6412696754913 +58.2164541939246|  8.662 -10.026   |10.432   |~                 |    ~     ~    |    1|  277.938   pc  |  -6.2820     +6.2820    |ST-L    |2020AJ....160...83S
90  |BD-02 3694                                                                                                                                  |Star                               |13 30 49.4081611608 -03 20 56.107139100|321.7662495081715 +58.0753183492438|-14.501 -43.336   |10.605   |~                 |    ~     ~    |    1|  125.823   pc  |  -0.9823     +0.9823    |ST-L    |2020AJ....160...83S
91  |BD-03 3487                                                                                                                                  |Star                               |13 30 56.3539626480 -03 50 05.759243484|321.5568012893068 +57.6013830692044|  -26.537 6.075   |10.060   |~                 |    ~     ~    |    1|  702.361   pc  | -38.6500    +38.6500    |ST-L    |2020AJ....160...83S
92  |BD-02 3699                                                                                                                                  |Spectroscopic Binary               |13 31 28.4200339152 -03 30 28.419104340|321.9724019155275 +57.8761934820569| 46.711 -18.117   |10.414   |~                 |    ~     ~    |    1|  196.236   pc  |  -2.4340     +2.4340    |ST-L    |2020AJ....160...83S
93  |BD-04 3500                                                                                                                                  |Star                               |13 31 54.7017433824 -04 52 25.349415276|321.4412515120681 +56.5365490122271|  15.035 -8.525   |10.433   |~                 |    ~     ~    |    1|  816.750   pc  | -25.7900    +25.7900    |ST-L    |2020AJ....160...83S
94  |TYC 4969-722-1                                                                                                                              |Star                               |13 30 08.2515114048 -04 12 57.783303108|321.0012786897220 +57.2917487612705| 15.336 -38.648   |10.299   |G1V               |    ~     ~    |    1|  164.581   pc  |  -1.8050     +1.8050    |ST-L    |2020AJ....160...83S
95  |HD 117778                                                                                                                                   |Star                               |13 32 37.0531491048 -02 35 53.723457024|323.0066366127285 +58.6592286762419| 17.013 -18.349   |8.25     |K2III             |    ~     ~    |    1|  650.280   pc  | -12.1785    +12.1785    |paral   |2020yCat.1350....0G
96  |BD-01 2840                                                                                                                                  |Star                               |13 35 48.6993573864 -02 43 16.616670528|324.3798221304626 +58.2905623538489| 12.730 -11.331   |9.21     |K0                |    ~     ~    |    1|  543.685   pc  |  -6.3848     +6.3848    |paral   |2020yCat.1350....0G
97  |HD 118672                                                                                                                                   |Star                               |13 38 28.5294483480 -02 34 09.334090524|325.6678062997617 +58.2108859719641| 12.340 -14.451   |9.35     |K0/1(III)         |    ~     ~    |    1|  357.219   pc  |  -2.7052     +2.7052    |paral   |2020yCat.1350....0G
