C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 120478                                                                                                |Star                                |13 49 45.4172044344 -00 06 26.973354528|332.5402871866666 +59.3696003793858|  -35.478 3.978    |10.060   |G1V             |    ~     ~          |    1|  178.262   pc  |  -1.9630     +1.9630  |ST-L    |2020AJ....160...83S
2   |HD 119932                                                                                                |High Proper Motion Star             |13 46 19.0241202083 -00 27 29.030121967|330.7188587931174 +59.4201747167284|-429.830 -30.374   |9.0      |K1V             |    ~     ~          |    1|   34.9655  pc  |  -0.0207     +0.0207  |paral   |2020yCat.1350....0G
3   |HD 120266                                                                                                |Star                                |13 48 24.2122779600 -00 35 16.964916720|331.5375536794189 +59.0828918051509|-29.615 -12.703    |10.45    |G0              |    ~     ~          |    1|  182.428   pc  |  -0.9518     +0.9518  |paral   |2020yCat.1350....0G
4   |HD 120407                                                                                                |Star                                |13 49 15.7912499592 -00 34 33.702450564|331.9249868922566 +59.0016053090789| -4.742 -31.259    |10.41    |F3V             |    ~     ~          |    1|  217.680   pc  |  -0.9335     +0.9335  |paral   |2020yCat.1350....0G
5   |HD 120583                                                                                                |High Proper Motion Star             |13 50 28.7306414520 -00 39 29.010323628|332.3858529871849 +58.7956703183306| 27.246 -63.304    |10.24    |G8/K0           |    ~     ~          |    1|  107.641   pc  |  -0.5040     +0.5040  |paral   |2020yCat.1350....0G
6   |HD 119734                                                                                                |Star                                |13 45 03.8714850192 -00 46 22.470813156|329.9058864679345 +59.2610782730928|  7.478 -17.730    |9.32     |K0/1(III)       |    ~     ~          |    1|  531.124   pc  |  -4.9084     +4.9084  |paral   |2020yCat.1350....0G
7   |HD 119844                                                                                                |Star                                |13 45 42.1515912480 -01 04 21.792737316|329.9540402197933 +58.9223911629100|  43.504 14.961    |10.145   |F8/G0V          |    ~     ~          |    1|  181.001   pc  |  -2.3290     +2.3290  |ST-L    |2020AJ....160...83S
8   |TYC 4967-628-1                                                                                           |Star                                |13 46 12.0705412080 -00 25 23.781335268|330.6953869973785 +59.4638488778797|  1.755 -11.472    |10.577   |G0              |    ~     ~          |    1|  203.883   pc  |  -2.5450     +2.5450  |ST-L    |2020AJ....160...83S
9   |HD 119933                                                                                                |Star                                |13 46 23.2515794112 -01 13 44.154527844|330.1338875142798 +58.7101527546993|   12.523 1.704    |9.27     |ApSrCrEu        |    ~     ~          |    1|  225.690   pc  |  -3.5380     +3.5380  |ST-L    |2020AJ....160...83S
10  |HD 120203                                                                                                |Star                                |13 48 06.1575091896 -01 34 42.832112160|330.6070520590803 +58.2154484308918| 24.766 -20.290    |9.34     |G1V             |    ~     ~          |    1|  119.700   pc  |  -0.2264     +0.2264  |paral   |2020yCat.1350....0G
11  |HD 120281                                                                                                |Double or Multiple Star             |13 48 30.3352897800 -00 51 30.903340392|331.3594188369826 +58.8271524842003| 11.483 -18.961    |10.214   |F7/G0V          |    ~     ~          |    1|  331.378   pc  |  -7.8320     +7.8320  |ST-L    |2020AJ....160...83S
12  |HD 120282                                                                                                |Star                                |13 48 32.8759914384 -01 01 21.896002920|331.2440659874052 +58.6739169382251|-30.930 -18.323    |9.32     |F2V             |    ~     ~          |    1|  182.839   pc  |  -5.5828     +5.5828  |paral   |2020yCat.1350....0G
13  |BD-00 2742                                                                                               |Star                                |13 48 41.0399122176 -01 28 06.081262068|330.9451075052645 +58.2552597591678|   -6.979 4.233    |10.78    |G0              |    ~     ~          |    1|  139.645   pc  |  -0.3101     +0.3101  |paral   |2020yCat.1350....0G
14  |HD 120352                                                                                                |High Proper Motion Star             |13 48 58.1922892728 -01 35 34.636697088|330.9693284649529 +58.1122008401611|-136.925 -44.016   |8.51     |G8V             |    ~     ~          |    1|   43.564   pc  |  -0.0533     +0.0533  |paral   |2020yCat.1350....0G
15  |HD 120465                                                                                                |Star                                |13 49 41.9668402608 -01 06 26.636267376|331.6747218182090 +58.4749357607561| -1.587 -10.410    |9.913    |K0              |    ~     ~          |    1|  866.249   pc  | -47.8600    +47.8600  |ST-L    |2020AJ....160...83S
