C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:18:42

dec< 0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5673

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 122204                                                                                                                                   |Star                                  |14 00 31.7265648432 -00 13 01.116125112|337.0173093498548 +58.0076423475849|  -24.861 1.620   |10.35    |F5V            |    ~     ~    |    1|  256.430   pc  |  -4.0637     +4.0637    |paral   |2020yCat.1350....0G
2   |HD 122302                                                                                                                                   |Star                                  |14 01 06.4124172048 -00 11 48.870363084|337.2722425309344 +57.9526952551108|  -32.719 5.821   |10.39    |F6V            |    ~     ~    |    1|  218.446   pc  |  -1.1596     +1.1596    |paral   |2020yCat.1350....0G
3   |HD 122656                                                                                                                                   |High Proper Motion Star               |14 03 15.5941839432 -00 02 57.968095020|338.2849540477168 +57.8059569436755|-51.278 -43.926   |9.44     |F0V            |    ~     ~    |    1|  204.591   pc  |  -0.7744     +0.7744    |paral   |2020yCat.1350....0G
4   |HD 122506                                                                                                                                   |Double or Multiple Star               |14 02 19.5 -00 28 58                   |337.4956 +57.5524                  |            ~ ~   |10.7     |F6V            |    ~     ~    |    0|                |                         |        |                   
5   |HD 122699                                                                                                                                   |Star                                  |14 03 24.7655200992 -00 37 41.043370584|337.7941778225682 +57.2893076812285| 37.094 -17.967   |8.00     |F0V            |    ~     ~    |    1|  110.996   pc  |  -0.4854     +0.4854    |paral   |2020yCat.1350....0G
6   |HD 122604                                                                                                                                   |Star                                  |14 02 55.8789507216 -01 42 38.327781024|336.6113372668510 +56.4128451357038|-22.967 -36.728   |9.70     |G5V            |    ~     ~    |    1|  262.426   pc  |  -1.5013     +1.5013    |paral   |2020yCat.1350....0G
7   |HD 122230                                                                                                                                   |Star                                  |14 00 40.5520834800 -02 04 58.232763624|335.3948672811910 +56.3613787510270|  -37.560 4.533   |8.45     |A9V            |    ~     ~    |    1|  223.259   pc  |  -2.0536     +2.0536    |paral   |2020yCat.1350....0G
8   |HD 122238                                                                                                                                   |Star                                  |14 00 47.3888457504 -01 47 22.911773316|335.6948949677848 +56.6048909555992|  -2.519 -1.250   |9.40     |K1III          |    ~     ~    |    1|  488.400   pc  |  -4.4845     +4.4845    |paral   |2020yCat.1350....0G
9   |HD 122530                                                                                                                                   |High Proper Motion Star               |14 02 32.2807641960 -02 11 42.440612820|336.0301696898841 +56.0386876515754| 49.128 -23.211   |8.60     |G6/8IV         |    ~     ~    |    1|   80.572   pc  |  -0.2636     +0.2636    |paral   |2020yCat.1350....0G
10  |HD 122550                                                                                                                                   |Star                                  |14 02 42.6273896136 -01 55 59.441008692|336.3272154587498 +56.2462528316577| -8.026 -30.333   |8.62     |K0III          |    ~     ~    |    1|  178.082   pc  |  -1.1892     +1.1892    |paral   |2020yCat.1350....0G
