C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
1   |HD 125041                                                             |High Proper Motion Star               |14 17 01.5197894664 -00 04 45.562295244|343.5227322677313 +55.8952971769127|51.161 -140.144   |9.07     |F7V            |    ~     ~          
2   |TYC 4976-1213-1                                                       |Star                                  |14 17 08.9234517504 -00 07 33.040153128|343.5195455129183 +55.8395056273481| -7.317 -28.772   |10.42    |K0             |    ~     ~          
3   |BD+00 3155                                                            |Star                                  |14 16 04.1690280672 -00 18 55.617313320|342.9322590182478 +55.8397482496901| -20.277 -4.368   |10.11    |G5             |    ~     ~          
4   |HD 124700                                                             |Double or Multiple Star               |14 15 06.3286 -01 25 14.374            |341.4830589 +55.0624383            |    -43.8 -13.2   |9.55     |F7V            |    ~     ~          
5   |HD 124798                                                             |Double or Multiple Star               |14 15 43.0472848800 -01 40 14.369189232|341.4631671613387 +54.7695921496538|  15.699 -0.824   |9.810    |F0/2V          |    ~     ~          
6   |HD 124998                                                             |Star                                  |14 16 54.7913966328 -01 20 51.707862600|342.2066058213386 +54.8702808259712| -26.134 -9.575   |9.26     |K0III          |    ~     ~          
7   |HD 124701                                                             |Star                                  |14 15 12.2220945144 -01 57 42.684853968|340.9999896562183 +54.5975969596098|-12.111 -21.181   |10.10    |A2/3III        |    ~     ~          
8   |HD 124930                                                             |Star                                  |14 16 31.0957365744 -02 01 05.619591084|341.4180196986045 +54.3693937536090| -1.452 -16.636   |9.40     |G8III          |    ~     ~          
9   |HD 125058                                                             |Star                                  |14 17 11.2834895064 -01 41 04.630525476|341.9770469531833 +54.5530276278355| -6.678 -19.700   |9.88     |F0III/IV       |    ~     ~          
10  |HD 124971                                                             |Star                                  |14 16 41.2213660800 -02 17 05.297276976|341.2257982502486 +54.1239828888859|-10.996 -36.650   |9.18     |K1III          |    ~     ~          
