C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
1   |HD 129975                                                             |Star                           |14 45 37.5449351976 -00 21 53.118172116|352.5662211330131 +51.1572053019545|-11.622 -18.464    |8.36     |K5III          |    ~     ~    
2   |BD+00 3237                                                            |Star                           |14 46 36.8891099184 -00 33 43.458190632|352.6421035312664 +50.8444903974971|  11.238 40.488    |10.1     |G0V            |    ~     ~    
3   |BD+00 3238                                                            |High Proper Motion Star        |14 46 48.4270738368 -00 22 09.406527024|352.9059062752716 +50.9531098216462|  3.621 -72.699    |10.4     |G8III          |    ~     ~    
4   |BD+00 3240                                                            |Star                           |14 47 07.7555581008 -00 21 45.581594868|353.0065101580916 +50.9030236225580| -2.232 -19.318    |10.0     |G8III          |    ~     ~    
5   |HD 129869                                                             |Star                           |14 45 03.7474095072 -01 05 52.215780192|351.6177562303872 +50.7100392138205| -21.108 15.464    |9.538    |F6V            |    ~     ~    
6   |HD 129902                                                             |High Proper Motion Star        |14 45 11.7072695328 -01 25 03.108780372|351.3207995454793 +50.4497600254893| -55.281 -2.670    |6.07     |M1III          |    ~     ~    
7   |BD-00 2870                                                            |Star                           |14 45 39.5737343256 -01 04 54.802522200|351.8094966434643 +50.6219510451552|  -2.740 -3.792    |10.267   |K0             |    ~     ~    
8   |HD 130047                                                             |High Proper Motion Star        |14 46 02.5658283120 -01 19 52.101832080|351.6588448112106 +50.3727213218720|-28.799 -288.196   |8.56     |G6V            |    ~     ~    
9   |BD-00 2874                                                            |Double or Multiple Star        |14 46 18.9055 -01 16 36.270            |351.7952088 +50.3675287            |      3.9 -20.7    |9.776    |F8             |    ~     ~    
10  |HD 130110                                                             |Star                           |14 46 17.8055721312 -00 50 01.594128804|352.2587178769572 +50.6983438732095| -12.819 22.500    |6.92     |K0III          |    ~     ~    
11  |BD-00 2876                                                            |Star                           |14 46 22.8753595464 -01 09 31.199537844|351.9387851438799 +50.4439585908696|   -5.176 0.110    |10.501   |M0             |    ~     ~    
12  |BD-00 2878                                                            |Star                           |14 46 27.0548740272 -01 26 48.932454444|351.6562491062904 +50.2184187536519|-13.909 -17.382    |8.97     |K5III          |    ~     ~    
13  |BD-00 2879                                                            |Star                           |14 46 33.1684150392 -01 28 21.876527928|351.6588272220903 +50.1821931776238|  -9.173 -7.956    |9.03     |K0III          |    ~     ~    
14  |BD-00 2880                                                            |Star                           |14 46 34.6094068008 -01 19 03.885120984|351.8281476092407 +50.2932421038164|  4.183 -20.891    |9.76     |F8             |    ~     ~    
15  |HD 130219                                                             |Double or Multiple Star        |14 46 59.7862899624 -00 48 34.241285988|352.4878007133783 +50.5979456679693|  -39.349 6.836    |9.55     |F3V            |    ~     ~    
