C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:39

dec< 0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2351

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 9262                                                                                                  |High Proper Motion Star               |01 30 25.0361405640 -40 39 34.230497328|274.6821352325495 -74.2596695270872| 128.608 53.936   |9.38     |G3V            |    ~     ~    |    1|   85.773   pc  |  -0.4055     +0.4055  |ST-L    |2020AJ....160...83S
2   |HD 9319                                                                                                  |Star                                  |01 31 03.6095399808 -40 23 20.242708332|273.7442210193228 -74.4146184197514| 16.977 -29.030   |9.89     |G2V            |    ~     ~    |    1|  289.009   pc  |  -1.0357     +1.0357  |paral   |2020yCat.1350....0G
3   |HD 9423                                                                                                  |Star                                  |01 31 55.6210600728 -40 35 19.384878552|273.6662274922487 -74.1565029433047|    9.908 1.394   |9.683    |A5V            |    ~     ~    |    1|  284.357   pc  |  -1.2937     +1.2937  |paral   |2020yCat.1350....0G
4   |CD-41 412                                                                                                |Star                                  |01 31 55.6511976888 -40 24 45.337891932|273.2930274552466 -74.3004842922378|  19.418 -6.635   |10.703   |~              |    ~     ~    |    1|  296.529   pc  |  -5.4490     +5.4490  |ST-L    |2020AJ....160...83S
5   |CD-42 535                                                                                                |Star                                  |01 31 48.4848235152 -41 54 05.018866596|276.3128002744811 -73.0762166813461|    4.673 4.948   |10.719   |~              |    ~     ~    |    1|  842.756   pc  | -41.0900    +41.0900  |ST-L    |2020AJ....160...83S
6   |CD-40 398                                                                                                |Star                                  |01 36 36.2992892352 -39 41 00.653210124|269.0231519450600 -74.3290156671408| 12.048 -16.243   |10.22    |F8             |    ~     ~    |    1|  372.301   pc  |  -3.2296     +3.2296  |paral   |2020yCat.1350....0G
7   |HD 10025                                                                                                 |Star                                  |01 37 10.0469235024 -39 41 16.299170808|268.7289943972960 -74.2556220395000|-32.294 -16.751   |9.44     |K1III          |    ~     ~    |    1|  415.697   pc  |  -2.4020     +2.4020  |paral   |2020yCat.1350....0G
8   |HD 10050                                                                                                 |Star                                  |01 37 26.5799214384 -39 38 46.262548680|268.4807006609783 -74.2526494598117| -26.111 -9.128   |9.80     |G0V            |    ~     ~    |    1|  147.525   pc  |  -0.3069     +0.3069  |paral   |2020yCat.1350....0G
9   |CD-40 408                                                                                                |Star                                  |01 38 23.8048721472 -39 40 13.224885348|268.0316777434312 -74.1137206438190| -2.998 -28.323   |10.04    |K              |    ~     ~    |    1|  250.081   pc  |  -1.2633     +1.2633  |paral   |2020yCat.1350....0G
10  |HD 10150                                                                                                 |Spectroscopic Binary                  |01 38 24.9253493952 -39 36 10.153548000|267.8581305895834 -74.1619058076529|  -9.459 10.467   |9.32     |A9V            |    ~     ~    |    1|  223.988   pc  |  -2.7200     +2.7200  |ST-L    |2020AJ....160...83S
11  |HD 9628                                                                                                  |Star                                  |01 33 40.2068488272 -39 54 42.582383172|271.1901347107428 -74.5053491392439|  9.546 -34.668   |9.17     |K1III          |    ~     ~    |    1|  196.692   pc  |  -0.5726     +0.5726  |paral   |2020yCat.1350....0G
12  |HD 9875                                                                                                  |High Proper Motion Star               |01 35 38.9874965184 -39 50 18.208950576|269.9122416740034 -74.3269982477252|  62.059 -0.499   |9.60     |M2III          |    ~     ~    |    1|  391.252   pc  |  -2.8472     +2.8472  |paral   |2020yCat.1350....0G
13  |HD 9895                                                                                                  |High Proper Motion Star               |01 35 50.5662756600 -39 56 49.645506156|270.0593486379410 -74.2192809892901|-43.966 -47.947   |6.43     |F5VFe-0.7      |    ~     ~    |    1|   37.305   pc  |  -0.0255     +0.0255  |paral   |2020yCat.1350....0G
14  |HD 10038                                                                                                 |Spectroscopic Binary                  |01 37 18.5920112088 -40 10 38.455531068|269.7996590856581 -73.8633270394730| -12.163 -7.781   |8.14     |A2mA5-F0       |    ~     ~    |    1|  173.127   pc  |  -0.6624     +0.6624  |paral   |2020yCat.1350....0G
15  |CD-40 414                                                                                                |Spectroscopic Binary                  |01 39 21.9666534888 -39 50 04.451511840|267.9210395198191 -73.8672382976177|  89.422 36.178   |10.41    |~              |    ~     ~    |    1|  152.390   pc  |  -0.4157     +0.4157  |paral   |2020yCat.1350....0G
16  |CD-41 415B                                                                                               |Star                                  |01 32 45.1077812784 -41 15 20.336537304|274.5656343841032 -73.5189952827367|-15.488 -39.508   |10.32    |G              |    ~     ~    |    1|  182.655   pc  |  -1.7290     +1.7290  |ST-L    |2020AJ....160...83S
17  |HD 9526                                                                                                  |Star                                  |01 32 46.7448152040 -41 15 18.733238028|274.5498091295094 -73.5164785634596|-16.536 -42.070   |9.15     |K1III          |    ~     ~    |    1|  180.499   pc  |  -0.3942     +0.3942  |paral   |2020yCat.1350....0G
18  |CD-41 418                                                                                                |Spectroscopic Binary                  |01 33 03.4467203616 -40 58 15.589059780|273.8243500564025 -73.7205926393708|   2.585 -4.257   |9.80     |K2             |    ~     ~    |    1|  586.132   pc  | -12.4709    +12.4709  |paral   |2020yCat.1350....0G
19  |HD 9732                                                                                                  |Star                                  |01 34 29.6025429480 -40 49 53.520022308|272.7491874879605 -73.6759303067893|    8.170 0.900   |9.20     |K1III          |    ~     ~    |    1|  502.058   pc  |  -3.5037     +3.5037  |paral   |2020yCat.1350....0G
20  |CD-41 427                                                                                                |Star                                  |01 35 15.2746 -41 17 36.763            |273.2964476 -73.2179593            |        3.2 2.0   |10.52    |G5             |    ~     ~    |    0|                |                       |        |                   
21  |HD 9950                                                                                                  |Star                                  |01 36 23.1335478768 -41 18 28.721992392|272.7346718938746 -73.0808103290960| -3.778 -10.752   |8.88     |F7V            |    ~     ~    |    1|  239.429   pc  |  -1.3644     +1.3644  |paral   |2020yCat.1350....0G
22  |HD 10026                                                                                                 |Star                                  |01 37 07.2033799584 -40 23 13.038850752|270.3752893980436 -73.7239167451523|  2.929 -14.300   |9.54     |G8III          |    ~     ~    |    1|  329.815   pc  |  -2.1321     +2.1321  |paral   |2020yCat.1350....0G
23  |CD-41 443                                                                                                |Star                                  |01 38 20.4579822960 -41 00 25.951460076|271.1014263648027 -73.0951929945015|   9.410 -5.955   |10.603   |~              |    ~     ~    |    1|  296.143   pc  |  -4.8980     +4.8980  |ST-L    |2020AJ....160...83S
24  |HD 10189                                                                                                 |Star                                  |01 38 49.4816346576 -40 29 11.498225064|269.7123745733135 -73.4410360817210|  28.288 13.170   |9.18     |A5III          |    ~     ~    |    1|  302.471   pc  |  -1.4730     +1.4730  |paral   |2020yCat.1350....0G
25  |HD 10282                                                                                                 |Star                                  |01 39 43.5167819544 -40 29 41.235827064|269.2733876985246 -73.3243032937457|  1.709 -12.404   |9.940    |G1/2V          |    ~     ~    |    1|  340.350   pc  |  -5.9570     +5.9570  |ST-L    |2020AJ....160...83S
26  |HD 10301                                                                                                 |Star                                  |01 39 54.4904667480 -40 42 39.262561128|269.6657244104880 -73.1369553812306|  4.292 -22.961   |9.81     |K2(III)        |    ~     ~    |    1|  413.822   pc  |  -4.0928     +4.0928  |paral   |2020yCat.1350....0G
27  |HD 10415                                                                                                 |Spectroscopic Binary                  |01 40 42.0852849000 -41 08 36.317998176|270.2189013181868 -72.7090123445314|-37.072 -59.976   |9.39     |G3V            |    ~     ~    |    1|  133.828   pc  |  -2.1295     +2.1295  |paral   |2020yCat.1350....0G
28  |HD 9488                                                                                                  |Star                                  |01 32 21.0152103600 -41 30 21.370753188|275.2741250040264 -73.3530958758902|   -0.444 5.129   |8.23     |F2V            |    ~     ~    |    1|  214.712   pc  |  -0.8898     +0.8898  |paral   |2020yCat.1350....0G
29  |HD 9675                                                                                                  |Spectroscopic Binary                  |01 34 01.1668423704 -41 26 04.939388196|274.2345417668361 -73.2366882463505|-17.306 -22.994   |9.56     |F2V            |    ~     ~    |    1|  205.617   pc  |  -2.9806     +2.9806  |paral   |2020yCat.1350....0G
30  |HD 10238                                                                                                 |Star                                  |01 39 17.7552333768 -41 28 52.616432028|271.6200423576648 -72.6118751951775| -4.891 -15.547   |10.27    |B7/8V          |    ~     ~    |    1| 1198.753   pc  | -51.5886    +51.5886  |paral   |2020yCat.1350....0G
31  |CD-41 449                                                                                                |Star                                  |01 39 32.9072459376 -41 09 28.642247280|270.8169667767913 -72.8352793698275|  -8.880 10.119   |10.75    |F0             |    ~     ~    |    1|  371.769   pc  |  -7.9750     +7.9750  |ST-L    |2020AJ....160...83S
32  |HD 9564                                                                                                  |Star                                  |01 32 59.4292968888 -42 13 52.819725036|276.2864762928742 -72.6800356602114| 25.973 -29.302   |9.80     |G8(IV)         |    ~     ~    |    1|  823.316   pc  | -13.4892    +13.4892  |paral   |2020yCat.1350....0G
33  |CD-42 542                                                                                                |Spectroscopic Binary                  |01 33 35.3870069232 -42 03 11.034701568|275.6459097260449 -72.7691279816730|-21.401 -17.616   |10.560   |~              |    ~     ~    |    1|  231.691   pc  |  -3.0720     +3.0720  |ST-L    |2020AJ....160...83S
34  |CD-42 549                                                                                                |Star                                  |01 35 04.0370942448 -41 50 04.705638576|274.4637041864495 -72.7964606074040|   -5.328 2.336   |10.329   |~              |    ~     ~    |    1|  470.686   pc  | -11.7700    +11.7700  |ST-L    |2020AJ....160...83S
35  |CD-42 565                                                                                                |High Proper Motion Star               |01 37 38.2405738656 -42 10 58.770481404|273.8342754180171 -72.2365313161761|112.287 -28.488   |10.37    |K0             |    ~     ~    |    1|  118.043   pc  |  -0.2160     +0.2160  |paral   |2020yCat.1350....0G
36  |CD-42 574                                                                                                |Star                                  |01 39 09.1164547848 -41 48 45.173814192|272.3648730321442 -72.3664396080121| 13.533 -12.401   |9.26     |K5             |    ~     ~    |    1|  697.010   pc  |  -8.1618     +8.1618  |paral   |2020yCat.1350....0G
37  |CD-40 412                                                                                                |Star                                  |01 39 08.0371788744 -39 34 04.262245284|267.3958095084431 -74.0955530985904| -6.720 -11.766   |10.52    |~              |    ~     ~    |    1|  442.544   pc  | -10.2800    +10.2800  |ST-L    |2020AJ....160...83S
38  |CD-41 417                                                                                                |Star                                  |01 32 51.3723054672 -40 32 31.665596280|273.0414382896187 -74.0924605360538|  -5.093 -7.042   |9.69     |~              |    ~     ~    |    1|  851.644   pc  |  -9.8640     +9.8640  |paral   |2020yCat.1350....0G
39  |CD-42 559                                                                                                |Star                                  |01 36 36.9953326560 -42 12 34.081050420|274.3910625137374 -72.3244289240083|-27.798 -10.728   |10.446   |~              |    ~     ~    |    1|  308.056   pc  |  -5.4750     +5.4750  |ST-L    |2020AJ....160...83S
40  |CD-41 436                                                                                                |High Proper Motion Star               |01 37 01.2698725776 -41 06 46.346747688|272.0014818470028 -73.1647545262750| -6.661 -53.511   |10.562   |~              |    ~     ~    |    1|  185.114   pc  |  -2.0840     +2.0840  |ST-L    |2020AJ....160...83S
41  |CPD-40 144                                                                                               |Star                                  |01 37 02.2036789224 -40 07 24.177661248|269.8210533494471 -73.9381690625275|   -2.885 0.834   |10.56    |~              |    ~     ~    |    1|  411.184   pc  |  -3.9056     +3.9056  |paral   |2020yCat.1350....0G
42  |CD-42 562                                                                                                |Variable Star                         |01 37 30.9484689168 -41 37 49.238576328|272.8110216175431 -72.6957868691107|-13.107 -20.391   |10.557   |~              |    ~     ~    |    1|  299.180   pc  |  -4.4220     +4.4220  |ST-L    |2020AJ....160...83S
43  |CD-41 447                                                                                                |High Proper Motion Star               |01 38 57.1822145808 -41 00 55.055623752|270.8093522983624 -73.0167599098162|-16.146 -79.249   |10.28    |~              |    ~     ~    |    1|  119.024   pc  |  -1.6470     +1.6470  |ST-L    |2020AJ....160...83S
44  |HD 9283                                                                                                  |Variable Star                         |01 30 30.8446625688 -42 42 24.850498500|278.4180806252510 -72.5119471768442| 18.562 -14.469   |10.07    |F3/5V          |    ~     ~    |    1|  269.597   pc  |  -3.8770     +3.8770  |ST-L    |2020AJ....160...83S
45  |HD 9867                                                                                                  |Star                                  |01 35 29.9162745480 -42 19 32.773167948|275.1697945515068 -72.3460228750551| -7.402 -10.329   |9.33     |F5V            |    ~     ~    |    1|  220.415   pc  |  -2.4048     +2.4048  |paral   |2020yCat.1350....0G
46  |TYC 7541-163-1                                                                                           |Star                                  |01 31 54.3822648600 -39 57 24.379926408|272.3086957526165 -74.6726239450132|  18.828 -4.223   |10.860   |~              |    ~     ~    |    1|  957.223   pc  | -35.8800    +35.8800  |ST-L    |2020AJ....160...83S
47  |TYC 7542-224-1                                                                                           |Star                                  |01 37 00.7551157104 -39 34 56.100959256|268.5584834522152 -74.3551967118057|  28.946 10.327   |10.96    |~              |    ~     ~    |    1|  304.354   pc  | -21.2800    +21.2800  |ST-L    |2020AJ....160...83S
48  |TYC 7544-21-1                                                                                            |Star                                  |01 31 55.7886722976 -40 05 36.530097648|272.5988116862372 -74.5595486470265| 12.783 -45.695   |10.818   |~              |    ~     ~    |    1|  281.135   pc  |  -4.5470     +4.5470  |ST-L    |2020AJ....160...83S
49  |TYC 7544-45-1                                                                                            |Star                                  |01 31 08.5017455760 -41 15 28.057005576|275.4619983383004 -73.6849504861997|   4.162 11.539   |10.927   |~              |    ~     ~    |    1|  398.422   pc  |  -7.8620     +7.8620  |ST-L    |2020AJ....160...83S
50  |TYC 7544-174-1                                                                                           |Star                                  |01 32 50.8859664576 -40 48 07.746917508|273.5925616081524 -73.8815056374500|   7.754 13.529   |10.936   |~              |    ~     ~    |    1|  767.851   pc  | -41.0800    +41.0800  |ST-L    |2020AJ....160...83S
51  |TYC 7544-198-1                                                                                           |Star                                  |01 30 46.7134774776 -40 45 24.426012024|274.6716586242484 -74.1407474867154|    3.586 6.533   |10.816   |~              |    ~     ~    |    1|  435.481   pc  | -10.4100    +10.4100  |ST-L    |2020AJ....160...83S
52  |TYC 7545-385-1                                                                                           |High Proper Motion Star               |01 34 43.1554623696 -40 06 27.625833468|271.0460479239526 -74.2274893427262| 69.109 -40.011   |10.77    |~              |    ~     ~    |    1|  116.264   pc  |  -0.2001     +0.2001  |paral   |2020yCat.1350....0G
53  |TYC 7545-553-1                                                                                           |Star                                  |01 38 16.3956470808 -41 30 50.898811680|272.1953815521988 -72.7031769026155| -21.279 -4.607   |10.831   |~              |    ~     ~    |    1|  379.453   pc  |  -9.3470     +9.3470  |ST-L    |2020AJ....160...83S
54  |TYC 7545-608-1                                                                                           |Star                                  |01 38 25.2327 -41 28 58.226            |272.0576885 -72.7112300            |  24.918 21.882   |10.600   |~              |    ~     ~    |    1|  457.479   pc  | -11.1200    +11.1200  |ST-L    |2020AJ....160...83S
55  |NGC 625                            NGC 625                                                               |Active Galaxy Nucleus                 |01 35 04.632 -41 26 10.32              |273.677057 -73.121451              |            ~ ~   |11.25    |~              | 6.61  2.04    |    1|    4.07    Mpc |                       |T-F     |2011ApJS..192....6L
