C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 132414                                                                                                |Star                                  |15 00 01.0970995344 -32 50 00.438506628|331.9191204499049 +22.7022066894246|  14.187 -1.605     |7.68     |A1V+(G)         |    ~     ~    |    1|  345.734   pc  | -11.3316    +11.3316    |paral   |2020yCat.1350....0G
2   |CD-32 10524                                                                                              |High Proper Motion Star               |15 00 03.5240293224 -32 53 36.421635912|331.8936477359941 +22.6463573547713|-31.176 -46.542     |10.74    |~               |    ~     ~    |    1|  242.172   pc  |  -1.1553     +1.1553    |paral   |2020yCat.1350....0G
3   |HD 132431                                                                                                |Star                                  |15 00 11.0458379400 -33 08 54.222079416|331.7764675491569 +22.4140383461175|   7.950 20.731     |9.03     |K2III           |    ~     ~    |    1|  360.907   pc  |  -3.3215     +3.3215    |paral   |2020yCat.1350....0G
4   |CD-32 10527                                                                                              |Star                                  |15 00 19.1254980888 -33 04 00.306916536|331.8479831437190 +22.4696410728881| -13.426 -9.240     |10.550   |~               |    ~     ~    |    1|  323.699   pc  |  -7.6750     +7.6750    |ST-L    |2020AJ....160...83S
5   |CD-32 10528                                                                                              |Star                                  |15 00 17.5685240352 -32 46 40.910769156|332.0036400422586 +22.7201150674054|  -9.054 -4.956     |10.98    |~               |    ~     ~    |    1| 1056.636   pc  | -22.6645    +22.6645    |paral   |2020yCat.1350....0G
6   |HD 132644                                                                                                |Star                                  |15 01 18.1577069976 -33 12 57.355666272|331.9558530012032 +22.2357200926957| -22.170 -5.232     |9.97     |F0V             |    ~     ~    |    1|  274.183   pc  |  -1.5411     +1.5411    |paral   |2020yCat.1350....0G
7   |HD 132837                                                                                                |Star                                  |15 02 19.5123568560 -32 59 05.944346448|332.2831095666577 +22.3222997998309|-20.067 -14.592     |9.44     |K0III           |    ~     ~    |    1|  422.190   pc  |  -3.5471     +3.5471    |paral   |2020yCat.1350....0G
8   |CD-32 10555                                                                                              |Star                                  |15 02 44.1486635712 -33 10 40.585028772|332.2539792501832 +22.1127704376026|    9.764 2.384     |9.90     |K2              |    ~     ~    |    1|  612.970   pc  | -19.1624    +19.1624    |paral   |2020yCat.1350....0G
9   |HD 132602                                                                                                |High Proper Motion Star               |15 01 02.5166179488 -33 50 22.092099504|331.5594942428445 +21.7290994341863|-116.590 -28.747    |7.41     |F5V             |    ~     ~    |    1|   86.032   pc  |  -0.1799     +0.1799    |paral   |2020yCat.1350....0G
10  |HD 132887                                                                                                |Star                                  |15 02 37.1211980424 -33 50 03.745482000|331.8640989657762 +21.5645637761099| 11.501 -17.030     |8.60     |F0V             |    ~     ~    |    1|  151.630   pc  |  -4.9501     +4.9501    |paral   |2020yCat.1350....0G
11  |HD 132763                                                                                                |Star                                  |15 01 58.0822158744 -34 21 31.956093144|331.4493114423335 +21.1850199177733|-26.948 -24.359     |6.208    |A8/9III/IV      |    ~     ~    |    1|  130.856   pc  |  -0.8955     +0.8955    |paral   |2020yCat.1350....0G
12  |HD 132432                                                                                                |Star                                  |15 00 14.0804701536 -35 06 16.877381364|330.7134694720015 +20.7258270480146|  -3.957 -8.671     |9.46     |A7V             |    ~     ~    |    1|  430.052   pc  |  -4.5496     +4.5496    |paral   |2020yCat.1350....0G
13  |HD 132493                                                                                                |Star                                  |15 00 35.1813099336 -35 03 11.685258540|330.8076729996412 +20.7336182891555| -4.395 -23.120     |9.11     |K1II/III        |    ~     ~    |    1|  192.112   pc  |  -0.7086     +0.7086    |paral   |2020yCat.1350....0G
14  |HD 132548                                                                                                |Star                                  |15 00 53.9418203928 -34 56 09.088164780|330.9305248426611 +20.8020698251233| -7.944 -24.717     |9.49     |K2III           |    ~     ~    |    1|  313.146   pc  |  -1.6866     +1.6866    |paral   |2020yCat.1350....0G
15  |HD 132665                                                                                                |Star                                  |15 01 29.3095136160 -35 24 49.082785524|330.7810048821688 +20.3296479885449|  2.306 -30.314     |9.55     |F5/6V           |    ~     ~    |    1|  151.547   pc  |  -0.5328     +0.5328    |paral   |2020yCat.1350....0G
16  |CD-33 10236                                                                                              |Star                                  |15 01 38.1914765544 -34 10 48.378902448|331.4849821960189 +21.3735545916134|   7.314 -7.000     |10.66    |~               |    ~     ~    |    1| 1004.419   pc  | -17.1506    +17.1506    |paral   |2020yCat.1350....0G
17  |CD-34 10125                                                                                              |Star                                  |15 01 50.7764039280 -34 41 58.041416184|331.2386876041922 +20.9057677759820| -12.445 -7.505     |10.41    |~               |    ~     ~    |    1|  748.839   pc  |  -9.5890     +9.5890    |paral   |2020yCat.1350....0G
18  |CD-34 10126                                                                                              |Star                                  |15 01 56.3500046688 -35 04 14.580843564|331.0525478541557 +20.5772934044085|   4.416 -0.136     |10.59    |~               |    ~     ~    |    1|  185.805   pc  |  -0.8907     +0.8907    |paral   |2020yCat.1350....0G
19  |CD-33 10250                                                                                              |Star                                  |15 02 16.0921714416 -33 33 52.049905236|331.9475352645175 +21.8331868491669| -13.407 -4.372     |10.63    |~               |    ~     ~    |    1| 1139.601   pc  | -30.1296    +30.1296    |paral   |2020yCat.1350....0G
20  |CD-32 10552                                                                                              |High Proper Motion Star               |15 02 20.3939078616 -33 00 35.947113768|332.2719000705058 +22.2993436466544| -57.131 24.581     |10.31    |~               |    ~     ~    |    1|  108.648   pc  |  -0.1771     +0.1771    |paral   |2020yCat.1350....0G
21  |CD-32 10554                                                                                              |Star                                  |15 02 35.9429930136 -33 11 18.637634760|332.2216671815306 +22.1186391434022|   -0.131 5.512     |10.98    |~               |    ~     ~    |    1|  991.965   pc  | -12.6935    +12.6935    |paral   |2020yCat.1350....0G
22  |CD-34 10135                                                                                              |Star                                  |15 02 43.1774590272 -35 18 29.667998628|331.0684363274639 +20.2915966483741|   2.154 -4.116     |10.34    |~               |    ~     ~    |    1|  631.752   pc  |  -6.9046     +6.9046    |paral   |2020yCat.1350....0G
23  |HD 133258                                                                                                |High Proper Motion Star               |15 04 35.2623291552 -33 22 23.502362988|332.4993906148975 +21.7438312336844|-43.894 -30.246     |10.19    |F5V             |    ~     ~    |    1|  229.943   pc  |  -8.9463     +8.9463    |paral   |2020yCat.1350....0G
24  |V* IW Lup                                                                                                |Long-Period Variable                  |15 04 42.6084834360 -33 36 43.331707188|332.3876767395621 +21.5272361648770| -18.907 -0.607     |8.81     |M1III           |    ~     ~    |    1|  585.960   pc  |  -9.0644     +9.0644    |paral   |2020yCat.1350....0G
25  |CD-33 10294                                                                                              |Star                                  |15 06 06.4450981104 -33 58 27.450782976|332.4475076494895 +21.0663718273645|  -7.779 -4.369     |9.82     |K5              |    ~     ~    |    1|  812.282   pc  | -21.2456    +21.2456    |paral   |2020yCat.1350....0G
26  |HD 133713                                                                                                |Star                                  |15 07 02.5825499904 -33 29 17.444117580|332.9011969929596 +21.3750477834482|-30.555 -20.946     |10.02    |F7/8V           |    ~     ~    |    1|  286.221   pc  |  -1.8351     +1.8351    |paral   |2020yCat.1350....0G
27  |HD 133751                                                                                                |Star                                  |15 07 11.1863656968 -33 58 43.975523280|332.6480435622280 +20.9438374547535| -11.903 -2.713     |9.02     |K3/4(III)       |    ~     ~    |    1|  555.062   pc  |  -8.1953     +8.1953    |paral   |2020yCat.1350....0G
28  |HD 133780                                                                                                |Star                                  |15 07 20.0008070784 -33 39 14.483030832|332.8611836962702 +21.2025052349113|  -4.635 -3.686     |10.42    |A5/7(V)         |    ~     ~    |    1|  552.334   pc  | -12.1114    +12.1114    |paral   |2020yCat.1350....0G
29  |IDS 15015-3317 AB                                                                                        |Double or Multiple Star               |15 07 40.7 -33 40 12                   |332.9171 +21.1507                  |            ~ ~     |9.1      |K0III           |    ~     ~    |    0|                |                         |        |                   
30  |HD 134016                                                                                                |Star                                  |15 08 41.4795904896 -33 56 57.577057152|332.9472203558121 +20.8020826302453| -36.056 -9.721     |8.95     |F5V             |    ~     ~    |    1|  107.968   pc  |  -0.2635     +0.2635    |paral   |2020yCat.1350....0G
31  |HD 134216                                                                                                |Double or Multiple Star               |15 09 44.0477 -33 48 54.085            |333.2196693 +20.7987116            |    -11.5 -24.7     |8.64     |A7V             |    ~     ~    |    0|                |                         |        |                   
32  |HD 134254                                                                                                |Star                                  |15 09 56.1199559712 -34 10 34.073637312|333.0488044554293 +20.4722618689638|-15.553 -14.281     |9.44     |A7III/IV        |    ~     ~    |    1|  480.377   pc  | -19.6840    +19.6840    |paral   |2020yCat.1350....0G
33  |V* OW Lup                                                                                                |Eclipsing Binary                      |15 09 33.5961676896 -33 48 30.515150880|333.1908720366539 +20.8237607168855|-16.338 -32.619     |10.22    |G5V             |    ~     ~    |    1|  167.538   pc  |  -0.4828     +0.4828    |paral   |2020yCat.1350....0G
34  |HD 133449                                                                                                |Star                                  |15 05 39.7807748424 -34 23 49.930123020|332.1251465348652 +20.7555315242547|-25.079 -17.687     |8.92     |M1(III)         |    ~     ~    |    1|  548.697   pc  |  -7.5869     +7.5869    |paral   |2020yCat.1350....0G
35  |HD 134217                                                                                                |High Proper Motion Star               |15 09 49.0827991440 -34 23 00.929199768|332.9076755602387 +20.3106223779300|-31.456 -39.106     |9.09     |K0IV            |    ~     ~    |    1|  218.064   pc  |  -1.0889     +1.0889    |paral   |2020yCat.1350....0G
36  |HD 134309                                                                                                |Double or Multiple Star               |15 10 13.9471 -34 19 11.273            |333.0211682 +20.3181870            |      20.8 22.4     |9.90     |K1/2III+(G)     |    ~     ~    |    0|                |                         |        |                   
37  |CD-34 10138                                                                                              |Star                                  |15 03 08.7946798848 -34 58 35.012437104|331.3307494260575 +20.5309771168624|   -0.977 2.766     |9.93     |K0              |    ~     ~    |    1|  789.765   pc  | -12.5369    +12.5369    |paral   |2020yCat.1350....0G
38  |HD 132978                                                                                                |Star                                  |15 03 13.9783350168 -34 48 44.370063504|331.4375569584796 +20.6622624566207|  -9.571 -5.583     |10.09    |A1V             |    ~     ~    |    1|  390.305   pc  |  -3.7475     +3.7475    |paral   |2020yCat.1350....0G
39  |HD 133016                                                                                                |Star                                  |15 03 20.6217250800 -34 42 40.348210428|331.5143118967130 +20.7370057668238|  -9.362 -5.138     |8.74     |B9V             |    ~     ~    |    1|  389.940   pc  |  -3.9534     +3.9534    |paral   |2020yCat.1350....0G
40  |HD 133076                                                                                                |Double or Multiple Star               |15 03 43.4603601888 -35 21 31.367640528|331.2277695584880 +20.1426639548380|  1.364 -77.311     |9.43     |G5V             |    ~     ~    |    1|  121.916   pc  |  -2.8671     +2.8671    |paral   |2020yCat.1350....0G
41  |CD-34 10146                                                                                              |Star                                  |15 03 54.0916409280 -34 55 18.568462872|331.5022236890862 +20.4975480853003|-21.052 -22.860     |10.13    |F8              |    ~     ~    |    1|  326.595   pc  |  -2.3039     +2.3039    |paral   |2020yCat.1350....0G
42  |HD 133236                                                                                                |Star                                  |15 04 37.5749123832 -35 10 39.842115348|331.4954731749997 +20.2018296231984|-13.185 -16.090     |9.70     |G8III           |    ~     ~    |    1|  494.242   pc  |  -5.2275     +5.2275    |paral   |2020yCat.1350....0G
43  |HD 133416                                                                                                |Star                                  |15 05 25.4484261168 -35 23 06.257509800|331.5282601063605 +19.9399983811836|   0.226 -7.303     |9.53     |K2III           |    ~     ~    |    1|  475.421   pc  |  -4.2493     +4.2493    |paral   |2020yCat.1350....0G
44  |HD 133435                                                                                                |Star                                  |15 05 35.8279421376 -34 32 25.198284228|332.0323525793593 +20.6409210643108|   0.721 -8.407     |8.64     |K3III           |    ~     ~    |    1|  874.967   pc  | -26.3355    +26.3355    |paral   |2020yCat.1350....0G
45  |HD 133573                                                                                                |Star                                  |15 06 19.8344178720 -34 55 08.456580732|331.9565357049765 +20.2395954758543|   0.919 -3.922     |9.31     |K3/4(III)       |    ~     ~    |    1|  723.484   pc  | -17.6396    +17.6396    |paral   |2020yCat.1350....0G
46  |V* OU Lup                                                                                                |Eclipsing Binary                      |15 06 48.2970745416 -35 04 57.449787348|331.9526085395891 +20.0493543431820|    3.803 6.741     |9.96     |B9IV            |    ~     ~    |    1|  775.254   pc  | -18.7518    +18.7518    |paral   |2020yCat.1350....0G
47  |HD 133864                                                                                                |Star                                  |15 07 48.2222520432 -35 29 03.582659652|331.9108246331127 +19.6006189261219| -15.663 -5.044     |10.22    |F3              |    ~     ~    |    1|  700.378   pc  | -16.3837    +16.3837    |paral   |2020yCat.1350....0G
48  |HD 133846                                                                                                |Star                                  |15 07 49.8352058424 -34 53 29.312738196|332.2500985664236 +20.1002899289020| -10.828 -3.616     |10.04    |A1V             |    ~     ~    |    1|  492.829   pc  |  -5.6834     +5.6834    |paral   |2020yCat.1350....0G
49  |HD 133969                                                                                                |Star                                  |15 08 26.2580200584 -35 14 14.696853468|332.1663416893044 +19.7412583197321|  -3.159 -8.316     |9.64     |K2/3            |    ~     ~    |    1|  698.080   pc  |  -7.6509     +7.6509    |paral   |2020yCat.1350....0G
