C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 135369                                                             |Star                              |15 15 48.2867499624 -34 48 11.991184560|333.7596529097659 +19.2851626812228|-39.465 -16.820    |8.86     |G8/K0III       |    ~     ~          |    1|  220.109   pc  |  -1.4341     +1.4341    |paral   |2020yCat.1350....0G
2   |HD 135619                                                             |Star                              |15 17 10.7064083904 -34 34 37.467498432|334.1416886084385 +19.3154547112514|-20.732 -22.727    |8.98     |A2IV           |    ~     ~          |    1|  130.885   pc  |  -0.5208     +0.5208    |paral   |2020yCat.1350....0G
3   |HD 135846                                                             |Star                              |15 18 30.2506050312 -35 12 26.777438640|334.0055780253807 +18.6411449003620| -4.450 -11.822    |9.92     |F3V            |    ~     ~          |    1|  168.011   pc  |  -0.6210     +0.6210    |paral   |2020yCat.1350....0G
4   |CD-34 10313                                                           |Star                              |15 19 08.9931687960 -34 52 53.741366328|334.3147812408054 +18.8358258062211|  0.034 -14.107    |10.56    |A0             |    ~     ~          |    1|  367.485   pc  |  -2.3768     +2.3768    |paral   |2020yCat.1350....0G
5   |HD 136164                                                             |Star                              |15 20 13.3930468800 -34 55 31.574157060|334.4800765449286 +18.6750386274516|-22.631 -25.861    |7.76     |A2V            |    ~     ~          |    1|  121.910   pc  |  -0.5960     +0.5960    |paral   |2020yCat.1350....0G
6   |HD 136346                                                             |High Proper Motion Star           |15 21 25.0243135656 -35 11 10.354284528|334.5353376891811 +18.3215590080290|-59.837 -26.501    |9.32     |F3V            |    ~     ~          |    1|  163.412   pc  |  -0.6756     +0.6756    |paral   |2020yCat.1350....0G
7   |CD-35 10152                                                           |Star                              |15 15 32.6728559376 -35 30 49.255684200|333.2965469845120 +18.7232863111113| -5.921 -12.611    |9.94     |K2             |    ~     ~          |    1|  902.283   pc  | -16.6079    +16.6079    |paral   |2020yCat.1350....0G
8   |HD 135450                                                             |Star                              |15 16 19.9712998224 -35 41 52.990045332|333.3296416605331 +18.4810409171285|-13.347 -13.402    |9.46     |G8III          |    ~     ~          |    1|  477.715   pc  | -11.8213    +11.8213    |paral   |2020yCat.1350....0G
9   |HD 135488                                                             |Star                              |15 16 28.5452212656 -35 55 27.972615360|333.2227866222397 +18.2765753748348| -13.306 -3.027    |10.00    |F0V            |    ~     ~          |    1|  343.737   pc  |  -2.7412     +2.7412    |paral   |2020yCat.1350....0G
10  |HD 135642                                                             |Double or Multiple Star           |15 17 25.4305 -35 57 39.323            |333.3693922 +18.1396085            |-20.113 -52.477    |9.88     |G0/2           |    ~     ~          |    0|                |                         |        |                   
