C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
1   |CD-35 10348                                                           |Star                           |15 31 24.7871520024 -36 05 10.884198264|335.7131272337338 +16.4054662840481|-27.040 -22.849     |10.25    |G2                 |    ~     ~          
2   |CD-35 10353                                                           |Star                           |15 31 41.1288220008 -36 13 54.463256364|335.6687103236434 +16.2559412163519|  13.101 -1.311     |9.88     |K2                 |    ~     ~          
3   |CD-35 10361                                                           |Star                           |15 32 35.6777414389 -36 17 32.047993733|335.7840549080173 +16.0979289791063|      38.2 -3.9     |10.18    |G0                 |    ~     ~          
4   |CD-35 10367                                                           |Star                           |15 33 09.1289466000 -36 24 18.139604724|335.8071538209330 +15.9403409604841|    6.475 1.832     |10.01    |K0                 |    ~     ~          
5   |HD 137952                                                             |High Proper Motion Star        |15 30 25.1144400384 -37 23 13.205703732|334.7437113433747 +15.4767457051878|  56.125 25.237     |8.97     |G2/3V              |    ~     ~          
6   |HD 138010                                                             |Star                           |15 30 37.0156724712 -37 21 56.171150172|334.7898189340278 +15.4707322449180|  -7.046 -7.872     |9.61     |A1/2III/IV         |    ~     ~          
7   |HD 138066                                                             |Star                           |15 30 55.8917939688 -37 22 59.392821756|334.8313291763977 +15.4196042091946| -48.257 -4.081     |9.53     |G3V                |    ~     ~          
8   |CD-36 10237                                                           |High Proper Motion Star        |15 31 25.3358351064 -37 07 35.998452264|335.0707316957753 +15.5682763136516|-98.331 -67.124     |10.34    |G8                 |    ~     ~          
9   |CD-36 10244                                                           |Star                           |15 31 53.6706627408 -36 55 04.281349764|335.2783646988499 +15.6800909655611|  -3.641 -6.964     |10.18    |A0                 |    ~     ~          
10  |HD 137990                                                             |Star                           |15 30 36.8574200928 -37 41 24.368241048|334.5906290365643 +15.2091979032165|-24.865 -27.636     |7.84     |A7/8V              |    ~     ~          
11  |V* KS Lup                                                             |Long-Period Variable           |15 31 48.4949059344 -37 38 46.553432856|334.8148015644768 +15.1046565316990|   1.268 -3.045     |8.88     |M2/3III            |    ~     ~          
12  |HD 138271                                                             |Star                           |15 32 21.9618099792 -37 53 05.466662412|334.7598349710998 +14.8472543740616|-13.359 -23.145     |9.15     |A8/9V              |    ~     ~          
13  |HD 138285                                                             |Star                           |15 32 30.8981356128 -38 04 16.479447240|334.6696078958344 +14.6799483226657|-18.315 -14.322     |7.47     |A0V                |    ~     ~          
14  |HD 137953                                                             |Star                           |15 30 22.7555996880 -38 19 01.906641912|334.1693984183044 +14.7298283345821|-19.143 -22.520     |9.13     |F2V                |    ~     ~          
15  |CD-37 10330                                                           |Double or Multiple Star        |15 33 11.572 -38 16 30.18              |334.654832 +14.436879              |    -30.9 -28.5     |10.40    |F8                 |    ~     ~          
16  |CD-37 10290                                                           |Star                           |15 30 21.40 -37 34 10.3                |334.62169 +15.33664                |            ~ ~     |10.3     |~                  |    ~     ~          
17  |CD-35 10334                                                           |Star                           |15 30 14.3269415016 -36 06 39.608659908|335.4989678607740 +16.5267095878902|  -32.840 3.004     |10.45    |~                  |    ~     ~          
18  |CPD-37 6511                                                           |Spectroscopic Binary           |15 30 21.3172553064 -37 34 08.741164584|334.6217292897574 +15.3371527296275|  -10.979 2.352     |10.24    |~                  |    ~     ~          
19  |CD-36 10220                                                           |High Proper Motion Star        |15 30 44.3557759392 -36 50 15.701350596|335.1347412415526 +15.8818250997747|-102.972 28.487     |10.70    |~                  |    ~     ~          
20  |CPD-37 6520                                                           |Star                           |15 32 49.4363456160 -37 59 42.250479360|334.7670221190674 +14.7049494857880|  0.472 -22.211     |9.88     |~                  |    ~     ~          
21  |CD-37 10287                                                           |Star                           |15 30 03.6084848736 -37 32 38.798974464|334.5880001085888 +15.3918153393442|   4.369 -4.652     |10.66    |~                  |    ~     ~          
22  |CD-35 10339                                                           |Star                           |15 30 26.2860096096 -36 02 05.340641352|335.5799458014385 +16.5641358048128|-19.241 -23.406     |10.34    |~                  |    ~     ~          
23  |CD-37 10304                                                           |Star                           |15 30 52.2793256784 -37 33 02.747418336|334.7185195399562 +15.2915480957019|   3.642 -7.555     |10.94    |~                  |    ~     ~          
24  |CD-36 10239                                                           |Star                           |15 31 32.3615989440 -36 49 55.768578780|335.2720628065571 +15.7912303656430|  -9.694 -5.659     |10.84    |~                  |    ~     ~          
25  |CD-36 10243                                                           |High Proper Motion Star        |15 31 51.8357626008 -36 31 38.874333036|335.5151111638841 +15.9972170385968|-57.898 -12.643     |10.84    |~                  |    ~     ~          
26  |CD-38 10432                                                           |Star                           |15 32 29.5528318512 -38 29 06.359005824|334.4119292357065 +14.3496931894888|-24.840 -34.703     |9.67     |~                  |    ~     ~          
27  |CD-37 10318                                                           |Star                           |15 32 31.1738241120 -38 09 25.677615456|334.6175751203491 +14.6103545754705| -14.390 -6.699     |10.20    |~                  |    ~     ~          
28  |CD-37 10323                                                           |Star                           |15 32 59.0179949400 -38 22 11.597073132|334.5624687071087 +14.3851514299403|   3.585 -5.782     |10.07    |~                  |    ~     ~          
29  |CD-37 10325                                                           |Star                           |15 33 02.0838006072 -38 02 36.242503908|334.7717112677024 +14.6413975018023|-26.017 -11.122     |10.18    |~                  |    ~     ~          
30  |CD-37 10327                                                           |High Proper Motion Star        |15 33 04.8292911624 -38 00 48.353086116|334.7976584587984 +14.6600835523975|-33.171 -60.842     |9.68     |~                  |    ~     ~          
31  |CD-37 10329                                                           |Star                           |15 33 07.7177030160 -37 42 04.287242088|334.9982583548585 +14.9049588350324|   5.685 -7.752     |10.20    |~                  |    ~     ~          
32  |CD-37 10332                                                           |Star                           |15 33 11.7988046520 -37 43 50.605489704|334.9911711748085 +14.8732378499707|  -15.600 1.265     |10.78    |~                  |    ~     ~          
33  |CD-37 10331                                                           |Star                           |15 33 11.8628062368 -38 05 25.839893580|334.7692897817523 +14.5844505998168| -1.415 -10.177     |10.47    |~                  |    ~     ~          
34  |CD-36 10263                                                           |Star                           |15 33 33.2905104768 -36 28 39.713767644|335.8290937105597 +15.8336021358428|  -8.249 -4.079     |10.42    |~                  |    ~     ~          
35  |CPD-37 6513                                                           |Star                           |15 30 34.9067208624 -37 42 41.016859992|334.5722271010131 +15.1958064712884|-15.899 -17.744     |9.53     |~                  |    ~     ~          
