C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
1   |HD 140638                                                             |Star                                  |15 46 08.9126759952 -37 23 29.107911876|337.2942600056420 +13.5622442880326|  -2.782 -4.702   |9.75     |G8/K0III/IV      |    ~     ~            
2   |HD 140689                                                             |Star                                  |15 46 24.0213264336 -37 13 32.475263844|337.4420498367733 +13.6588967690960| -10.717 -1.650   |10.03    |K1/2(III)        |    ~     ~            
3   |HD 140922                                                             |Star                                  |15 47 35.4328010448 -37 14 50.715487680|337.6161725693525 +13.4917402309757| -34.152 13.740   |9.40     |G6III/IV         |    ~     ~            
4   |HD 140972                                                             |Star                                  |15 48 00.4117871256 -37 21 54.926832024|337.6046824067220 +13.3481647963787| -4.267 -16.069   |10.48    |F3/5V            |    ~     ~            
5   |CD-37 10474                                                           |Star                                  |15 45 20.9377981752 -37 52 11.063698464|336.8577854034166 +13.2909241305269| -17.612 -8.510   |10.5     |~                |    ~     ~            
6   |CD-37 10496                                                           |Star                                  |15 46 46.3772139144 -37 46 41.563740828|337.1412009579233 +13.1844378149927|  -9.874 -3.708   |10.5     |~                |    ~     ~            
7   |HD 140818                                                             |Star                                  |15 47 09.7757847288 -37 45 50.192166348|337.2117196188779 +13.1466512168584|  -1.498 -4.100   |10.8     |A0V              |    ~     ~            
8   |HD 140901                                                             |High Proper Motion Star               |15 47 29.1010163043 -37 54 58.722921986|337.1629600583955 +12.9885238757583|-415.507 -213.991 |6.01     |G7IV             |    ~     ~            
9   |HD 140974                                                             |Star                                  |15 47 56.9286277416 -38 02 03.382969848|337.1585345164343 +12.8393593670313|  -1.702 -4.842   |9.02     |K0/1III+A5/7     |    ~     ~            
10  |HD 140973                                                             |Star                                  |15 48 01.4700697368 -37 40 31.639502748|337.4045528684836 +13.1067517604321| 25.789 -34.135   |7.45     |F5/7II           |    ~     ~            
11  |HD 140958                                                             |Star                                  |15 47 51.1605189192 -38 15 36.031177944|336.9965472218086 +12.6770213430951|-20.228 -31.333   |8.06     |A6V              |    ~     ~            
12  |HD 140639                                                             |Star                                  |15 46 10.6970306808 -38 46 30.256135068|336.4028993733099 +12.4850350440358|-13.797 -17.645   |9.49     |F2V              |    ~     ~            
13  |HD 140923                                                             |Star                                  |15 47 42.7306402632 -38 23 19.488475500|336.8910007863283 +12.5950099276530|  -1.686 -1.482   |9.60     |K5/M0            |    ~     ~            
14  |HD 140877                                                             |Star                                  |15 47 29.2393168680 -39 40 29.857707336|336.0239864103691 +11.6266882131488|  20.388 -9.351   |10.04    |F7/8V            |    ~     ~            
15  |HD 140941                                                             |Star                                  |15 47 47.4923403264 -39 51 03.717254556|335.9567532301389 +11.4532527309395| -12.979 -7.974   |10.31    |F0/2(V)          |    ~     ~            
16  |CD-37 10477                                                           |Star                                  |15 45 27.1693432416 -38 18 12.334734432|336.5940340191340 +12.9408968223550| -10.952 -9.577   |10.98    |~                |    ~     ~            
17  |TYC 7837-974-1                                                        |Star                                  |15 45 43.6909282824 -38 07 41.068267320|336.7504017906068 +13.0431637996470|  -3.025 -2.711   |10.63    |~                |    ~     ~            
18  |CD-37 10487                                                           |Star                                  |15 46 04.2534990384 -38 05 21.703227468|336.8291720431240 +13.0307398999138|  -0.408 -0.686   |10.68    |~                |    ~     ~            
19  |CD-38 10646                                                           |Star                                  |15 46 23.8046289240 -38 25 32.876513436|336.6624116498063 +12.7293190293587| -9.144 -23.064   |10.65    |~                |    ~     ~            
