C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 143136                                                             |Star                              |16 00 08.0880813360 -38 12 15.982321176|338.9061314518157 +11.1508809722768| -24.912 -3.983    |10.06    |G8/K1            |    ~     ~    |    1|  370.041   pc  |  -7.2847     +7.2847  |paral   |2020yCat.1350....0G
2   |* eta Lup                                                             |Star                              |16 00 07.3278558 -38 23 48.151245      |338.7739288487 +11.0089599644      |  -16.96 -27.83    |3.41     |B2.5IV           |    ~     ~    |    1|  167.0565  pc  | -11.3529    +11.3529  |paral   |2018yCat.1345....0G
3   |CD-38 10798                                                           |High Proper Motion Star           |16 00 16.3857770880 -39 06 37.071304236|338.3136665954466 +10.4561648649082| -6.746 -64.067    |10.43    |G0               |    ~     ~    |    1|  162.027   pc  |  -0.5749     +0.5749  |paral   |2020yCat.1350....0G
4   |V* IO Lup                                                             |delta Sct Variable                |16 00 46.8971065392 -39 05 18.625537068|338.4033387277988 +10.4068582293410|  5.224 -49.774    |6.66     |A5mA5-F2         |    ~     ~    |    1|  146.197   pc  |  -0.6220     +0.6220  |paral   |2020yCat.1350....0G
5   |HD 143279                                                             |Star                              |16 00 58.2597966768 -38 26 54.210494364|338.8652046943858 +10.8596875933358|  -8.716 -2.543    |9.51     |G8/K0III         |    ~     ~    |    1|  490.244   pc  |  -3.8454     +3.8454  |paral   |2020yCat.1350....0G
6   |HD 143381                                                             |Star                              |16 01 28.9649776776 -38 38 26.205845352|338.8104907488839 +10.6497537529329| -19.208 -5.357    |9.98     |F0V              |    ~     ~    |    1|  216.174   pc  |  -0.8832     +0.8832  |paral   |2020yCat.1350....0G
7   |HD 143382                                                             |Star                              |16 01 34.5866538240 -38 48 18.053349912|338.7126475484433 +10.5151743880516|   7.832 -3.609    |9.80     |G8III/IV         |    ~     ~    |    1|  488.281   pc  |  -3.8862     +3.8862  |paral   |2020yCat.1350....0G
8   |HD 143405                                                             |Star                              |16 01 35.4503730672 -38 26 41.580063708|338.9595795821238 +10.7812742985399|  -4.400 -8.424    |9.21     |A7V              |    ~     ~    |    1|  491.304   pc  |  -4.1276     +4.1276  |paral   |2020yCat.1350....0G
9   |HD 143444                                                             |Star                              |16 01 51.5376315840 -38 57 23.286853440|338.6513851619494 +10.3657375595531|  -3.377 -6.439    |9.65     |K4/5(III)        |    ~     ~    |    1| 1106.317   pc  | -32.4343    +32.4343  |paral   |2020yCat.1350....0G
10  |HD 143504                                                             |Star                              |16 02 12.6374432592 -38 55 30.692433864|338.7243331319471 +10.3432740236822|  -0.126 -1.931    |10.36    |A(pSi)           |    ~     ~    |    1| 1346.076   pc  | -56.8943    +56.8943  |paral   |2020yCat.1350....0G
