C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 148503                                                                                                |Star                                  |16 30 14.3119945464 -40 02 16.705330620|341.8365004440732 +05.7629737092100|  -4.229 -4.890   |9.69     |K2                |    ~     ~    |    1|  332.712   pc  |  -2.2914     +2.2914  |paral   |2020yCat.1350....0G
2   |HD 148658                                                                                                |Star                                  |16 31 18.9541022544 -40 13 48.725299848|341.8364664612504 +05.4812728945374|   0.248 -5.106   |10.19    |B8Ib              |    ~     ~    |    1|  814.598   pc  | -10.4844    +10.4844  |paral   |2020yCat.1350....0G
3   |HD 148686                                                                                                |Star                                  |16 31 30.0228785544 -40 12 39.392108424|341.8747254696155 +05.4685992047611|  29.952 -9.842   |9.77     |K2/3(V)           |    ~     ~    |    1|  161.883   pc  |  -1.8056     +1.8056  |paral   |2020yCat.1350....0G
4   |HD 148705                                                                                                |Double or Multiple Star               |16 31 40.3810911120 -40 13 29.859365604|341.8869385037176 +05.4349121627682|  -1.447 -6.174   |8.98     |K5III             |    ~     ~    |    1|  918.189   pc  | -63.4833    +63.4833  |paral   |2020yCat.1350....0G
5   |HD 148518                                                                                                |Star                                  |16 30 26.2555728840 -40 23 23.850093984|341.6043660875774 +05.4947023561175|  10.220 11.591   |10.24    |G3V               |    ~     ~    |    1|  118.906   pc  |  -0.2927     +0.2927  |paral   |2020yCat.1350....0G
6   |HD 325647                                                                                                |Star                                  |16 30 48.1524582648 -40 33 23.077814832|341.5298461179966 +05.3303261642262| 31.704 -25.059   |10.45    |G0                |    ~     ~    |    1|  160.529   pc  |  -0.4252     +0.4252  |paral   |2020yCat.1350....0G
7   |HD 148645                                                                                                |Star                                  |16 31 21.3603834072 -41 03 33.129542844|341.2324878109028 +04.9107419119025| -29.264 -6.215   |8.72     |F3V               |    ~     ~    |    1|  176.678   pc  |  -0.6586     +0.6586  |paral   |2020yCat.1350....0G
8   |HD 148659                                                                                                |Star                                  |16 31 23.9061626256 -40 38 52.065128868|341.5401926398153 +05.1852795172816|-14.450 -18.203   |8.69     |K3(III)           |    ~     ~    |    1|  462.963   pc  |  -4.6725     +4.6725  |paral   |2020yCat.1350....0G
9   |HD 148673                                                                                                |Double or Multiple Star               |16 31 30.2205440664 -40 35 26.670122376|341.5957936235910 +05.2095262244639|  -22.043 2.581   |9.573    |M0/1              |    ~     ~    |    1|  675.219   pc  | -10.9877    +10.9877  |paral   |2020yCat.1350....0G
10  |HD 148674                                                                                                |Star                                  |16 31 30.5774046480 -40 50 14.130125088|341.4153611192010 +05.0407788597873| -29.080 -6.888   |9.78     |F6V               |    ~     ~    |    1|  149.853   pc  |  -0.3301     +0.3301  |paral   |2020yCat.1350....0G
11  |HD 148792                                                                                                |Star                                  |16 32 20.4570889848 -41 11 26.688076296|341.2625032343691 +04.6853234596406|-13.492 -25.996   |9.54     |A1mF0-F2          |    ~     ~    |    1|  199.716   pc  |  -0.8017     +0.8017  |paral   |2020yCat.1350....0G
12  |HD 148791                                                                                                |Star                                  |16 32 20.8640663424 -40 57 41.468031180|341.4321150807895 +04.8401691253727|   1.456 -0.535   |10.00    |A7/8V             |    ~     ~    |    1|  270.519   pc  |  -1.1855     +1.1855  |paral   |2020yCat.1350....0G
13  |HD 148808                                                                                                |Star                                  |16 32 23.2631370768 -40 18 56.978318304|341.9130511151952 +05.2731515059829|-10.065 -18.353   |10.36    |A7/9V             |    ~     ~    |    1|  359.557   pc  |  -3.4647     +3.4647  |paral   |2020yCat.1350....0G
14  |HD 148848                                                                                                |alpha2 CVn Variable                   |16 32 42.1021185840 -41 02 04.507892268|341.4238121371182 +04.7415239961390|-15.823 -28.204   |7.44     |ApSi              |    ~     ~    |    1|  201.572   pc  |  -1.0889     +1.0889  |paral   |2020yCat.1350....0G
15  |HD 325658                                                                                                |High Proper Motion Star               |16 32 49.6735372752 -41 14 18.963569616|341.2896628234605 +04.5856080768680| -62.901 -3.191   |10.94    |K0                |    ~     ~    |    1|  163.647   pc  |  -0.3589     +0.3589  |paral   |2020yCat.1350....0G
16  |HD 148885                                                                                                |Star                                  |16 32 56.7481515168 -40 26 43.681696080|341.8897912801286 +05.1071227890106|  -0.715 -7.987   |10.04    |B7II              |    ~     ~    |    0|                |                       |        |                   
17  |HD 148886                                                                                                |Star                                  |16 33 02.5242837432 -40 58 45.537847824|341.5082684500574 +04.7318378494994|   2.344 -1.871   |9.67     |B9III             |    ~     ~    |    1|  685.072   pc  | -10.4659    +10.4659  |paral   |2020yCat.1350....0G
18  |HD 148934                                                                                                |Star                                  |16 33 20.5722257784 -40 46 37.922488896|341.6960977094714 +04.8269620816118|  -0.741 -7.814   |10.09    |B9IV              |    ~     ~    |    1|  435.085   pc  |  -3.9374     +3.9374  |paral   |2020yCat.1350....0G
