C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 153382                                                                                                |Double or Multiple Star               |17 01 06.0575564520 -42 04 18.371835264|344.0740371057743 +00.0215153394337|  -1.282 -9.369    |7.33     |B8II           |0.0017  0.0    |    1|  514.350   pc  | -18.1486    +18.1486  |paral   |2020yCat.1350....0G
2   |HD 326625                                                                                                |Star                                  |17 01 31.6152125544 -41 27 33.853745160|344.6061051262241 +00.3348969561437| -2.771 -10.788    |9.66     |A3             |    ~     ~    |    1|  300.327   pc  |  -5.5290     +5.5290  |paral   |2020yCat.1350....0G
3   |HD 153616                                                                                                |Star                                  |17 02 27.9806770800 -41 19 07.786160832|344.8251517616554 +00.2817306979960|-22.844 -25.362    |8.99     |F3V            |    ~     ~    |    1|  146.071   pc  |  -1.2860     +1.2860  |ST-L    |2020AJ....160...83S
4   |HD 153693                                                                                                |Star                                  |17 02 48.8606544456 -41 22 20.329222044|344.8227258314962 +00.1973469406179|   1.226 -6.593    |9.27     |B9III          |    ~     ~    |    1|  486.808   pc  |  -4.7159     +4.7159  |paral   |2020yCat.1350....0G
5   |HD 326630                                                                                                |Blue Supergiant                       |17 03 02.7580741800 -41 35 28.020872580|344.6758937398278 +00.0294266782169|  -0.188 -1.744    |9.49     |B5Ia:          |    ~     ~    |    1| 2285.192   pc  | -98.6977    +98.6977  |paral   |2020yCat.1350....0G
6   |V* V594 Sco                                                                                              |Eclipsing Binary                      |17 00 24.6388181664 -41 42 39.166976664|344.2794335123452 +00.3448708618017|   0.854 -0.852    |10.50    |F0             |    ~     ~    |    1| 1680.955   pc  | -43.5144    +43.5144  |paral   |2020yCat.1350....0G
7   |HD 326605                                                                                                |Star                                  |17 00 08.7678269976 -41 13 26.743502028|344.6321808722605 +00.6839786061773|  -0.859 -4.842    |10.03    |A0             |    ~     ~    |    1|  759.301   pc  |  -9.2823     +9.2823  |paral   |2020yCat.1350....0G
8   |HD 326620                                                                                                |Star                                  |17 02 03.6629709288 -41 24 52.497141948|344.7028850737943 +00.2832803138459| -2.427 -13.232    |10.66    |A7             |    ~     ~    |    1|  479.846   pc  |  -3.2235     +3.2235  |paral   |2020yCat.1350....0G
9   |HD 326623                                                                                                |Star                                  |17 00 19.4318583528 -41 26 32.373901968|344.4809294813843 +00.5231577001297|  -4.954 -2.495    |10.15    |B9             |    ~     ~    |    1| 1005.025   pc  | -25.1509    +25.1509  |paral   |2020yCat.1350....0G
10  |HD 326627                                                                                                |Star                                  |17 01 57.6772294224 -41 28 42.039507396|344.6410322822678 +00.2590032139879|   0.416 -0.128    |10.47    |B8             |    ~     ~    |    1| 1222.942   pc  | -31.2578    +31.2578  |paral   |2020yCat.1350....0G
11  |HD 326628                                                                                                |Star                                  |17 02 40.0664660928 -41 31 49.714922424|344.6807228621626 +00.1224801714826|  -7.217 -2.811    |10.94    |F5             |    ~     ~    |    1|  440.567   pc  |  -2.9697     +2.9697  |paral   |2020yCat.1350....0G
12  |HD 326629                                                                                                |Star                                  |17 03 08.7020402904 -41 32 14.122007664|344.7298761954081 +00.0475998864098|  -2.466 -4.980    |10.34    |A0             |    ~     ~    |    1|  523.615   pc  |  -8.3623     +8.3623  |paral   |2020yCat.1350....0G
