C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
1   |HD 155690                                                                                                |Star                           |17 15 00.9785034240 -41 47 43.483366932|345.8447519737638 -01.8860275641684|   3.175 -3.572    |9.54     |A0V                 |    ~     ~          
2   |HD 156043                                                                                                |Star                           |17 17 13.6418563320 -41 49 58.762410204|346.0532046089728 -02.2434402189998|   3.438 -9.712    |9.27     |A3IV                |    ~     ~          
3   |HD 156172                                                                                                |beta Cep Variable              |17 17 59.7007462704 -42 03 38.240713944|345.9493882370549 -02.4912934205026|  -1.932 -4.965    |8.26     |O9Vnn(e)            |    ~     ~          
4   |HD 155738                                                                                                |High Proper Motion Star        |17 15 23.2984808448 -42 28 59.739018924|345.3251504116140 -02.3423985338483|-47.800 -33.121    |8.04     |K0III               |    ~     ~          
5   |HD 155755                                                                                                |Star                           |17 15 30.6443210616 -42 46 41.008257480|345.0981261884166 -02.5320446158642|  7.416 -25.451    |8.56     |G2V                 |    ~     ~          
6   |HD 327153                                                                                                |Star                           |17 15 59.8708101240 -42 29 56.116508496|345.3776908225994 -02.4429750431242|  -3.379 -3.354    |9.08     |K0                  |    ~     ~          
7   |HD 327154                                                                                                |Star                           |17 16 05.3999437608 -42 31 26.193974232|345.3671415049398 -02.4713192204034|    6.014 7.562    |9.49     |F0                  |    ~     ~          
8   |HD 155873                                                                                                |Emission-line Star             |17 16 10.3866289632 -42 47 34.528192332|345.1565815138046 -02.6396561219112|   0.260 -2.684    |8.31     |B0Ib                |    ~     ~          
9   |HD 155897                                                                                                |Star                           |17 16 21.8873408352 -42 56 59.429549616|345.0488719995758 -02.7591581317838| -11.776 -9.802    |8.79     |K3III               |    ~     ~          
10  |HD 155913                                                                                                |Star                           |17 16 26.3328574536 -42 40 04.122580080|345.2869809264241 -02.6069943129731|   -9.736 4.892    |8.34     |O4.5Vn((f))         |    ~     ~          
11  |HD 156069                                                                                                |Star                           |17 17 24.1575675120 -42 20 09.036410532|345.6609432647077 -02.5601752649142|  -0.078 -6.163    |8.61     |B9III               |    ~     ~          
12  |HD 327312                                                                                                |High Proper Motion Star        |17 17 26.2850737824 -42 39 51.883634700|345.3959779941797 -02.7549687366791|-66.995 -124.357   |9.97     |G0                  |    ~     ~          
13  |NGC 6322 17                        HD 156189                                                             |Star                           |17 18 05.4543241848 -42 53 52.925584956|345.2737429010779 -02.9873994298458| -5.708 -32.194    |7.62     |A3III/IV            |    ~     ~          
14  |NGC 6322 50                        CD-42 12008                                                           |Star                           |17 18 19.7521191288 -42 56 26.968339752|345.2637698240064 -03.0476909766367|  -0.119 -2.123    |10.36    |OB-                 |    ~     ~          
15  |NGC 6322 52                        HD 156233                                                             |Star                           |17 18 26.1399852936 -42 55 54.682883004|345.2823259622416 -03.0584973130427|  -0.022 -2.537    |9.18     |B0                  |    ~     ~          
16  |NGC 6322 82                        HD 156234                                                             |Star                           |17 18 27.4002821424 -42 58 55.500809700|345.2433442951498 -03.0904714101628|   0.048 -3.602    |7.76     |B0III               |    ~     ~          
