C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1   |CD-39 554                                                             |Star                           |01 49 53.4237495888 -38 56 19.105442556|260.6960181980255 -73.0259330343595|   8.073 -0.196   |10.02    |G8              |    ~     ~    
2   |HD 11299                                                              |High Proper Motion Star        |01 50 01.3841891664 -38 49 50.968173468|260.3544685515703 -73.0746794438017|-89.948 -58.431   |8.23     |F5V             |    ~     ~    
3   |HD 11470                                                              |Star                           |01 51 54.0557098512 -38 53 01.023642780|259.7124339933604 -72.7570917355756|  15.336 -6.148   |8.08     |F3/5IV          |    ~     ~    
4   |HD 11537                                                              |High Proper Motion Star        |01 52 26.2201696656 -38 44 42.705297852|259.1275373370260 -72.7604727276466|  53.970 25.343   |8.01     |A7V             |    ~     ~    
5   |HD 11056                                                              |Star                           |01 47 47.4524124432 -39 34 27.188022864|263.2437568370509 -72.9142456949315| -12.393 -3.936   |8.73     |K1III           |    ~     ~    
6   |HD 11239                                                              |Spectroscopic Binary           |01 49 35.6983899816 -39 44 29.887886112|262.8764393371167 -72.5445085401479|   -7.543 8.982   |9.73     |F8V             |    ~     ~    
7   |HD 11511                                                              |High Proper Motion Star        |01 52 12.3187398648 -39 40 28.143690060|261.6201814735197 -72.2099658182944|-43.949 -43.513   |8.09     |F3V             |    ~     ~    
8   |HD 11526                                                              |Spectroscopic Binary           |01 52 21.7066006848 -39 24 59.056637688|260.9059646193236 -72.3523273120177| 11.358 -29.847   |7.83     |K2III           |    ~     ~    
9   |CD-39 542                                                             |Star                           |01 47 30.0492860424 -39 15 00.419686812|262.5492816454941 -73.1734030277132|  -4.369 -4.918   |10.49    |A0              |    ~     ~    
10  |HD 10903                                                              |High Proper Motion Star        |01 46 11.6090103192 -40 14 52.570198212|265.6049348019320 -72.6695961630555|  28.523 44.307   |9.14     |F5/6V           |    ~     ~    
11  |CD-40 445B                                                            |Star                           |01 46 40.0697913936 -39 56 39.183674676|264.6604700974725 -72.8178553177535|   -4.719 1.547   |10.259   |~               |    ~     ~    
12  |HD 10948                                                              |Double or Multiple Star        |01 46 40.82618 -39 56 39.5437          |264.65502961 -72.81604838          |     -5.32 1.32   |8.41     |A8V             |    ~     ~    
13  |HD 11341                                                              |Star                           |01 50 35.2644652920 -39 59 24.061250904|263.0676053685577 -72.2368744184336|    0.940 1.973   |9.61     |K1(III)         |    ~     ~    
