C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 158382                                                                                                |Star                                  |17 30 54.0689140272 -42 01 41.319996384|347.3218393193864 -04.4573030253303| -6.910 -37.546   |8.48     |F0IV/V           |    ~     ~    |    1|  252.150   pc  |  -3.3824     +3.3824    |paral   |2020yCat.1350....0G
2   |HD 158471                                                                                                |Star                                  |17 31 29.1243831216 -42 00 37.812153708|347.3959783534464 -04.5386892589694|  -1.829 -7.924   |8.90     |B8/9IV           |    ~     ~    |    1|  576.868   pc  | -16.3726    +16.3726    |paral   |2020yCat.1350....0G
3   |GSC 07892-00374                                                                                          |Long-Period Variable Candidate        |17 31 12.8231311848 -42 00 40.367180988|347.3678195115483 -04.4967435892274|  -1.138 -4.210   |9.57     |M                |    ~     ~    |    1| 1119.7     pc  | -35.9817    +35.9817    |paral   |2020yCat.1350....0G
4   |HD 323861                                                                                                |Star                                  |17 34 21.2124800568 -42 03 25.870457052|347.6455654253954 -05.0119265891463|  13.023 13.150   |9.44     |F8               |    ~     ~    |    1|  236.211   pc  |  -3.8778     +3.8778    |paral   |2020yCat.1350....0G
5   |HD 158218                                                                                                |Star                                  |17 30 00.7879220496 -42 19 55.879468176|346.9762516995149 -04.4856305000770|  -2.005 -6.981   |8.30     |B8               |    ~     ~    |    1|  487.140   pc  |  -9.2549     +9.2549    |paral   |2020yCat.1350....0G
6   |HD 158237                                                                                                |Star                                  |17 30 04.7991082776 -42 27 22.908529332|346.8787590840801 -04.5638996796283|  -1.531 -2.999   |9.21     |A0V              |    ~     ~    |    1|  486.287   pc  |  -5.1551     +5.1551    |paral   |2020yCat.1350....0G
7   |HD 158257                                                                                                |Star                                  |17 30 15.4090548120 -42 54 44.454706416|346.5134319448482 -04.8403262360031|  2.453 -26.339   |9.17     |F0V              |    ~     ~    |    1|  162.240   pc  |  -2.1880     +2.1880    |ST-L    |2020AJ....160...83S
8   |HD 158323A                                                                                               |Star                                  |17 30 39.4282644769 -43 03 42.350660584|346.4278338866205 -04.9831943189195|  -0.682 -1.486   |8.84     |B5III            |    ~     ~    |    1|  972.195   pc  | -69.7531    +69.7531    |paral   |2018yCat.1345....0G
9   |HD 158323B                                                                                               |Star                                  |17 30 39.2747487696 -43 03 37.841016996|346.4286325012331 -04.9821197770547|  -0.095 -1.267   |9.93     |~                |    ~     ~    |    1| 1090.275   pc  | -24.3683    +24.3683    |paral   |2020yCat.1350....0G
10  |CD-42 12202B                                                                                             |High Proper Motion Star               |17 30 46.2672434112 -42 27 13.401461124|346.9508303706738 -04.6692458072106|   0.297 -2.249   |10.8     |~                |    ~     ~    |    1| 1165.637   pc  | -28.5329    +28.5329    |paral   |2020yCat.1350....0G
11  |HD 158362                                                                                                |Star                                  |17 30 46.5176587752 -42 27 28.649424600|346.9476894677167 -04.6722009052659|  1.352 -26.808   |8.23     |A1IV/V           |    ~     ~    |    1|  411.015   pc  |  -8.9366     +8.9366    |paral   |2020yCat.1350....0G
12  |HD 158363                                                                                                |Star                                  |17 30 52.5095824776 -42 46 17.054761800|346.6940349889153 -04.8584518924985|  -0.435 -1.962   |9.71     |B3III            |    ~     ~    |    1| 1126.634   pc  | -27.7977    +27.7977    |paral   |2020yCat.1350....0G
13  |HD 158361                                                                                                |Star                                  |17 30 50.0821744176 -42 11 18.446249184|347.1803180023799 -04.5344189496929| 11.640 -20.938   |8.61     |A2/3III          |    ~     ~    |    1|  311.023   pc  |  -1.9927     +1.9927    |paral   |2020yCat.1350....0G
14  |HD 158472                                                                                                |Star                                  |17 31 30.0166169904 -42 25 01.068445776|347.0552726323552 -04.7620727034041|    4.623 8.235   |9.36     |A2III            |    ~     ~    |    1|  385.788   pc  |  -3.0213     +3.0213    |paral   |2020yCat.1350....0G
15  |HD 158546                                                                                                |Star                                  |17 31 55.4489810664 -42 27 53.008003440|347.0576548953836 -04.8536750962398|  -2.294 -7.970   |9.10     |A1V              |    ~     ~    |    1|  500.601   pc  |  -5.6135     +5.6135    |paral   |2020yCat.1350....0G
16  |HD 158623                                                                                                |Spectroscopic Binary                  |17 32 19.3439628960 -42 10 54.270676956|347.3363118129541 -04.7620579709590|-22.332 -36.335   |7.83     |A1/2mA3-F2       |    ~     ~    |    1|  139.743   pc  |  -0.4667     +0.4667    |paral   |2020yCat.1350....0G
17  |HD 158708                                                                                                |Star                                  |17 32 40.7794344288 -42 21 52.973270568|347.2178463096068 -04.9166946446419|   0.266 -3.165   |8.27     |B9III            |    ~     ~    |    1|  984.543   pc  | -28.0135    +28.0135    |paral   |2020yCat.1350....0G
18  |HD 158744                                                                                                |Star                                  |17 32 55.2968629608 -42 06 33.352032240|347.4578015368595 -04.8162138020239| -1.077 -10.656   |8.37     |A0V              |    ~     ~    |    1|  242.872   pc  |  -1.6103     +1.6103    |paral   |2020yCat.1350....0G
19  |HD 323859                                                                                                |High Proper Motion Star               |17 33 13.3925205600 -42 16 50.273894964|347.3433529813802 -04.9557975030996|34.836 -117.149   |10.04    |K2               |    ~     ~    |    1|   56.142   pc  |  -0.0662     +0.0662    |paral   |2020yCat.1350....0G
20  |HD 323858                                                                                                |Star                                  |17 33 15.2861501760 -42 14 08.714570172|347.3844366915583 -04.9364901036152|  12.944 -2.104   |9.13     |K2               |    ~     ~    |    1|  674.627   pc  | -19.2061    +19.2061    |paral   |2020yCat.1350....0G
21  |HD 158846                                                                                                |Double or Multiple Star               |17 33 29.0525789208 -42 23 58.808595264|347.2688493890333 -05.0606191928517|   1.073 -6.426   |7.36     |B3IV/V           |0.0033  0.0    |    1|  283.238   pc  | -27.9660    +27.9660    |paral   |2020yCat.1350....0G
22  |CD-42 12247                                                                                              |Star                                  |17 33 37.4710296072 -42 41 14.452262592|347.0394791299148 -05.2373677071277|  -0.554 -2.610   |10.17    |~                |    ~     ~    |    1|  943.307   pc  | -27.4957    +27.4957    |paral   |2020yCat.1350....0G
23  |CD-42 12253                                                                                              |Star                                  |17 33 46.3292506824 -42 40 26.859575100|347.0653332087027 -05.2531206965885|   2.089 -8.475   |9.62     |~                |    ~     ~    |    1|  241.820   pc  |  -1.0175     +1.0175    |paral   |2020yCat.1350....0G
24  |CD-42 12254                                                                                              |Star                                  |17 33 49.6184058336 -42 47 43.869763788|346.9680004473192 -05.3269051250066|  -1.229 -5.231   |10.84    |A2               |    ~     ~    |    1|  621.697   pc  |  -6.8412     +6.8412    |paral   |2020yCat.1350....0G
25  |CD-42 12257                                                                                              |Star                                  |17 33 53.8278905016 -42 28 46.709440824|347.2423824889199 -05.1678781914552|  -6.270 -5.999   |9.52     |K5               |    ~     ~    |    1|  745.879   pc  | -27.2604    +27.2604    |paral   |2020yCat.1350....0G
26  |HD 159014                                                                                                |Emission-line Star                    |17 34 24.5706055128 -42 54 21.087603252|346.9321014054367 -05.4762260098466|  -0.499 -2.241   |9.64     |A(pSi)           |    ~     ~    |    1| 1016.467   pc  | -26.3467    +26.3467    |paral   |2020yCat.1350....0G
27  |HD 159111                                                                                                |Star                                  |17 34 54.5275012920 -42 55 01.551775044|346.9717649444644 -05.5594436178594|   4.656 -8.385   |8.05     |B5/7IV           |    ~     ~    |    1|  458.737   pc  |  -6.8814     +6.8814    |paral   |2020yCat.1350....0G
28  |HD 159129                                                                                                |Star                                  |17 35 00.3368053536 -43 01 11.504212716|346.8940414559323 -05.6293774015475|  -0.808 -1.881   |8.91     |B5II/III         |    ~     ~    |    1| 1212.709   pc  | -55.7381    +55.7381    |paral   |2020yCat.1350....0G
29  |CD-42 12277                                                                                              |Star                                  |17 35 21.4426853232 -42 45 17.325769536|347.1537292993745 -05.5421757034401|     30.1 -28.0   |10.191   |G0               |    ~     ~    |    0|                |                         |        |                   
30  |HD 159196                                                                                                |Star                                  |17 35 21.4197837840 -42 25 51.978769248|347.4285431640875 -05.3691247800040|   1.966 -2.247   |9.84     |B5/7III          |    ~     ~    |    1|  819.538   pc  | -43.0523    +43.0523    |paral   |2020yCat.1350....0G
