C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:53:35

dec< 0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8404

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-42 12456                                                                                              |Star                           |17 46 29.9850333000 -42 42 46.858532616|348.2624544783918 -07.2666537925105|   1.883 -2.805     |10.32    |A0              |    ~     ~          |    1|  768.226   pc  | -13.1608    +13.1608    |paral   |2020yCat.1350....0G
2   |CD-42 12459                                                                                              |Star                           |17 46 42.2536803504 -42 37 13.559068416|348.3620999271288 -07.2520296885116|   4.421 -0.185     |10.07    |F5              |    ~     ~          |    1|  206.011   pc  |  -0.7088     +0.7088    |paral   |2020yCat.1350....0G
3   |HD 161311                                                                                                |Star                           |17 46 53.5447335576 -42 58 00.961475052|348.0786178934764 -07.4574790687732|   2.728 -5.746     |9.19     |A0/1V           |    ~     ~          |    1|  401.236   pc  |  -3.6545     +3.6545    |paral   |2020yCat.1350....0G
4   |HD 161332                                                                                                |Star                           |17 46 54.6500298888 -42 30 25.508150964|348.4800151509826 -07.2272971593724|  -1.925 -4.743     |9.28     |B9II            |    ~     ~          |    1|  700.329   pc  | -19.8146    +19.8146    |paral   |2020yCat.1350....0G
5   |CD-42 12465                                                                                              |Star                           |17 47 04.8337410240 -43 01 39.307956348|348.0434296329661 -07.5178528451310|  -0.464 -4.273     |10.19    |F0              |    ~     ~          |    1| 2085.071   pc  |-112.6008   +112.6008    |paral   |2020yCat.1350....0G
6   |CD-42 12466                                                                                              |Star                           |17 47 08.3056824432 -43 00 42.798755664|348.0624843382054 -07.5190344384615|  -0.868 -3.812     |9.28     |K2              |    ~     ~          |    1|  406.405   pc  |  -2.7748     +2.7748    |paral   |2020yCat.1350....0G
7   |HD 324368                                                                                                |Star                           |17 47 19.1921569272 -42 19 34.561604892|348.6756973545583 -07.2007098336162|  -1.650 -3.750     |10.30    |A2              |    ~     ~          |    1|  718.546   pc  | -21.5817    +21.5817    |paral   |2020yCat.1350....0G
8   |CD-42 12472                                                                                              |Star                           |17 47 31.7756665968 -42 58 57.910584108|348.1243096512479 -07.5660234140967| -2.007 -18.236     |9.33     |K0              |    ~     ~          |    1|  491.063   pc  |  -3.2313     +3.2313    |paral   |2020yCat.1350....0G
9   |HD 324369                                                                                                |Star                           |17 48 07.8758594832 -42 17 12.395814900|348.7865137429497 -07.3101648503471|  -1.262 -2.810     |9.97     |B2              |    ~     ~          |    1| 2628.812   pc  |-244.6371   +244.6371    |paral   |2020yCat.1350....0G
10  |HD 161547                                                                                                |Star                           |17 48 12.2622676128 -42 32 16.745014284|348.5746628784857 -07.4485382696020|  -5.209 -9.429     |8.68     |B9III           |    ~     ~          |    1|  552.669   pc  |  -8.6135     +8.6135    |paral   |2020yCat.1350....0G
11  |HD 161563                                                                                                |Star                           |17 48 18.5611178448 -42 42 09.653682456|348.4409911490310 -07.5482087086991|  0.166 -17.327     |9.05     |F0V             |    ~     ~          |    1|  216.268   pc  |  -1.3096     +1.3096    |paral   |2020yCat.1350....0G
12  |HD 161614                                                                                                |Star                           |17 48 38.1681756408 -43 01 15.086779824|348.1939048362251 -07.7599947102604|  -2.056 -4.478     |9.02     |B8/9Ib/II       |    ~     ~          |    1|  682.175   pc  | -14.8451    +14.8451    |paral   |2020yCat.1350....0G
13  |HD 160991                                                                                                |Star                           |17 45 08.7167001408 -43 43 27.603280920|347.2578187456551 -07.5686201082108| -4.245 -15.241     |8.85     |G6/8III         |    ~     ~          |    1|  502.311   pc  |  -4.7688     +4.7688    |paral   |2020yCat.1350....0G
14  |HD 161042                                                                                                |Star                           |17 45 22.8572000592 -43 10 54.792314400|347.7504986982848 -07.3289849833797|   0.207 -3.423     |9.72     |B8/9II          |    ~     ~          |    1|  871.156   pc  | -27.2450    +27.2450    |paral   |2020yCat.1350....0G
15  |HD 161043                                                                                                |Variable Star                  |17 45 26.9744239416 -43 36 28.085421240|347.3872601391045 -07.5566484515822| -14.932 -1.395     |7.90     |M1III           |    ~     ~          |    1|  427.314   pc  |  -4.1084     +4.1084    |paral   |2020yCat.1350....0G
16  |HD 161156                                                                                                |Star                           |17 46 00.6650019960 -43 05 41.114310864|347.8851248793201 -07.3835656974699|  -1.024 -2.097     |9.00     |G8/K1III+A7/9   |    ~     ~          |    1|  630.477   pc  | -17.4901    +17.4901    |paral   |2020yCat.1350....0G
17  |CD-43 12012                                                                                              |Star                           |17 46 57.4373307120 -43 55 52.194819036|347.2451449438726 -07.9551737580375| -9.754 -26.700     |9.71     |A7              |    ~     ~          |    1|  288.942   pc  |  -7.3553     +7.3553    |paral   |2020yCat.1350....0G
18  |CD-43 12015                                                                                              |Star                           |17 46 58.2095687520 -43 30 46.711427688|347.6106817579509 -07.7459752494660| -4.637 -10.652     |9.431    |~               |    ~     ~          |    1|  722.491   pc  |  -8.8739     +8.8739    |paral   |2020yCat.1350....0G
19  |HIP 87029                                                                                                |Star                           |17 46 57.3157621675 -43 29 24.922177324|347.6290875466337 -07.7321610810730| -3.813 -10.176     |9.87     |~               |    ~     ~          |    1|  228.212   pc  |  -0.8332     +0.8332    |paral   |2020yCat.1350....0G
