C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
1   |HD 163804                                                                                                                                                                      |Star                                  |18 00 01.5431173728 -42 11 58.234471476|349.9551202149070 -09.1851861110525|  -0.463 -5.231   |9.14     |A0                   |    ~     ~            
2   |CD-42 12709                                                                                                                                                                    |Star                                  |18 00 08.5886705760 -42 24 00.292444236|349.7869508342991 -09.2998555104730|-17.794 -17.313   |9.54     |G5                   |    ~     ~            
3   |CD-42 12710B                                                                                                                                                                   |Star                                  |18 00 12.4548274176 -42 58 11.307871812|349.2845690509803 -09.5811592339249| -3.622 -14.854   |10.54    |~                    |    ~     ~            
4   |HD 163821                                                                                                                                                                      |Star                                  |18 00 13.1148330408 -42 58 14.113293852|349.2848422572503 -09.5833001962417| -2.774 -12.815   |9.65     |A1/2IV               |    ~     ~            
5   |HD 163833                                                                                                                                                                      |alpha2 CVn Variable                   |18 00 19.0734078480 -42 36 59.250890952|349.6095840885016 -09.4311202538314|   2.536 -2.629   |9.62     |Ap(Si)               |    ~     ~            
6   |CD-42 12733                                                                                                                                                                    |Star                                  |18 01 10.5178741800 -42 49 03.688693500|349.5056116908374 -09.6651798065743|  1.280 -26.625   |9.83     |G0                   |    ~     ~            
7   |HD 164038                                                                                                                                                                      |Star                                  |18 01 18.0744815640 -42 25 53.815393596|349.8616826860871 -09.5029470693853|   0.134 -3.336   |9.85     |A0V                  |    ~     ~            
8   |CD-42 12745                                                                                                                                                                    |Star                                  |18 01 37.7946678912 -42 39 22.030683264|349.6900697674437 -09.6624216379924|  -0.371 -3.631   |10.23    |OB-                  |    ~     ~            
9   |HD 164247                                                                                                                                                                      |Star                                  |18 02 16.5209988720 -42 14 11.602595616|350.1222508307803 -09.5694593242189|   2.866 -4.419   |9.00     |A0V                  |    ~     ~            
10  |HD 164300                                                                                                                                                                      |High Proper Motion Star               |18 02 26.2810431384 -42 54 17.310460248|349.5382736727507 -09.9103260110850|  3.574 -50.061   |7.50     |K3III                |    ~     ~            
11  |CD-43 12181                                                                                                                                                                    |Star                                  |18 00 02.9383456176 -43 56 05.428842144|348.4083190556078 -10.0130621747620|   1.041 -4.367   |10.32    |A5                   |    ~     ~            
12  |HD 163856                                                                                                                                                                      |Star                                  |18 00 26.6318201256 -43 47 13.850384424|348.5746208639766 -10.0060136999901|   5.850 -4.517   |10.59    |A9V                  |    ~     ~            
13  |HD 163901                                                                                                                                                                      |Star                                  |18 00 39.0104018784 -43 29 29.177919636|348.8571724012829 -09.8992136417648| -4.969 -20.356   |9.34     |K0                   |    ~     ~            
14  |HD 164051                                                                                                                                                                      |Star                                  |18 01 28.5650327736 -43 20 49.933666104|349.0581017775061 -09.9634311518130| -4.607 -18.682   |10.05    |A8(IV)               |    ~     ~            
15  |HD 164110                                                                                                                                                                      |Star                                  |18 01 44.5911101856 -43 09 12.068757756|349.2549822698057 -09.9150909376205|   0.622 -1.326   |10.42    |B9/A2V               |    ~     ~            
16  |HD 164274                                                                                                                                                                      |Star                                  |18 02 24.4891309776 -43 07 18.717010716|349.3410746431776 -10.0073792404275|   6.859 -1.052   |9.52     |K2(III)              |    ~     ~            
17  |HD 164409                                                                                                                                                                      |Star                                  |18 03 02.6004074352 -43 27 46.154648484|349.0899159158777 -10.2690725198568|  1.328 -15.848   |7.40     |G8III                |    ~     ~            
18  |CD-44 12254                                                                                                                                                                    |Long-Period Variable Candidate        |18 01 06.7366074648 -44 48 23.837380092|347.7173261932742 -10.5909113901524|   1.439 -5.786   |9.94     |M1/2                 |    ~     ~            
