C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:00:37

dec< 0&rah >=18.25&rah< 18.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 9484

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-42 13109                                                                                                                                                                    |Spectroscopic Binary                  |18 19 03.9722567424 -42 05 43.490839344|351.6823569118118 -12.2810081192125|  5.478 -10.776   |10.81    |~                |    ~     ~    |    1| 1835.536   pc  | -80.8606    +80.8606    |paral   |2020yCat.1350....0G
2   |HD 166945                                                                                                                                                                      |Star                                  |18 15 00.0963267840 -42 46 10.146656532|350.7275504517875 -11.8999869692894|   2.888 -4.781   |9.33     |A5IV/V           |    ~     ~    |    1| 1082.251   pc  | -23.3082    +23.3082    |paral   |2020yCat.1350....0G
3   |HD 167345                                                                                                                                                                      |Star                                  |18 16 44.4411316296 -42 35 30.997202892|351.0338584147290 -12.1095357322268|   -8.970 5.200   |9.88     |G8III/IV         |    ~     ~    |    1|  593.577   pc  |  -4.5099     +4.5099    |paral   |2020yCat.1350....0G
4   |HD 167367                                                                                                                                                                      |Star                                  |18 16 53.7396818592 -42 40 02.118409896|350.9772408164263 -12.1680214779948| -0.096 -14.728   |10.32    |A1III            |    ~     ~    |    1|  486.476   pc  |  -4.1415     +4.1415    |paral   |2020yCat.1350....0G
5   |CD-42 13071                                                                                                                                                                    |Star                                  |18 17 11.4450674952 -42 28 18.681251304|351.1813667058025 -12.1318136210102|  10.254 -6.151   |10.33    |~                |    ~     ~    |    1|  796.749   pc  | -44.5001    +44.5001    |paral   |2020yCat.1350....0G
6   |HD 167444                                                                                                                                                                      |Star                                  |18 17 13.9295979504 -42 12 58.595270724|351.4200099156809 -12.0273008682123|   0.092 -4.283   |9.22     |B9IV             |    ~     ~    |    1|  827.815   pc  | -24.1903    +24.1903    |paral   |2020yCat.1350....0G
7   |HD 167445                                                                                                                                                                      |Star                                  |18 17 16.6794623064 -42 55 08.160219336|350.7765201864971 -12.3406128319295|  16.404 -2.449   |9.86     |F5/6IV/V         |    ~     ~    |    1|  266.581   pc  |  -1.0447     +1.0447    |paral   |2020yCat.1350....0G
8   |HD 167620                                                                                                                                                                      |Star                                  |18 18 04.8538788480 -42 35 12.490592892|351.1482969827791 -12.3294556662394|    6.517 0.041   |10.68    |G0               |    ~     ~    |    1|  445.831   pc  |  -4.4126     +4.4126    |paral   |2020yCat.1350....0G
9   |HD 167689                                                                                                                                                                      |Star                                  |18 18 22.5403972272 -42 54 09.030569184|350.8807294801828 -12.5147106600057| -2.315 -19.159   |8.90     |F0IV             |    ~     ~    |    1|  232.916   pc  |  -3.9494     +3.9494    |paral   |2020yCat.1350....0G
10  |HD 167913                                                                                                                                                                      |Star                                  |18 19 19.2157645248 -42 31 16.580289972|351.3097108061836 -12.5070473155490|   2.935 -3.618   |9.39     |G6III            |    ~     ~    |    1|  487.140   pc  |  -4.1766     +4.1766    |paral   |2020yCat.1350....0G
11  |HD 167912                                                                                                                                                                      |Star                                  |18 19 22.6725750456 -42 24 32.212846764|351.4182390976558 -12.4682922829430|     5.10 -1.80   |10.52    |F5/7             |    ~     ~    |    0|                |                         |        |                   
12  |HD 167953                                                                                                                                                                      |Star                                  |18 19 32.9610985344 -42 31 25.452494328|351.3260257309260 -12.5462152759313|    1.950 8.496   |9.92     |A7/8V            |    ~     ~    |    1|  287.026   pc  |  -1.8784     +1.8784    |paral   |2020yCat.1350....0G
13  |HD 168006                                                                                                                                                                      |Star                                  |18 19 48.4249028328 -42 53 05.602593948|351.0124727085250 -12.7438749170520| -0.245 -13.243   |9.77     |F3IV/V           |    ~     ~    |    1|  412.797   pc  |  -3.0331     +3.0331    |paral   |2020yCat.1350....0G
14  |HD 168027                                                                                                                                                                      |Star                                  |18 19 54.2261545344 -42 48 15.712829136|351.0948616280865 -12.7254285140208|   2.518 -2.736   |10.50    |A1V              |    ~     ~    |    1|  679.810   pc  |  -9.6125     +9.6125    |paral   |2020yCat.1350....0G
15  |HD 168125                                                                                                                                                                      |Star                                  |18 20 17.2780596408 -42 33 47.706205104|351.3492256672849 -12.6860634167150| -1.543 -12.399   |10.16    |A2/3III          |    ~     ~    |    1|  648.424   pc  | -16.3557    +16.3557    |paral   |2020yCat.1350....0G
16  |HD 168146                                                                                                                                                                      |Star                                  |18 20 22.8630348888 -42 13 21.935527212|351.6720692664299 -12.5557630137143|   3.072 -8.684   |10.34    |A9/F2IV/V        |    ~     ~    |    1|  579.509   pc  | -11.4518    +11.4518    |paral   |2020yCat.1350....0G
17  |HD 168195                                                                                                                                                                      |Double or Multiple Star               |18 20 31.5129283824 -42 18 52.242858540|351.5988289948627 -12.6191694374821|   5.515 -4.314   |9.60     |A1V              |    ~     ~    |    1|  478.217   pc  |  -8.0042     +8.0042    |paral   |2020yCat.1350....0G
18  |HD 168196                                                                                                                                                                      |Spectroscopic Binary                  |18 20 34.8520631160 -42 31 26.525210844|351.4092124657209 -12.7180645161926| -2.729 -17.011   |9.79     |A1V              |    ~     ~    |    1|  309.607   pc  |  -1.9555     +1.9555    |paral   |2020yCat.1350....0G
19  |HD 168286                                                                                                                                                                      |High Proper Motion Star               |18 20 59.8124770872 -42 54 11.171745432|351.0909066238098 -12.9487426405413|-67.225 -154.786  |9.51     |G2V              |    ~     ~    |    1|   90.593   pc  |  -0.1699     +0.1699    |paral   |2020yCat.1350....0G
20  |HD 168316                                                                                                                                                                      |Star                                  |18 21 01.9802255736 -42 40 54.586452144|351.2992443888463 -12.8606164712811|  2.145 -18.388   |8.91     |A3V              |    ~     ~    |    1|  227.206   pc  |  -2.3127     +2.3127    |paral   |2020yCat.1350....0G
21  |HD 168359                                                                                                                                                                      |Star                                  |18 21 12.9737131464 -42 08 07.003863204|351.8209308884028 -12.6581803285483|  1.705 -12.225   |10.63    |F2/3IV/V         |    ~     ~    |    1|  544.336   pc  |  -4.5630     +4.5630    |paral   |2020yCat.1350....0G
22  |HD 168378                                                                                                                                                                      |Star                                  |18 21 18.2027258376 -42 34 22.773969660|351.4219772763544 -12.8593067825641|  2.693 -21.416   |8.81     |A0V              |    ~     ~    |    1|  288.068   pc  |  -2.5559     +2.5559    |paral   |2020yCat.1350....0G
23  |HD 168379                                                                                                                                                                      |Star                                  |18 21 24.9609568392 -42 56 00.478128156|351.0961238433977 -13.0311114700767| 16.326 -11.811   |9.843    |G8/K0(III)       |    ~     ~    |    1|  671.459   pc  | -30.4400    +30.4400    |ST-L    |2020AJ....160...83S
24  |CD-42 13162                                                                                                                                                                    |High Proper Motion Star               |18 22 08.4432844920 -42 18 55.100198916|351.7285883775803 -12.8896778771651| 18.101 -61.968   |10.91    |F                |    ~     ~    |    1|  190.306   pc  |  -0.4563     +0.4563    |paral   |2020yCat.1350....0G
25  |HD 168527                                                                                                                                                                      |Star                                  |18 22 10.7782219320 -42 36 09.977572116|351.4645265032542 -13.0179877994240|  6.812 -10.910   |9.14     |A5V              |    ~     ~    |    1|  275.946   pc  |  -2.0026     +2.0026    |paral   |2020yCat.1350....0G
26  |HD 168560                                                                                                                                                                      |Chemically Peculiar Star              |18 22 21.8848202376 -42 56 03.799243536|351.1706506145532 -13.1888675758037|    7.854 1.264   |8.10     |K1pBa            |    ~     ~    |    1|  440.529   pc  |  -4.8128     +4.8128    |paral   |2020yCat.1350....0G
27  |HD 167095                                                                                                                                                                      |Be Star                               |18 15 50.4423234720 -43 10 07.477154760|350.4293710443217 -12.2129352487885|   2.627 -8.328   |7.041    |B9IIIe           |    ~     ~    |    1|  393.468   pc  |  -5.3722     +5.3722    |paral   |2020yCat.1350....0G
28  |HD 167185                                                                                                                                                                      |Star                                  |18 16 09.8972804880 -43 55 52.052622996|349.7526856661332 -12.5975247147599|  37.261 -2.138   |9.41     |F8/G0V           |    ~     ~    |    1|  107.909   pc  |  -0.1642     +0.1642    |paral   |2020yCat.1350....0G
29  |HD 167184                                                                                                                                                                      |Star                                  |18 16 07.2181386768 -43 16 04.358262468|350.3608179226512 -12.3020113845291|  -0.394 -1.214   |9.01     |G6III            |    ~     ~    |    1|  637.755   pc  |  -8.5414     +8.5414    |paral   |2020yCat.1350....0G
30  |HD 167384                                                                                                                                                                      |Double or Multiple Star               |18 17 03.8065631760 -43 35 41.384614488|350.1352747045503 -12.5981709754896|  6.151 -13.527   |8.41     |G8/K0III+A2/3    |0.0017  0.0    |    1|  386.548   pc  | -10.6237    +10.6237    |paral   |2020yCat.1350....0G
31  |HD 167421                                                                                                                                                                      |Star                                  |18 17 13.6960282104 -43 45 45.244489896|349.9934142293528 -12.6974929837234| -3.048 -15.703   |10.33    |A9/F2V           |    ~     ~    |    1|  328.591   pc  |  -3.3039     +3.3039    |paral   |2020yCat.1350....0G
32  |HD 167460                                                                                                                                                                      |Star                                  |18 17 27.7569143400 -43 18 51.076389672|350.4266371660879 -12.5421700231970| -10.156 -0.567   |9.68     |G8/K0(III)       |    ~     ~    |    1|  492.781   pc  |  -8.7420     +8.7420    |paral   |2020yCat.1350....0G
33  |HD 167486                                                                                                                                                                      |Star                                  |18 17 33.3031696656 -43 29 28.955679612|350.2703183565126 -12.6338367824695| -3.438 -20.475   |8.31     |A0/1V            |    ~     ~    |    1|  235.372   pc  |  -2.0332     +2.0332    |paral   |2020yCat.1350....0G
34  |HD 167509                                                                                                                                                                      |Star                                  |18 17 37.5171424392 -43 03 34.369520148|350.6749432590445 -12.4587804826633|  10.676 -7.681   |8.63     |A3IV/V           |    ~     ~    |    1|  197.355   pc  |  -0.8413     +0.8413    |paral   |2020yCat.1350....0G
35  |HD 167556                                                                                                                                                                      |Star                                  |18 17 50.4802578504 -43 50 05.555855004|349.9753330648083 -12.8284716958752|   0.298 -8.951   |10.27    |F0V              |    ~     ~    |    1|  873.897   pc  | -20.8489    +20.8489    |paral   |2020yCat.1350....0G
36  |HD 167803                                                                                                                                                                      |High Proper Motion Star               |18 18 58.5021371976 -43 51 00.387941436|350.0510325014714 -13.0197184635767| 41.572 -58.503   |9.79     |G3V              |    ~     ~    |    1|  149.367   pc  |  -0.4306     +0.4306    |paral   |2020yCat.1350....0G
37  |HD 167802                                                                                                                                                                      |Star                                  |18 18 57.2512788312 -43 42 27.838287792|350.1814981079078 -12.9555061873341|    0.132 2.268   |10.63    |A2/3             |    ~     ~    |    1|  475.285   pc  |  -5.5570     +5.5570    |paral   |2020yCat.1350....0G
38  |HD 167872                                                                                                                                                                      |Star                                  |18 19 14.9221861728 -43 48 57.379174776|350.1043637044199 -13.0497807106810| -2.554 -22.881   |9.74     |K2/4             |    ~     ~    |    1|  822.707   pc  | -23.7573    +23.7573    |paral   |2020yCat.1350....0G
