C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 170609                                                                                                |Star                                  |18 32 19.7495322720 -41 54 45.607568364|352.9087857762140 -14.4443210459266|   4.812 -9.750   |10.04    |A2IV/V             |    ~     ~          |    1|  523.670   pc  |  -8.1446     +8.1446    |paral   |2020yCat.1350....0G
2   |IRAS 18265-4159                                                                                          |Star                                  |18 30 04.1165848368 -41 57 03.832956540|352.6972401313541 -14.0752718487782|   0.175 -0.235   |10.43    |~                  |    ~     ~          |    1| 1301.575   pc  | -48.2818    +48.2818    |paral   |2020yCat.1350....0G
3   |HD 170727                                                                                                |Star                                  |18 32 52.3636755240 -41 56 27.903223320|352.9237553195052 -14.5483370405314|  -11.183 4.189   |8.41     |K3III              |    ~     ~          |    1|  399.537   pc  |  -6.6725     +6.6725    |paral   |2020yCat.1350....0G
4   |HD 170168                                                                                                |Star                                  |18 30 01.8801541296 -42 26 09.880588140|352.2371723181417 -14.2658200545875|  -3.349 -4.512   |9.22     |K2(III)            |    ~     ~          |    1|  773.694   pc  | -10.1164    +10.1164    |paral   |2020yCat.1350....0G
5   |HD 170308                                                                                                |Star                                  |18 30 40.4970407952 -42 22 48.704461464|352.3394970508256 -14.3518816690587|  -2.315 -5.892   |10.73    |A0V(pSi)           |    ~     ~          |    1|  582.920   pc  |  -7.2377     +7.2377    |paral   |2020yCat.1350....0G
6   |HD 170417                                                                                                |Star                                  |18 31 22.8094771800 -42 36 06.191050932|352.1841024927479 -14.5600420989669|  4.333 -12.551   |8.68     |K3III              |    ~     ~          |    1|  731.048   pc  | -11.0627    +11.0627    |paral   |2020yCat.1350....0G
7   |HD 170464                                                                                                |Star                                  |18 31 29.4027596544 -42 05 49.992705420|352.6696001139376 -14.3758220160338|-10.815 -39.287   |8.06     |A5V                |    ~     ~          |    1|  139.528   pc  |  -0.5938     +0.5938    |paral   |2020yCat.1350....0G
8   |HD 170610                                                                                                |Star                                  |18 32 20.3083933896 -42 09 35.131684860|352.6757127361274 -14.5450013279561|  -2.033 -1.358   |10.37    |A0                 |    ~     ~          |    1|  700.525   pc  | -12.8082    +12.8082    |paral   |2020yCat.1350....0G
9   |HD 170626                                                                                                |High Proper Motion Star               |18 32 24.3291800328 -42 33 53.745825492|352.2969836998518 -14.7183027092058|-90.493 -57.951   |9.47     |G3V                |    ~     ~          |    1|   87.118   pc  |  -0.1063     +0.1063    |paral   |2020yCat.1350....0G
10  |V* V668 CrA                                                                                              |delta Sct Variable                    |18 32 24.8102703312 -42 19 14.054985156|352.5291745338894 -14.6220812219690| 39.853 -90.054   |8.67     |A4/5V              |    ~     ~          |    1|  298.909   pc  |  -1.7333     +1.7333    |paral   |2020yCat.1350....0G
