C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |HD 173065                                                                                                                                                                                                                                                                               |Star                              |18 45 25.7165051448 -41 41 48.055511832|354.0947485975561 -16.6121832799055|   0.961 -2.269   |9.54     |G8(III)           |    ~     ~    
2   |HD 173080                                                                                                                                                                                                                                                                               |Star                              |18 45 28.7334530544 -41 55 04.261922832|353.8839904716203 -16.7029255393848| -2.286 -30.102   |8.96     |F8/G0V            |    ~     ~    
3   |HD 173258                                                                                                                                                                                                                                                                               |Star                              |18 46 18.2499664296 -41 55 04.684800000|353.9431087573549 -16.8456324353552|  7.011 -19.632   |7.09     |G8III             |    ~     ~    
4   |HD 173019                                                                                                                                                                                                                                                                               |Star                              |18 45 11.6914163448 -42 38 24.244813176|353.1625377013216 -16.9206555397421|  12.723 -5.038   |9.57     |F0V               |    ~     ~    
5   |HD 173123                                                                                                                                                                                                                                                                               |Double or Multiple Star           |18 45 41.3734230048 -42 25 32.016289152|353.4060749000349 -16.9265387282912|   10.086 6.270   |8.44     |G6III             |0.0017  0.0    
6   |HD 173182                                                                                                                                                                                                                                                                               |Star                              |18 45 58.2061315320 -42 31 52.719485592|353.3230719389448 -17.0134664087131| -13.111 -5.475   |7.51     |G8II              |    ~     ~    
7   |HD 173183                                                                                                                                                                                                                                                                               |Star                              |18 46 03.5537579832 -42 33 58.924979388|353.2952417945260 -17.0415795634465| 39.987 -12.594   |6.97     |F3V               |    ~     ~    
8   |HD 173259                                                                                                                                                                                                                                                                               |Star                              |18 46 17.2721911104 -42 06 02.547059508|353.7643821926226 -16.9100707596844|  0.297 -24.930   |8.22     |G8/K0III          |    ~     ~    
9   |HD 173260                                                                                                                                                                                                                                                                               |Star                              |18 46 19.9429795896 -42 27 30.766376664|353.4194620696791 -17.0489680316277|  6.945 -25.959   |8.69     |F0V               |    ~     ~    
10  |CD-42 13608                                                                                                                                                                                                                                                                             |High Proper Motion Star           |18 46 32.1268252992 -42 27 40.532881356|353.4311448915554 -17.0848194979223|-28.783 -71.491   |10.32    |G0                |    ~     ~    
11  |HD 173358                                                                                                                                                                                                                                                                               |Star                              |18 46 48.9254488656 -42 36 10.405963584|353.3128278094574 -17.1844989592148|   1.571 -7.561   |10.28    |A0/1IV            |    ~     ~    
12  |HD 173599                                                                                                                                                                                                                                                                               |Star                              |18 48 02.7617763696 -42 06 25.916109444|353.8827477190606 -17.2159858199507| -18.449 -9.999   |9.50     |F3V               |    ~     ~    
13  |CD-42 13632                                                                                                                                                                                                                                                                             |Star                              |18 48 12.7638592416 -42 15 36.057141864|353.7453652474476 -17.3002114838654|  -6.670 -8.420   |10.27    |G0                |    ~     ~    
14  |CD-42 13635                                                                                                                                                                                                                                                                             |Star                              |18 48 21.9146777160 -42 12 43.736284440|353.8028069333092 -17.3091859049737| -1.991 -28.606   |9.52     |G5                |    ~     ~    
15  |HD 173339                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 46 47.6349478488 -43 47 19.511180736|352.1525542712105 -17.6092427847471| 39.860 -66.384   |7.41     |F0/2V             |    ~     ~    
16  |HD 173490                                                                                                                                                                                                                                                                               |Star                              |18 47 33.7549403280 -43 32 46.885391196|352.4422601226861 -17.6522333678000|   4.577 -9.488   |7.66     |K4III             |    ~     ~    
17  |HD 173541                                                                                                                                                                                                                                                                               |Star                              |18 47 53.3288149128 -43 15 46.542253248|352.7422025905328 -17.6060922432500|   0.358 -7.958   |8.42     |M2III             |    ~     ~    
18  |HD 172971                                                                                                                                                                                                                                                                               |Star                              |18 45 06.5781732360 -43 55 04.590316416|351.9115141055561 -17.3725262303607|   8.433 -0.415   |9.65     |A2/3(m)F0-F2      |    ~     ~    
19  |HD 173046                                                                                                                                                                                                                                                                               |Star                              |18 45 27.5020511568 -44 25 46.896156228|351.4346215969280 -17.6152701110904| 10.842 -16.873   |9.67     |F2V               |    ~     ~    
20  |HD 173106                                                                                                                                                                                                                                                                               |Star                              |18 45 44.0663026152 -43 59 39.900486876|351.8793168059915 -17.5049972222880| -1.899 -11.232   |9.58     |F0V               |    ~     ~    
21  |HD 173184                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 46 08.9870343000 -44 13 23.218465872|351.6834863219508 -17.6566921792107| 27.120 -44.086   |6.75     |K4III             |    ~     ~    
22  |HD 173558                                                                                                                                                                                                                                                                               |Star                              |18 48 00.1008655152 -44 02 28.277898288|351.9862733207771 -17.9024247977355|  0.499 -11.792   |8.61     |K1III             |    ~     ~    
23  |HD 173646                                                                                                                                                                                                                                                                               |Star                              |18 48 28.5296645328 -44 16 56.044921008|351.7806991225661 -18.0670224508329|  -1.202 -8.522   |9.22     |K1(III)           |    ~     ~    
24  |CD-42 13572                                                                                                                                                                                                                                                                             |Star                              |18 45 06.0100543296 -41 54 53.961624540|353.8594909285277 -16.6364341751516|   7.100 -6.720   |9.97     |~                 |    ~     ~    
25  |CD-42 13586                                                                                                                                                                                                                                                                             |Star                              |18 45 41.1599130936 -41 54 53.773785432|353.9017070069851 -16.7376389205558|    7.731 9.669   |10.83    |~                 |    ~     ~    
26  |CD-43 12794                                                                                                                                                                                                                                                                             |Star                              |18 45 57.4641006000 -43 12 52.699295484|352.6564182449628 -17.2606561214093|  -2.811 -9.024   |9.71     |~                 |    ~     ~    
