C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 180071                                                                                                |Star                                  |19 16 51.8556259176 -40 33 55.771811604|357.3368866954706 -21.8012438303024|  -4.682 -3.611   |9.73     |M1              |    ~     ~          |    1| 1155.402   pc  | -46.0559    +46.0559    |paral   |2020yCat.1350....0G
2   |HD 179675                                                                                                |Star                                  |19 15 17.8036547952 -40 43 29.756699580|357.0757835411640 -21.5667931872936|   2.262 -6.434   |9.04     |K5(III)         |    ~     ~          |    1|  538.938   pc  |  -5.2863     +5.2863    |paral   |2020yCat.1350....0G
3   |HD 179885                                                                                                |Star                                  |19 16 05.1657713256 -40 43 16.013036244|357.1288953727379 -21.7080216148991|    0.784 3.676   |10.27    |A9V             |    ~     ~          |    1|  270.929   pc  |  -1.6662     +1.6662    |paral   |2020yCat.1350....0G
4   |HD 180422                                                                                                |Star                                  |19 18 20.6756517936 -40 34 04.833533208|357.4259306468720 -22.0699814386389|   2.679 16.697   |9.85     |G6/8            |    ~     ~          |    1|  618.200   pc  |  -7.6052     +7.6052    |paral   |2020yCat.1350....0G
5   |HD 180523                                                                                                |Star                                  |19 18 39.1329057312 -40 40 05.141022708|357.3417715059726 -22.1556887167451|   6.129 -2.256   |10.89    |A2IV            |    ~     ~          |    1|  542.064   pc  |  -8.4330     +8.4330    |paral   |2020yCat.1350....0G
6   |HD 179700                                                                                                |Star                                  |19 15 24.4400230248 -41 44 58.024722804|356.0316304713342 -21.8973906358719|  2.580 -11.763   |9.91     |M4              |    ~     ~          |    1|  703.977   pc  | -17.1968    +17.1968    |paral   |2020yCat.1350....0G
7   |HD 179813                                                                                                |High Proper Motion Star               |19 15 49.8396323232 -41 06 35.419211172|356.7144035874311 -21.7802041578742| 87.252 -49.392   |8.90     |G5V             |    ~     ~          |    1|   46.596   pc  |  -1.4699     +1.4699    |paral   |2020yCat.1350....0G
8   |HD 179981                                                                                                |Star                                  |19 16 24.7645887264 -41 33 19.981522476|356.2917324614775 -22.0185331067299|  -2.375 -7.826   |8.65     |K3(III)         |    ~     ~          |    1| 1463.915   pc  | -94.7226    +94.7226    |paral   |2020yCat.1350....0G
9   |HD 179982                                                                                                |Star                                  |19 16 27.1685572224 -41 36 04.483239984|356.2471015138089 -22.0393290879854|  11.660 -5.296   |8.67     |K3/4III         |    ~     ~          |    1|  731.154   pc  | -14.8615    +14.8615    |paral   |2020yCat.1350....0G
10  |HD 180207                                                                                                |Star                                  |19 17 27.2415705384 -41 28 05.792224008|356.4443150414845 -22.1786243132957|  -17.321 4.131   |10.31    |F5V             |    ~     ~          |    0|                |                         |        |                   
