C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 183201                                                                                                |Star                              |19 30 06.4184208624 -40 10 56.480335356|358.5293188199262 -24.1038484881318|  0.810 -22.147   |9.34     |A9IV/V         |    ~     ~          |    1|  214.869   pc  |  -0.7941     +0.7941    |paral   |2020yCat.1350....0G
2   |HD 183337                                                                                                |High Proper Motion Star           |19 30 47.0698515648 -40 27 18.975392712|358.2804008752167 -24.3028848750287|   78.189 6.973   |8.41     |F5V            |    ~     ~          |    1|  127.358   pc  |  -0.3293     +0.3293    |paral   |2020yCat.1350....0G
3   |HD 183484                                                                                                |High Proper Motion Star           |19 31 44.4935083536 -41 37 06.866104836|357.1009442471385 -24.7874474123353| 45.281 -33.929   |9.94     |G2V            |    ~     ~          |    1|  193.626   pc  |  -0.5624     +0.5624    |paral   |2020yCat.1350....0G
4   |HD 183805                                                                                                |Star                              |19 33 07.6648897704 -41 19 13.821845556|357.4928091160789 -24.9603140229042|   8.560 -9.784   |9.68     |G8III/IV       |    ~     ~          |    1|  525.100   pc  |  -6.3694     +6.3694    |paral   |2020yCat.1350....0G
5   |HD 183747                                                                                                |Star                              |19 32 50.5104164184 -41 49 24.889077552|356.9413814250809 -25.0389181988388|  0.339 -14.129   |8.95     |K2III          |    ~     ~          |    1|  627.117   pc  |  -7.2756     +7.2756    |paral   |2020yCat.1350....0G
6   |HD 183218                                                                                                |Star                              |19 30 13.4978744160 -41 53 56.427879876|356.7214451308728 -24.5881008551374|  -6.277 -0.448   |9.81     |K1(III)        |    ~     ~          |    1|  457.038   pc  |  -2.7990     +2.7990    |paral   |2020yCat.1350....0G
7   |HD 183485                                                                                                |High Proper Motion Star           |19 31 42.0839325504 -42 05 40.020820656|356.5923990245573 -24.9038719239376| 47.224 -60.989   |9.87     |G8V            |    ~     ~          |    1|   90.369   pc  |  -0.1584     +0.1584    |paral   |2020yCat.1350....0G
8   |HD 183504                                                                                                |Star                              |19 31 47.9379202680 -42 25 46.650430740|356.2402055921596 -25.0073549840060|   40.795 7.783   |7.48     |F5/6V          |    ~     ~          |    1|  132.222   pc  |  -1.4150     +1.4150    |ST-L    |2020AJ....160...83S
9   |HD 183606                                                                                                |Star                              |19 32 12.0241095432 -42 16 44.192379900|356.4218860258213 -25.0405799033618| 13.606 -12.251   |9.78     |A0V            |    ~     ~          |    1|  416.442   pc  | -13.9100    +13.9100    |ST-L    |2020AJ....160...83S
10  |CD-42 14278                                                                                              |High Proper Motion Star           |19 32 19.1474936380 -42 12 43.711761026|356.4993668489394 -25.0447505091536|-338.333 -299.307 |10.29    |F5Vwl          |    ~     ~          |    1|  110.051   pc  |  -0.2180     +0.2180    |paral   |2020yCat.1350....0G
