C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 186697                                                             |Star                                  |19 47 34.9785984024 -39 00 34.085304144|000.7565482547450 -27.0486056433616|  5.645 -10.924   |9.54     |A5III/IV       |    ~     ~    
2   |CD-39 13463                                                           |Star                                  |19 49 21.3871559424 -38 50 44.754850968|001.0296451557566 -27.3431583403000|  -6.255 -6.519   |10.65    |~              |    ~     ~    
3   |HD 186526                                                             |Star                                  |19 46 31.7024312016 -39 25 31.687235292|000.2477508813283 -26.9523614375411|   17.484 4.342   |7.99     |G8IV           |    ~     ~    
4   |HD 186557                                                             |Star                                  |19 46 50.1555181104 -39 34 28.006452264|000.1017658221929 -27.0461421482970|   6.538 -8.732   |10.76    |A(5)II/III     |    ~     ~    
5   |HD 186915                                                             |Star                                  |19 48 47.0072557680 -39 40 03.818491500|000.1009758873607 -27.4326025772796|  2.651 -16.858   |9.10     |F3V            |    ~     ~    
6   |HD 187291                                                             |Star                                  |19 50 50.1531130416 -39 25 29.059429584|000.4726444639871 -27.7598601211186|  9.006 -25.782   |9.96     |F3V            |    ~     ~    
7   |HD 187292                                                             |High Proper Motion Star               |19 50 55.4652853368 -39 35 33.471315924|000.2926218603235 -27.8156712175502|27.001 -132.161   |8.57     |G1/2V          |    ~     ~    
8   |HD 187606                                                             |Star                                  |19 52 21.9368297160 -38 49 17.404718592|001.2145783866136 -27.9063185773181|  4.000 -13.728   |9.03     |A0V            |    ~     ~    
9   |HD 186581                                                             |Star                                  |19 47 00.1309037160 -40 29 50.555887116|359.1027147537450 -27.2968514262705|  6.082 -13.237   |9.63     |G8/K0III       |    ~     ~    
10  |HD 186770                                                             |Star                                  |19 48 08.3749242744 -40 27 30.465594324|359.2020720880594 -27.4981354278203|  8.218 -34.391   |9.44     |F0V            |    ~     ~    
11  |HD 186769                                                             |Star                                  |19 48 08.1174884400 -40 14 24.888078168|359.4410607477515 -27.4465750870930|   3.191 -4.647   |8.46     |F2III          |    ~     ~    
12  |HD 187066                                                             |Star                                  |19 49 36.7188523896 -40 34 50.553736356|359.1402214160360 -27.7985409888280|-23.724 -18.182   |10.140   |G3V            |    ~     ~    
13  |HD 187357                                                             |Star                                  |19 51 12.0849643416 -40 12 17.831139624|359.6320240756078 -28.0080210381778| -4.919 -14.329   |10.044   |F3/5V          |    ~     ~    
14  |HD 187389                                                             |Star                                  |19 51 22.4813666304 -40 02 34.105045596|359.8193967133748 -28.0034402102078| -5.489 -36.477   |10.20    |F6/8           |    ~     ~    
15  |HD 187415                                                             |Star                                  |19 51 32.5908694776 -40 33 33.755405292|359.2571673363023 -28.1510837060809| 11.517 -12.522   |9.64     |K2/4           |    ~     ~    
16  |V* V3961 Sgr                                                          |alpha2 CVn Variable                   |19 51 50.6106718344 -39 52 27.738309468|000.0283839510956 -28.0525294624929| 17.944 -11.878   |5.33     |ApCr(Si)       |    ~     ~    
17  |HD 186419                                                             |Star                                  |19 46 01.5716344152 -40 55 39.078436692|358.5836474068651 -27.2173997658541|  -1.329 -6.952   |9.12     |K2III          |    ~     ~    
18  |HD 186527                                                             |Star                                  |19 46 44.8646891136 -41 17 25.119304908|358.2215019796151 -27.4332130496476|    4.399 3.202   |10.42    |F5V            |    ~     ~    
19  |HD 186630                                                             |Star                                  |19 47 20.5119636264 -41 08 26.417430024|358.4144103313287 -27.5079166127137|  8.410 -10.005   |9.47     |A0V            |    ~     ~    
20  |HD 186722                                                             |Star                                  |19 47 54.5873757624 -41 26 03.118739964|358.1189410924408 -27.6781183656321| -1.202 -46.111   |8.72     |F3V            |    ~     ~    
21  |HD 186832                                                             |High Proper Motion Star               |19 48 30.7408892472 -40 58 24.000008088|358.6548271533217 -27.6848138793096| 34.114 -42.893   |7.41     |K0III          |    ~     ~    
22  |HD 186895                                                             |Star                                  |19 48 43.1319484584 -40 43 51.742599924|358.9312890612834 -27.6678056979043| 10.592 -45.201   |9.44     |K2III          |    ~     ~    
23  |HD 186974                                                             |Star                                  |19 49 13.3261692648 -40 55 27.183274572|358.7430708650505 -27.8042876584796|   8.466 -9.493   |9.17     |K4(III)        |    ~     ~    
24  |HD 186987                                                             |Star                                  |19 49 20.1505764288 -41 36 05.609234232|358.0012013034828 -27.9754785830519|    1.568 7.328   |9.95     |F3/5V          |    ~     ~    
25  |HD 187011                                                             |Star                                  |19 49 21.5018056176 -40 46 22.564559532|358.9162558574973 -27.7952660824347|   26.521 5.044   |9.25     |F5V            |    ~     ~    
26  |HD 187311                                                             |Star                                  |19 51 04.6991222952 -41 01 23.633971392|358.7219961135353 -28.1678988286974|  -2.898 -4.148   |10.23    |B5II           |    ~     ~    
27  |CD-41 13726                                                           |High Proper Motion Star               |19 51 44.1832100280 -41 02 47.892782652|358.7268975603604 -28.2941095798132|209.448 -206.274  |10.80    |G5             |    ~     ~    
28  |HD 187453                                                             |Star                                  |19 51 46.1963102952 -40 42 30.434525100|359.1030689461472 -28.2260990357870|  8.930 -43.488   |8.66     |K4III          |    ~     ~    
29  |HD 186373                                                             |Star                                  |19 45 45.4281532056 -41 45 30.015289152|357.6607037550097 -27.3589259461592|   3.699 -1.205   |9.37     |A0V            |    ~     ~    
30  |V* V3960 Sgr                                                          |Long-Period Variable                  |19 47 31.7982213192 -41 10 44.604623676|358.3813337626621 -27.5511208127791|-14.314 -30.182   |9.55     |M5/7           |    ~     ~    
31  |CD-40 13469                                                           |Star                                  |19 46 04.6760728752 -39 57 43.337365596|359.6400676254534 -26.9983967799132|  -7.963 -4.498   |10.04    |~              |    ~     ~    
32  |CD-39 13452                                                           |Star                                  |19 48 13.4780433168 -39 36 58.111621524|000.1285864488867 -27.3158413422551|   -4.346 0.277   |10.56    |~              |    ~     ~    
33  |CPD-39 8541                                                           |Star                                  |19 49 00.5598398352 -39 02 34.162825128|000.7960210647137 -27.3254071374506| -3.348 -41.789   |9.67     |~              |    ~     ~    
34  |CD-39 13478                                                           |Star                                  |19 51 00.1826276328 -39 17 43.472026680|000.6232832316032 -27.7609116735984| -4.121 -13.279   |10.67    |~              |    ~     ~    
35  |CD-41 13659                                                           |Star                                  |19 45 03.0972713040 -41 38 36.787040160|357.7527348530050 -27.2045643277527|  8.434 -29.153   |10.244   |~              |    ~     ~    
36  |CD-41 13668                                                           |Star                                  |19 45 58.6426055040 -41 30 40.526491824|357.9421355988942 -27.3428971818819| 37.714 -19.543   |10.58    |~              |    ~     ~    
37  |CD-42 14450                                                           |Star                                  |19 46 53.2542285312 -41 43 15.212348472|357.7553038472346 -27.5559650534990|  2.654 -17.126   |10.72    |~              |    ~     ~    
38  |CD-41 13683                                                           |Star                                  |19 47 21.9294802176 -41 15 11.776017024|358.2919007991192 -27.5378290705314|   -1.862 3.632   |9.93     |~              |    ~     ~    
39  |CD-41 13686                                                           |Star                                  |19 47 35.8791751368 -41 23 04.574960700|358.1586895626798 -27.6100165753378| -0.769 -13.826   |10.19    |~              |    ~     ~    
40  |CD-40 13491                                                           |Star                                  |19 48 54.1613945088 -40 12 56.640720456|359.5063859792413 -27.5833184429140|   1.002 -9.825   |10.32    |~              |    ~     ~    
41  |CD-41 13704                                                           |Star                                  |19 49 27.7873947912 -41 01 24.645892620|358.6451857025718 -27.8708982907698|  0.896 -11.969   |10.77    |~              |    ~     ~    
42  |CD-41 13711                                                           |Star                                  |19 50 22.4059768464 -41 25 20.578005840|358.2473884106293 -28.1259048427901| 10.917 -12.155   |10.664   |~              |    ~     ~    
43  |CD-40 13503                                                           |Star                                  |19 50 32.6462359440 -40 26 21.236260704|359.3415202251472 -27.9390348207081|   -3.987 2.608   |9.998    |~              |    ~     ~    
