C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 12385                           |Double or Multiple Star               |02 00 31.3576445406 -38 26 48.394302412|255.3376096995201 -71.6447995591108|-15.037 -14.136   |9.72     |F7V            |    ~     ~    
2   |HD 12522                           |Star                                  |02 01 51.9294350592 -38 47 44.716769412|255.8066319376701 -71.2345596934590|  25.748 21.609   |9.583    |F0/2V          |    ~     ~    
3   |HD 12523                           |Star                                  |02 01 50.1625468584 -39 18 59.242347612|257.1512810901467 -70.9493975983136|  16.364 23.641   |8.46     |F3/5V          |    ~     ~    
4   |HD 12409                           |Star                                  |02 00 38.2018736808 -39 39 52.924461840|258.4314200963301 -70.9379657493039|   -5.147 2.237   |8.71     |G6II           |    ~     ~    
5   |HD 12408                           |Star                                  |02 00 40.2135901368 -39 33 21.047947776|258.1488970106293 -70.9962960875460|  -4.613 20.236   |9.94     |F6/8V          |    ~     ~    
6   |CD-40 522                          |Star                                  |02 01 53.3007856032 -39 34 45.037064568|257.7922854864914 -70.7912856083617|-16.455 -28.821   |10.380   |A3             |    ~     ~    
7   |HD 12616                           |High Proper Motion Star               |02 02 36.8459245608 -39 25 11.056046880|257.1520077270017 -70.7669694576887|  88.174 49.394   |8.70     |F3/5V          |    ~     ~    
8   |HD 12386                           |Star                                  |02 00 33.9096686568 -40 16 04.108815804|259.9262297707551 -70.5895201151942|   -7.218 6.912   |8.31     |K0III          |    ~     ~    
9   |HD 12669                           |Star                                  |02 03 08.2549566192 -40 06 39.848496948|258.6771756471400 -70.2877889294185| 18.475 -10.723   |9.39     |K3III          |    ~     ~    
10  |HD 12687                           |Star                                  |02 03 18.7826598048 -40 07 28.288119216|258.6516060593997 -70.2526919899386|  -0.891 15.691   |9.18     |F7V            |    ~     ~    
11  |HD 12387                           |High Proper Motion Star               |02 00 32.1252087532 -40 43 52.490527468|261.0306765486631 -70.3098335874829|440.402 -430.583  |7.36     |G5VFe-0.8CH-0.7|    ~     ~    
12  |HD 12410                           |High Proper Motion Star               |02 00 45.6796445928 -40 43 22.290345228|260.9325162685684 -70.2814291860258|  45.351 22.640   |10.04    |G6IV           |    ~     ~    
13  |HD 12600                           |Star                                  |02 02 30.3644083656 -40 31 12.941983992|259.8619421902007 -70.1424918084298| -35.142 -6.302   |7.84     |F6V            |    ~     ~    
14  |HD 12670                           |Star                                  |02 03 07.4138785392 -40 24 33.765440976|259.3939779373739 -70.1144438096161|   4.235 -3.382   |10.09    |F2V            |    ~     ~    
15  |CD-40 517                          |High Proper Motion Star               |02 00 55.1470263456 -39 58 00.033149064|259.0764487579368 -70.7160313067611|   62.466 6.355   |10.71    |~              |    ~     ~    
16  |CD-39 605                          |Star                                  |02 01 21.1106544600 -39 05 58.990592868|256.7629628595555 -71.1490711174452|  -0.005 -4.355   |10.83    |~              |    ~     ~    
17  |CD-40 527                          |Star                                  |02 03 09.6760182696 -39 30 06.417521172|257.1769059823131 -70.6334874024228|   -4.212 6.417   |10.14    |~              |    ~     ~    
18  |CD-40 530                          |High Proper Motion Star               |02 03 32.5842659640 -39 37 34.383193644|257.3609822090367 -70.5025353608883|   59.616 6.568   |10.57    |~              |    ~     ~    
19  |CD-40 521                          |High Proper Motion Star               |02 01 47.9478433128 -40 12 14.446335564|259.3492273336759 -70.4395649130988|  70.035 12.065   |10.215   |~              |    ~     ~    
20  |CD-40 518                          |Star                                  |02 01 25.0696376376 -40 14 32.895949200|259.5714124235703 -70.4749585491718| 19.397 -11.372   |10.68    |~              |    ~     ~    
21  |CD-41 570                          |Star                                  |02 02 56.3741753544 -40 27 30.288423096|259.5710845908593 -70.1134482263462|   7.712 -8.989   |10.61    |~              |    ~     ~    
22  |CD-39 602                          |Star                                  |02 00 28.7754610776 -38 58 12.726651468|256.7262244518070 -71.3619704193234| -3.314 -10.352   |10.924   |~              |    ~     ~    
23  |CD-38 679                          |Star                                  |02 00 53.2020666192 -38 13 58.301644584|254.6421797499177 -71.6999029155550|  -1.384 -2.758   |10.883   |~              |    ~     ~    
24  |CD-40 519                          |Star                                  |02 01 42.5716157568 -39 34 44.780859336|257.8523819790003 -70.8195138262901|  31.376 -9.521   |10.79    |~              |    ~     ~    
25  |CD-39 614                          |Star                                  |02 03 15.8033031648 -39 09 48.167307072|256.2924990017538 -70.8056250589076|   2.181 -6.549   |10.88    |~              |    ~     ~    
26  |CD-38 685                          |Star                                  |02 03 16.3790209704 -38 18 12.060399420|254.0542325135647 -71.2646049437992|-31.556 -28.617   |10.85    |~              |    ~     ~    
27  |CD-39 617                          |Star                                  |02 03 30.4855067832 -39 16 31.187497440|256.4963159910326 -70.7043038904968|   12.509 1.005   |10.623   |~              |    ~     ~    
