C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:27:36

dec< 0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4937

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-37 13629                                                                                              |Star                              |20 16 02.5793222112 -36 55 35.903737920|004.5288728278419 -32.0506707032647|    0.009 0.794   |10.444   |~               |    ~     ~    |    1|  451.477   pc  | -14.3900    +14.3900    |ST-L    |2020AJ....160...83S
2   |HD 192294                                                                                                |Star                              |20 15 35.2826632056 -37 07 01.131021948|004.2873614770871 -32.0001683635307|  3.099 -12.172   |10.141   |F3V             |    ~     ~    |    1|  622.182   pc  | -29.4400    +29.4400    |ST-L    |2020AJ....160...83S
3   |HD 192436                                                                                                |Star                              |20 16 17.5926884904 -37 36 02.564476560|003.7603228216980 -32.2333492231175|   15.178 0.253   |9.02     |A9V             |    ~     ~    |    1|  206.702   pc  |  -2.5920     +2.5920    |ST-L    |2020AJ....160...83S
4   |HD 192528                                                                                                |Star                              |20 16 46.1987502696 -37 33 25.409205540|003.8326990402939 -32.3175157073668| -1.877 -12.954   |8.88     |F3V             |    ~     ~    |    1|  206.825   pc  |  -0.8470     +0.8470    |paral   |2020yCat.1350....0G
5   |CD-38 13961                                                                                              |Long-Period Variable Candidate    |20 18 02.2721041152 -37 47 30.304547556|003.6166515830383 -32.6087100166075| 19.570 -13.604   |8.40     |M1III           |    ~     ~    |    1|  813.471   pc  | -13.4332    +13.4332    |paral   |2020yCat.1350....0G
6   |CD-38 13962                                                                                              |Star                              |20 18 02.4577504728 -37 46 45.768371700|003.6312101088480 -32.6069725649278|  16.478 -2.078   |9.30     |K5              |    ~     ~    |    1| 1259.763   pc  | -25.8682    +25.8682    |paral   |2020yCat.1350....0G
7   |CD-38 13940                                                                                              |Star                              |20 15 53.5419150048 -37 58 40.358269380|003.3047639833276 -32.2285305883353|  0.739 -25.440   |10.740   |F8              |    ~     ~    |    1|  161.301   pc  |  -1.5060     +1.5060    |ST-L    |2020AJ....160...83S
8   |HD 192548                                                                                                |Star                              |20 16 49.5346178256 -38 22 32.011940712|002.8833599871561 -32.4836146288846| -22.741 -0.952   |10.07    |A1/2IV          |    ~     ~    |    1| 1115.110   pc  | -92.6700    +92.6700    |ST-L    |2020AJ....160...83S
9   |HD 192332                                                                                                |Star                              |20 15 48.1264368696 -38 57 20.402391384|002.1642438520235 -32.3936161117208|   2.977 -4.282   |9.59     |M2              |    ~     ~    |    1| 1027.432   pc  | -37.7911    +37.7911    |paral   |2020yCat.1350....0G
10  |HD 192354                                                                                                |High Proper Motion Star           |20 15 57.0092933040 -39 29 25.617992316|001.5467045867971 -32.5172492329523|100.540 -215.797  |7.78     |K1V             |    ~     ~    |    1|   83.430   pc  |  -0.1879     +0.1879    |paral   |2020yCat.1350....0G
