C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:30:38

dec< 0&rah >=20.5&rah< 20.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4644

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-35 14200                                                                                              |Star                               |20 33 55.8865417488 -35 33 53.593279416|006.9634895757362 -35.3306255488752|-19.375 -24.822   |10.75    |F5                 |    ~     ~    |    1|  252.627   pc  |  -1.1232     +1.1232    |paral   |2020yCat.1350....0G
2   |CD-36 14230                                                                                              |Star                               |20 33 20.7558105432 -35 34 31.436216652|006.9244573699272 -35.2154240201547|  -8.026 -5.297   |10.89    |G2                 |    ~     ~    |    1| 1493.070   pc  |-186.5000   +186.5000    |ST-L    |2020AJ....160...83S
3   |HD 195981                                                                                                |Star                               |20 35 46.1884287480 -35 42 40.997006892|006.8677975520930 -35.7242132332236|   5.109 -1.716   |9.97     |F6V                |    ~     ~    |    1|  260.668   pc  |  -4.1940     +4.1940    |ST-L    |2020AJ....160...83S
4   |HD 196103                                                                                                |High Proper Motion Star            |20 36 24.4466438472 -35 45 21.496779900|006.8413933139859 -35.8593909700283|88.173 -123.657   |9.28     |K0V                |    ~     ~    |    1|  121.867   pc  |  -0.2733     +0.2733    |paral   |2020yCat.1350....0G
5   |CD-36 14199                                                                                              |Star                               |20 31 18.6157691808 -36 30 58.873998564|005.7032835664642 -34.9778716330872|  8.821 -16.802   |9.83     |K2                 |    ~     ~    |    1| 1174.950   pc  | -27.3341    +27.3341    |paral   |2020yCat.1350....0G
6   |HD 195303                                                                                                |Star                               |20 31 45.2260624440 -35 58 10.328389140|006.3793873643187 -34.9689875664260|   16.999 7.659   |9.85     |G0(V)              |    ~     ~    |    1|  132.528   pc  |  -1.3330     +1.3330    |ST-L    |2020AJ....160...83S
7   |HD 195304                                                                                                |Star                               |20 31 47.3611535184 -36 08 53.683273968|006.1663415516789 -35.0080283505996|   9.232 -8.226   |9.83     |F3/5V              |    ~     ~    |    1|  229.335   pc  |  -3.8670     +3.8670    |ST-L    |2020AJ....160...83S
8   |HD 195415                                                                                                |Star                               |20 32 28.9065851376 -36 10 34.739490828|006.1627870123781 -35.1505468375527|-23.133 -38.685   |9.29     |K2III              |    ~     ~    |    1|  268.147   pc  |  -1.3446     +1.3446    |paral   |2020yCat.1350....0G
9   |HD 195456                                                                                                |Star                               |20 32 46.0500591312 -36 13 43.718268360|006.1119221278115 -35.2164995411404|   4.649 -9.528   |8.05     |B8IV/V             |    ~     ~    |    1|  375.672   pc  |  -7.5645     +7.5645    |paral   |2020yCat.1350....0G
10  |HD 195518                                                                                                |Star                               |20 33 09.0707213160 -35 52 28.973301564|006.5553299996708 -35.2303467924291|  -0.917 -8.402   |8.27     |K5III              |    ~     ~    |    1|  490.124   pc  |  -5.3569     +5.3569    |paral   |2020yCat.1350....0G
11  |CD-36 14247                                                                                              |Star                               |20 35 01.8913168440 -36 26 03.760255464|005.9590588366703 -35.7009235614318|  2.658 -11.533   |9.31     |K2                 |    ~     ~    |    1|  576.269   pc  |  -6.6417     +6.6417    |paral   |2020yCat.1350....0G
12  |HD 195863                                                                                                |Star                               |20 35 06.0945208320 -36 16 25.409195004|006.1569733052967 -35.6877784879609|   8.753 -0.996   |9.44     |A1V                |    ~     ~    |    1|  509.119   pc  | -21.8600    +21.8600    |ST-L    |2020AJ....160...83S
13  |HD 195081                                                                                                |Star                               |20 30 28.5390462120 -37 08 03.494430708|004.9255888835337 -34.9194152880853| -38.781 -1.045   |8.93     |K1/2III            |    ~     ~    |    1|  373.790   pc  |  -3.3393     +3.3393    |paral   |2020yCat.1350....0G
14  |HD 195080                                                                                                |Star                               |20 30 29.7330567144 -37 02 06.549779220|005.0455728496538 -34.9065222255591|  4.272 -14.223   |8.89     |K0/1III            |    ~     ~    |    1|  576.136   pc  |  -7.0702     +7.0702    |paral   |2020yCat.1350....0G
15  |CD-37 13785                                                                                              |Star                               |20 31 36.6284087016 -37 25 12.058345920|004.6271763263032 -35.1894524006094|   5.535 -3.360   |10.33    |A8                 |    ~     ~    |    1|  506.973   pc  | -21.2000    +21.2000    |ST-L    |2020AJ....160...83S
16  |HD 195416                                                                                                |Star                               |20 32 25.3488789528 -36 50 19.176368784|005.3617932873843 -35.2527935006879|  2.639 -46.333   |8.54     |K1III              |    ~     ~    |    1|  320.688   pc  |  -2.7150     +2.7150    |paral   |2020yCat.1350....0G
17  |HD 195472                                                                                                |High Proper Motion Star            |20 32 56.1316370280 -37 27 02.656662372|004.6420331521901 -35.4539989500582| 60.486 -34.818   |9.09     |G0V                |    ~     ~    |    1|   91.194   pc  |  -0.1721     +0.1721    |paral   |2020yCat.1350....0G
18  |HD 195626                                                                                                |Double or Multiple Star            |20 33 46.6578255943 -36 43 07.054689473|005.5626559767820 -35.5002160606632| 32.148 -54.844   |9.38     |G5V                |0.0050  0.0    |    1|   87.9438  pc  |  -2.0487     +2.0487    |paral   |2020yCat.1350....0G
19  |HD 195738                                                                                                |Star                               |20 34 22.3746397560 -37 31 21.843161220|004.6098781956768 -35.7469220466213|   4.729 -7.005   |9.24     |K2III              |    ~     ~    |    1|  817.862   pc  | -16.9900    +16.9900    |paral   |2020yCat.1350....0G
20  |HD 195757                                                                                                |Star                               |20 34 28.5527156640 -36 46 29.169152004|005.5230634010896 -35.6474568449099|  3.216 -45.840   |9.14     |G1V                |    ~     ~    |    1|  149.869   pc  |  -0.4560     +0.4560    |paral   |2020yCat.1350....0G
21  |HD 196082                                                                                                |Star                               |20 36 22.5046891368 -37 06 26.650284840|005.1930445170607 -36.0753815789369|  33.768 -8.720   |9.03     |K0III              |    ~     ~    |    1|  445.613   pc  |  -3.7331     +3.7331    |paral   |2020yCat.1350....0G
22  |HD 196151                                                                                                |Star                               |20 36 55.0661276712 -37 23 12.793359084|004.8716344141792 -36.2251135977166| -24.487 -4.676   |7.42     |K1III              |    ~     ~    |    1|  224.583   pc  |  -1.0541     +1.0541    |paral   |2020yCat.1350....0G
23  |HD 195027                                                                                                |Star                               |20 30 14.1125287440 -37 47 43.985198004|004.1203134737996 -34.9816411161306|    9.585 2.271   |8.94     |K3III              |    ~     ~    |    1|  740.521   pc  | -10.8578    +10.8578    |paral   |2020yCat.1350....0G
24  |HD 195111                                                                                                |Star                               |20 30 46.9008343104 -37 44 01.239427068|004.2161671721095 -35.0782429411348|  6.347 -24.666   |8.48     |F0V                |    ~     ~    |    1|  347.246   pc  |  -2.7733     +2.7733    |paral   |2020yCat.1350....0G
25  |HD 196063                                                                                                |Star                               |20 36 20.4647774400 -37 42 44.385849216|004.4516774425433 -36.1609867075275|-34.214 -16.208   |9.22     |F6V                |    ~     ~    |    1|  126.682   pc  |  -1.0390     +1.0390    |ST-L    |2020AJ....160...83S
26  |CD-38 14131                                                                                              |Star                               |20 37 02.6316400944 -37 42 18.112491288|004.4861384143380 -36.2973719838678| -5.071 -12.153   |10.038   |K0                 |    ~     ~    |    1|  359.691   pc  |  -8.3700     +8.3700    |ST-L    |2020AJ....160...83S
27  |CD-38 14135                                                                                              |Star                               |20 37 28.6464573048 -37 42 04.583711772|004.5063870896316 -36.3816515555421| 25.838 -19.677   |10.054   |K1                 |    ~     ~    |    1|  423.008   pc  | -11.6100    +11.6100    |ST-L    |2020AJ....160...83S
28  |HD 195264                                                                                                |Star                               |20 31 42.2319001728 -37 55 29.039704572|004.0207860165110 -35.2883875626032|  6.171 -31.744   |8.67     |F2V                |    ~     ~    |    1|  147.695   pc  |  -0.4843     +0.4843    |paral   |2020yCat.1350....0G
29  |HD 195644                                                                                                |High Proper Motion Star            |20 33 57.0707114640 -38 02 50.540091720|003.9553689776733 -35.7447711615435| 16.487 -60.445   |9.24     |F7V                |    ~     ~    |    1|  173.331   pc  |  -0.4987     +0.4987    |paral   |2020yCat.1350....0G
