C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |CD-34 14606                                                                                              |Star                              |20 45 20.1680626632 -34 21 13.532564844|008.9555640025825 -37.4173326942613|  18.200 -8.996   |10.28    |~               |    ~     ~    |    1|  618.085   pc  |  -7.7552     +7.7552  |paral   |2020yCat.1350....0G
2   |CD-34 14628                                                                                              |Star                              |20 47 12.7145016048 -34 15 39.037975416|009.1548411070268 -37.7830553974588| -3.194 -10.834   |9.43     |K2              |    ~     ~    |    1|  533.220   pc  |  -4.0374     +4.0374  |paral   |2020yCat.1350....0G
3   |HD 197482                                                                                                |Eclipsing Binary                  |20 45 11.7228600624 -35 09 59.111604720|007.9399643382694 -37.5248389946037|-15.138 -28.043   |6.82     |G0IV            |    ~     ~    |    1|  139.445   pc  |  -0.4492     +0.4492  |paral   |2020yCat.1350....0G
4   |HD 197483                                                                                                |Star                              |20 45 15.0125700984 -35 16 09.771160764|007.8141022548850 -37.5525167163254| 28.600 -12.192   |9.13     |F5V             |    ~     ~    |    1|  182.206   pc  |  -0.5345     +0.5345  |paral   |2020yCat.1350....0G
5   |CD-35 14330                                                                                              |Star                              |20 45 17.6020598784 -34 58 08.634813816|008.1895728755732 -37.5123718062802|  8.232 -21.453   |9.907    |F2              |    ~     ~    |    1|  219.009   pc  |  -2.9200     +2.9200  |ST-L    |2020AJ....160...83S
6   |CD-35 14334                                                                                              |Spectroscopic Binary              |20 45 26.9144909688 -34 38 47.123356632|008.5972698673618 -37.4900557040311| 49.579 -54.764   |9.57     |F8              |    ~     ~    |    1|  143.186   pc  |  -0.3731     +0.3731  |paral   |2020yCat.1350....0G
7   |HD 197556                                                                                                |High Proper Motion Star           |20 45 36.6858131064 -35 22 29.009588160|007.6977024856309 -37.6420752328103|101.555 -108.091  |8.35     |G8IV            |    ~     ~    |    1|   76.622   pc  |  -0.1227     +0.1227  |paral   |2020yCat.1350....0G
8   |CD-35 14350                                                                                              |Star                              |20 46 53.2733062608 -35 11 07.283260644|007.9864338639050 -37.8692582045735| -20.958 -4.238   |10.72    |G5              |    ~     ~    |    1|  371.872   pc  |  -2.4754     +2.4754  |paral   |2020yCat.1350....0G
9   |HD 197823                                                                                                |High Proper Motion Star           |20 47 16.6200442152 -35 09 14.707229796|008.0415219805510 -37.9428247784848|154.820 -79.097   |8.28     |K0IV-V          |    ~     ~    |    1|   37.040   pc  |  -0.0369     +0.0369  |paral   |2020yCat.1350....0G
10  |HD 197933                                                                                                |Star                              |20 48 00.4121839464 -35 23 18.362371236|007.7770913593326 -38.1264903021765| -1.768 -29.830   |9.28     |A8/9V           |    ~     ~    |    1|  369.194   pc  |  -2.7125     +2.7125  |paral   |2020yCat.1350....0G
11  |HD 197949                                                                                                |Star                              |20 48 05.3378354448 -34 44 58.745046912|008.5818692973840 -38.0423585937335|  2.036 -27.244   |9.03     |G8/K0V          |    ~     ~    |    1|  374.336   pc  | -21.7057    +21.7057  |paral   |2020yCat.1350....0G
12  |CD-36 14405                                                                                              |High Proper Motion Star           |20 47 42.1490682456 -35 46 33.981869568|007.2780558440507 -38.1239373359821| 41.963 -28.146   |10.31    |G2              |    ~     ~    |    1|  128.588   pc  |  -0.3307     +0.3307  |paral   |2020yCat.1350....0G
13  |CPD-36 9238                                                                                              |Star                              |20 47 43.1619991368 -35 46 41.128937508|007.2762084419388 -38.1276189100220|   1.977 -1.361   |10.247   |F8              |    ~     ~    |    1|  658.349   pc  | -34.7900    +34.7900  |ST-L    |2020AJ....160...83S
14  |CD-36 14389                                                                                              |High Proper Motion Star           |20 45 05.0514502680 -36 06 32.954703480|006.7604162411884 -37.6497395338545|-63.011 -68.373   |8.91     |G0              |    ~     ~    |    1|  104.599   pc  |  -0.2090     +0.2090  |paral   |2020yCat.1350....0G
15  |HD 197649                                                                                                |Spectroscopic Binary              |20 46 18.6065969712 -36 07 12.550175472|006.7932333220283 -37.8962086947820| 40.071 -51.886   |6.481    |F3/5V           |    ~     ~    |    1|   64.406   pc  |  -0.2377     +0.2377  |paral   |2020yCat.1350....0G
16  |CD-36 14397                                                                                              |Star                              |20 46 23.2924419480 -35 51 41.341524444|007.1203001540849 -37.8733008787118| -8.460 -25.814   |9.87     |K0              |    ~     ~    |    1|  570.060   pc  |  -9.1641     +9.1641  |paral   |2020yCat.1350....0G
17  |CD-35 14339                                                                                              |Star                              |20 45 47.4943638816 -34 35 01.275664704|008.6902317254591 -37.5490431134603|   5.109 -7.471   |9.94     |~               |    ~     ~    |    1|  456.955   pc  |  -3.4662     +3.4662  |paral   |2020yCat.1350....0G
18  |CD-36 14395                                                                                              |Star                              |20 46 19.1316600360 -36 16 42.764561040|006.5949655379027 -37.9211207133053|-18.608 -12.547   |10.42    |~               |    ~     ~    |    1|  226.485   pc  |  -1.2054     +1.2054  |paral   |2020yCat.1350....0G
