C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:38:16

dec< 0&rah >=21.25&rah< 21.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3626

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 202174                                                             |Star                              |21 15 09.0575936136 -35 00 24.675759144|009.2129341965509 -43.5769341288505|  14.579 -2.705     |8.65     |G8IIICNIV      |    ~     ~    |    1|  426.512   pc  |  -4.6752     +4.6752    |paral   |2020yCat.1350....0G
2   |CD-35 14663                                                           |Star                              |21 15 40.4276882352 -34 29 51.602620560|009.9278392882376 -43.6299335043953| -16.131 23.914     |10.50    |G5             |    ~     ~    |    1|  258.940   pc  | -15.6561    +15.6561    |paral   |2020yCat.1350....0G
3   |CD-35 14673                                                           |Star                              |21 16 30.7272330624 -34 47 01.083301260|009.5596243028710 -43.8317149921103|  -5.766 -8.152     |10.03    |K2             |    ~     ~    |    1|  835.073   pc  | -11.7852    +11.7852    |paral   |2020yCat.1350....0G
4   |HD 202498                                                             |Spectroscopic Binary              |21 17 12.9966918192 -35 24 24.873870708|008.7175816751027 -44.0355049387393|   2.232 -1.130     |9.87     |K1/2(III)      |    ~     ~    |    1|  722.752   pc  |  -9.6116     +9.6116    |paral   |2020yCat.1350....0G
5   |HD 202527                                                             |Star                              |21 17 24.3666958680 -35 05 54.986886132|009.1496142207220 -44.0452718921845| 23.078 -13.040     |10.345   |F7/8           |    ~     ~    |    1|  316.195   pc  |  -6.5420     +6.5420    |ST-L    |2020AJ....160...83S
6   |HD 202610                                                             |High Proper Motion Star           |21 17 53.8431215352 -35 01 51.603732228|009.2567024373958 -44.1388706070044| 56.083 -37.828     |10.089   |G6/8III/IV     |    ~     ~    |    1|  349.109   pc  | -14.9400    +14.9400    |ST-L    |2020AJ....160...83S
7   |CD-35 14698                                                           |Star                              |21 18 22.6541202984 -34 56 11.324891652|009.4010660144711 -44.2277002732178|   8.942 -2.800     |10.50    |F2             |    ~     ~    |    1|  339.486   pc  |  -7.6940     +7.6940    |ST-L    |2020AJ....160...83S
8   |CD-35 14704                                                           |Star                              |21 19 20.4587071056 -35 14 55.343496840|008.9918878163019 -44.4528275625720| 26.287 -13.090     |10.576   |G0             |    ~     ~    |    1|  210.742   pc  |  -2.7580     +2.7580    |ST-L    |2020AJ....160...83S
9   |CD-35 14706                                                           |High Proper Motion Star           |21 19 30.2762836704 -35 25 59.425495752|008.7384161349283 -44.5021409804247| 54.875 -28.048     |10.60    |G2             |    ~     ~    |    1|  173.250   pc  |  -0.5133     +0.5133    |paral   |2020yCat.1350....0G
10  |CD-35 14718                                                           |High Proper Motion Star           |21 20 38.5067353200 -35 11 25.597025052|009.1061759037097 -44.7123461014153| 23.635 -56.861     |10.16    |G5             |    ~     ~    |    1|  180.674   pc  |  -3.3550     +3.3550    |ST-L    |2020AJ....160...83S
11  |HD 203103                                                             |Star                              |21 21 14.0240581416 -35 26 06.439634160|008.7770119441851 -44.8532913509259|  1.514 -39.557     |9.18     |K2III          |    ~     ~    |    1|  450.653   pc  |  -3.3510     +3.3510    |paral   |2020yCat.1350....0G
12  |HD 203195                                                             |Star                              |21 21 49.6376323896 -35 18 36.013386744|008.9670738979630 -44.9636345826397|   13.557 4.274     |9.70     |F2V            |    ~     ~    |    1|  200.393   pc  |  -0.9076     +0.9076    |paral   |2020yCat.1350....0G
13  |HD 203273                                                             |Star                              |21 22 15.4608233904 -35 00 04.015360044|009.4128176697414 -45.0251800184823| 30.248 -19.439     |9.35     |K1III          |    ~     ~    |    1|  447.087   pc  |  -3.3781     +3.3781    |paral   |2020yCat.1350....0G
14  |HD 202227                                                             |Star                              |21 15 28.6209383280 -35 42 53.624185884|008.2477935171428 -43.7109540223082|    8.783 9.179     |8.22     |G8III          |    ~     ~    |    1|  257.334   pc  |  -1.7880     +1.7880    |paral   |2020yCat.1350....0G
15  |HD 202293                                                             |Spectroscopic Binary              |21 15 51.0435463824 -35 30 14.877782568|008.5478621202747 -43.7674268521936|   7.446 -5.968     |7.94     |K5III          |    ~     ~    |    1|  666.978   pc  |  -9.7869     +9.7869    |paral   |2020yCat.1350....0G
16  |HD 202963                                                             |Spectroscopic Binary              |21 20 11.4404299368 -35 30 44.633229444|008.6440490411562 -44.6479798937415|-14.236 -44.286     |8.94     |K1III          |    ~     ~    |    1|  411.167   pc  | -15.4520    +15.4520    |paral   |2020yCat.1350....0G
17  |HD 203004                                                             |Star                              |21 20 31.9830082008 -35 42 11.563359732|008.3843915561056 -44.7326991499328|  -8.983 -1.346     |7.74     |K0III          |    ~     ~    |    1|  277.917   pc  |  -1.7147     +1.7147    |paral   |2020yCat.1350....0G
18  |HD 203196                                                             |Star                              |21 21 41.4216240480 -35 45 15.600308040|008.3379028159836 -44.9708013173288|-30.533 -18.194     |9.51     |G2/3V          |    ~     ~    |    1|  132.375   pc  |  -0.6343     +0.6343    |paral   |2020yCat.1350....0G
19  |HD 202287                                                             |Star                              |21 15 46.7848502832 -36 12 38.552912460|007.5709892755593 -43.8142176414066|  28.762 -6.454     |6.14     |K3III          |    ~     ~    |    1|  231.669   pc  |  -2.5977     +2.5977    |paral   |2020yCat.1350....0G
20  |HD 202373                                                             |Star                              |21 16 20.1008267544 -36 05 23.560215576|007.7506378897614 -43.9161422995162| 10.626 -38.639     |9.48     |G0V            |    ~     ~    |    1|   98.442   pc  |  -0.1560     +0.1560    |paral   |2020yCat.1350....0G
21  |HD 202399                                                             |Star                              |21 16 36.7854995928 -36 17 54.538922292|007.4679760805982 -43.9886295285531| 32.970 -24.950     |9.651    |G8(III)        |    ~     ~    |    1|  211.586   pc  |  -2.7620     +2.7620    |ST-L    |2020AJ....160...83S
22  |HD 202398                                                             |High Proper Motion Star           |21 16 37.9713331848 -36 10 24.139068888|007.6417585742928 -43.9828004961899|  60.547 -2.012     |8.09     |F5/6V          |    ~     ~    |    1|   70.627   pc  |  -0.1302     +0.1302    |paral   |2020yCat.1350....0G
23  |HD 202742                                                             |Star                              |21 19 01.0129412640 -36 13 51.141977508|007.6128481018009 -44.4667223174867| 27.070 -30.890     |9.51     |F2V            |    ~     ~    |    1|  263.793   pc  |  -4.2160     +4.2160    |ST-L    |2020AJ....160...83S
24  |HD 202944                                                             |High Proper Motion Star           |21 20 11.7254361648 -35 51 57.079819764|008.1487816324371 -44.6770266576189|  65.745 -7.948     |9.67     |G6IV/V         |    ~     ~    |    1|   97.875   pc  |  -0.1600     +0.1600    |paral   |2020yCat.1350....0G
25  |CD-36 14742                                                           |Star                              |21 20 46.1776205208 -36 19 41.388217608|007.5111994456641 -44.8259064810142|  -19.304 6.124     |10.27    |G5             |    ~     ~    |    1|  357.743   pc  |  -3.3787     +3.3787    |paral   |2020yCat.1350....0G
26  |HD 203197                                                             |Star                              |21 21 47.9788659240 -36 25 02.069469336|007.4047216027463 -45.0386067334793|   15.765 8.974     |9.12     |G8III          |    ~     ~    |    1|  422.440   pc  |  -3.3728     +3.3728    |paral   |2020yCat.1350....0G
27  |HD 203253                                                             |Star                              |21 22 06.6602113896 -36 24 42.417222084|007.4180100595992 -45.1007802025231|  -28.251 5.024     |8.71     |F5V            |    ~     ~    |    1|  166.182   pc  |  -0.8285     +0.8285    |paral   |2020yCat.1350....0G
28  |HD 202728                                                             |Star                              |21 18 55.9154477160 -36 35 38.865375564|007.1033748845571 -44.4750621632174|  -14.890 5.331     |9.38     |G8III/IV       |    ~     ~    |    1|  530.922   pc  | -13.5800    +13.5800    |ST-L    |2020AJ....160...83S
29  |HD 202985                                                             |Star                              |21 20 20.2291881672 -36 47 17.881342440|006.8562793761008 -44.7685365318597|  10.991 14.250     |8.87     |F3V            |    ~     ~    |    1|  138.629   pc  |  -0.3863     +0.3863    |paral   |2020yCat.1350....0G
30  |HD 203120                                                             |Star                              |21 21 18.2013324984 -36 46 20.584172100|006.8948540560857 -44.9607217870537|   9.368 -5.005     |9.14     |G8III          |    ~     ~    |    1|  453.968   pc  |  -3.5035     +3.5035    |paral   |2020yCat.1350....0G
31  |IRAS 21129-3536                                                       |Long-Period Variable              |21 16 01.9483400952 -35 24 02.814666372|008.6951544771073 -43.7946738419018|   9.429 -9.377     |10.90    |~              |    ~     ~    |    1| 1971.220   pc  |-126.6741   +126.6741    |paral   |2020yCat.1350....0G
32  |CD-36 14700                                                           |High Proper Motion Star           |21 15 53.3156071776 -36 08 43.902360600|007.6635033217562 -43.8308220835684|-27.399 -64.065     |10.32    |~              |    ~     ~    |    1|  186.815   pc  |  -0.8132     +0.8132    |paral   |2020yCat.1350....0G
