C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |CD-36 14829                                                                                              |Star                                  |21 30 16.7174442936 -35 57 47.181108132|008.1964751243581 -46.7205923782506|  6.016 -26.176   |10.224   |G2             |    ~     ~    |    1|  202.673   pc  |  -3.2040     +3.2040  |ST-L    |2020AJ....160...83S
2   |HD 204636                                                                                                |High Proper Motion Star               |21 30 59.8418848224 -37 05 54.005676828|006.5473328291021 -46.9101146076409|-22.503 -44.478   |9.66     |G5V            |    ~     ~    |    1|   92.547   pc  |  -0.6492     +0.6492  |paral   |2020yCat.1350....0G
3   |HD 204745                                                                                                |High Proper Motion Star               |21 31 45.3375320304 -37 06 31.248100548|006.5382394934308 -47.0615282418107|  45.389 58.652   |9.35     |F6V            |    ~     ~    |    1|  144.325   pc  |  -0.3895     +0.3895  |paral   |2020yCat.1350....0G
4   |HD 204767                                                                                                |Spectroscopic Binary                  |21 31 49.4487538752 -37 09 19.337585652|006.4702280581279 -47.0763847594291|  54.306 13.964   |9.24     |F7/8V          |    ~     ~    |    1|  137.779   pc  |  -4.1174     +4.1174  |paral   |2020yCat.1350....0G
5   |HD 204805                                                                                                |Star                                  |21 32 00.1593219912 -37 25 17.552031168|006.0805106184160 -47.1178803921705|  -0.954 -2.143   |9.23     |K0III          |    ~     ~    |    1|  509.684   pc  |  -4.7020     +4.7020  |paral   |2020yCat.1350....0G
6   |HD 204804                                                                                                |Star                                  |21 32 02.0708839392 -36 58 18.271581672|006.7415106414196 -47.1134298360021| -41.236 17.093   |9.808    |G0V            |    ~     ~    |    1|  147.805   pc  |  -1.4200     +1.4200  |ST-L    |2020AJ....160...83S
7   |HD 204806                                                                                                |delta Sct Variable                    |21 32 02.6867862264 -37 46 11.382238164|005.5688986151743 -47.1319648931989| 39.805 -14.311   |9.03     |A5mA8-F0/2     |    ~     ~    |    1|  182.825   pc  |  -3.6266     +3.6266  |paral   |2020yCat.1350....0G
8   |HD 205046                                                                                                |Star                                  |21 33 34.6521329424 -37 53 11.977934172|005.4011579032782 -47.4357845518133|  3.681 -13.545   |9.34     |K1III          |    ~     ~    |    1|  460.829   pc  |  -3.5677     +3.5677  |paral   |2020yCat.1350....0G
9   |CD-36 14837                                                                                              |Star                                  |21 31 18.5982440798 -36 07 43.587822397|007.9693961544540 -46.9368542882170|    -25.4 -14.8   |10.03    |~              |    ~     ~    |    0|                |                       |        |                   
10  |CD-37 14336                                                                                              |Star                                  |21 32 23.9802848112 -36 40 10.404556500|007.1888853375538 -47.1772391140301|    0.232 4.322   |10.85    |~              |    ~     ~    |    1|  359.531   pc  |  -3.8908     +3.8908  |paral   |2020yCat.1350....0G
11  |CD-37 14339                                                                                              |Star                                  |21 32 39.6034624320 -37 01 00.259157028|006.6802934330493 -47.2395024703203|-23.892 -26.973   |9.70     |~              |    ~     ~    |    1| 2016.536   pc  | -61.8095    +61.8095  |paral   |2020yCat.1350....0G
12  |CD-37 14341                                                                                              |Star                                  |21 33 33.3702832608 -37 18 31.550990652|006.2552763650062 -47.4243741683213|   7.009 -1.910   |10.697   |~              |    ~     ~    |    1|  280.629   pc  | +42.049      +5       |ST-L    |2017AJ....153...75K
13  |HD 204706                                                                                                |High Proper Motion Star               |21 31 28.7733702768 -38 33 23.284283832|004.4127064070312 -47.0259966169155| 33.132 -37.031   |9.86     |K4/5V          |    ~     ~    |    1|   43.706   pc  |  -0.1257     +0.1257  |paral   |2020yCat.1350....0G
14  |CD-38 14584                                                                                              |Star                                  |21 31 31.5029929776 -38 19 32.756445192|004.7511974587050 -47.0344426272802|  -13.113 7.023   |10.826   |~              |    ~     ~    |    1|  463.574   pc  | -12.2400    +12.2400  |ST-L    |2020AJ....160...83S
15  |CD-39 14296                                                                                              |Star                                  |21 32 05.9747713008 -38 32 00.575156400|004.4463195687778 -47.1472462577322|  2.811 -33.713   |10.42    |~              |    ~     ~    |    1|  125.030   pc  |  -0.2298     +0.2298  |paral   |2020yCat.1350....0G
16  |CD-39 14297                                                                                              |Star                                  |21 32 14.9026040424 -38 37 34.098063744|004.3099594937669 -47.1761015046060| -10.919 -1.066   |10.09    |~              |    ~     ~    |    1|  675.767   pc  |  -9.9095     +9.9095  |paral   |2020yCat.1350....0G
17  |CD-37 14310                                                                                              |Long-Period Variable                  |21 30 01.3072540104 -36 58 30.978169572|006.7182971235736 -46.7117288479085|    2.671 0.397   |10.21    |~              |    ~     ~    |    1| 1077.354   pc  | -75.6771    +75.6771  |paral   |2020yCat.1350....0G
18  |TYC 7980-804-1                                                                                           |Star                                  |21 31 54.5080402200 -38 21 34.841315232|004.7017661637774 -47.1097329915424|  -9.530 -2.424   |10.46    |~              |    ~     ~    |    1| 1328.374   pc  | -35.6445    +35.6445  |paral   |2020yCat.1350....0G
19  |TYC 7980-952-1                                                                                           |Star                                  |21 31 47.2956087432 -38 22 28.911919152|004.6796178294177 -47.0862078498364| -2.864 -20.867   |10.62    |~              |    ~     ~    |    1|  945.180   pc  | -12.7751    +12.7751  |paral   |2020yCat.1350....0G
