C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 206869                                                                                                |Star                                  |21 45 57.3283111560 -37 10 50.747583216|006.4598385213879 -49.8915239467393| 13.738 -41.181   |9.13     |K2III            |    ~     ~    |    1|  410.206   pc  |  -3.0625     +3.0625  |paral   |2020yCat.1350....0G
2   |CD-37 14466                                                                                              |Star                                  |21 47 12.9016081584 -37 24 51.835323384|006.0899624497550 -50.1381855384675|  -12.116 2.287   |10.217   |~                |    ~     ~    |    1|  279.637   pc  |  -5.5960     +5.5960  |ST-L    |2020AJ....160...83S
3   |CD-38 14715                                                                                              |Star                                  |21 45 32.9309809032 -37 39 55.708950384|005.7103258700759 -49.8027614844980| 27.887 -22.718   |10.54    |G0               |    ~     ~    |    1|  296.991   pc  |  -2.1257     +2.1257  |paral   |2020yCat.1350....0G
4   |CD-38 14725                                                                                              |Star                                  |21 47 13.6548836016 -37 27 23.970693492|006.0239602477777 -50.1397955965189|  19.787 -0.684   |9.20     |K5               |    ~     ~    |    1|  439.020   pc  |  -3.1416     +3.1416  |paral   |2020yCat.1350....0G
5   |HD 207104                                                                                                |Star                                  |21 47 34.5908183304 -37 57 07.316275356|005.2479668398584 -50.1954212312309|-29.208 -20.667   |6.78     |K0III            |    ~     ~    |    1|  168.447   pc  |  -0.6384     +0.6384  |paral   |2020yCat.1350....0G
6   |HD 206710                                                                                                |Star                                  |21 45 01.7919070128 -38 46 08.726408904|004.0086385078319 -49.6659044317862|   -6.385 7.663   |9.71     |F5/6V            |    ~     ~    |    1|  279.213   pc  |  -1.3643     +1.3643  |paral   |2020yCat.1350....0G
7   |CD-39 14417                                                                                              |Star                                  |21 46 03.2011754688 -38 30 30.352314132|004.3991768818140 -49.8763087288434|  9.338 -27.188   |10.40    |~                |    ~     ~    |    1|  366.086   pc  |  -2.3855     +2.3855  |paral   |2020yCat.1350....0G
8   |HD 206884                                                                                                |High Proper Motion Star               |21 46 04.0764842304 -38 31 33.023412012|004.3720068925745 -49.8784621879532| 58.380 -22.381   |8.56     |F2IV             |    ~     ~    |    1|  136.435   pc  |  -0.3611     +0.3611  |paral   |2020yCat.1350....0G
9   |HD 206920                                                                                                |Spectroscopic Binary                  |21 46 24.2059862880 -39 15 48.180191112|003.2235599397576 -49.9079662108427|  30.737 10.614   |8.62     |K0III            |    ~     ~    |    1|  381.898   pc  | -10.5447    +10.5447  |paral   |2020yCat.1350....0G
10  |HD 206933                                                                                                |Spectroscopic Binary                  |21 46 30.8725706108 -38 43 18.216731868|004.0622412798102 -49.9571946363852|  -12.902 0.622   |8.34     |F5V              |    ~     ~    |    1|  147.593   pc  |  -0.8778     +0.8778  |paral   |2020yCat.1350....0G
