C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |CD-38 14834                                                                                              |Star                              |22 01 27.3698476680 -38 19 56.301805488|004.3867033029393 -52.8981330844084|  -0.966 -2.142    |9.88     |K1              |    ~     ~    |    1| 1432.049   pc  | -33.6325    +33.6325  |paral   |2020yCat.1350....0G
2   |HD 208993                                                                                                |Star                              |22 01 01.3483988280 -38 53 35.259204264|003.4742612121115 -52.7646724513176|   6.879 12.017    |8.78     |F3IV/V          |    ~     ~    |    1|  250.746   pc  |  -1.3078     +1.3078  |paral   |2020yCat.1350....0G
3   |HD 209315                                                                                                |Star                              |22 03 23.1385658040 -38 45 11.929109868|003.6326107874030 -53.2361813268766|-14.552 -21.842    |8.78     |G8III/IV        |    ~     ~    |    1|  402.414   pc  |  -2.6882     +2.6882  |paral   |2020yCat.1350....0G
4   |HD 209497                                                                                                |Double or Multiple Star           |22 04 43.80563 -38 38 35.1452          |003.77323516 -53.50806417          |   25.25 -39.22    |9.89     |G1V             |    ~     ~    |    0|                |                       |        |                   
5   |HD 209854                                                                                                |Star                              |22 07 12.9161915208 -38 56 01.362219108|003.1975263455266 -53.9586245048791|  -29.121 0.044    |8.61     |F6V             |    ~     ~    |    1|  160.888   pc  |  -0.4219     +0.4219  |paral   |2020yCat.1350....0G
6   |HD 209242                                                                                                |Star                              |22 02 47.4390675384 -39 39 22.202806464|002.1569652881492 -53.0250617325885| -11.604 -2.909    |7.82     |K2III           |    ~     ~    |    1|  399.888   pc  |  -2.9424     +2.9424  |paral   |2020yCat.1350....0G
7   |CD-40 14621                                                                                              |Star                              |22 03 35.2435131912 -39 35 22.869483648|002.2370823810828 -53.1852031405495| 20.776 -31.535    |9.73     |K0              |    ~     ~    |    1|  538.213   pc  |  -4.5479     +4.5479  |paral   |2020yCat.1350....0G
8   |HD 209525                                                                                                |Double or Multiple Star           |22 05 00.516504 -39 42 19.19016        |001.989490726 -53.442767010        |     63.5 -25.9    |9.39     |K0III+(F)       |    ~     ~    |    0|                |                       |        |                   
9   |* lam Gru                                                                                                |High Proper Motion Star           |22 06 06.8856828 -39 32 36.065850      |002.2153298454 -53.6743074748      | -23.80 -124.58    |4.458    |K3III           |    ~     ~    |    1|   77.5500  pc  |  -1.6917     +1.6917  |paral   |2018yCat.1345....0G
10  |CD-40 14646                                                                                              |Star                              |22 06 56.3497890672 -39 38 07.082877300|002.0269571954836 -53.8201576606836| 32.071 -19.197    |9.72     |K1              |    ~     ~    |    1|  377.566   pc  |  -9.5170     +9.5170  |ST-L    |2020AJ....160...83S
11  |HD 209120                                                                                                |High Proper Motion Star           |22 01 58.1736619152 -40 18 57.815033400|001.1029847302731 -52.7881541732141|-63.288 -22.704    |9.88     |G5V             |    ~     ~    |    1|   92.950   pc  |  -0.4852     +0.4852  |ST-L    |2020AJ....160...83S
12  |HD 209119                                                                                                |Star                              |22 02 03.3338338872 -40 11 20.791577436|001.3078179248910 -52.8205899297543|   -1.455 1.007    |10.54    |A1IV/V          |    ~     ~    |    1|  580.078   pc  | -21.5000    +21.5000  |ST-L    |2020AJ....160...83S
13  |CD-40 14608                                                                                              |Star                              |22 02 05.6028718800 -40 09 15.743009196|001.3633470005221 -52.8321220485239|    0.099 4.099    |9.39     |~               |    ~     ~    |    1|  518.968   pc  |  -4.7940     +4.7940  |paral   |2020yCat.1350....0G
14  |HD 209670                                                                                                |Star                              |22 06 05.0155743840 -40 14 33.539340624|001.0479746874876 -53.5755365188029|  10.857 -8.278    |9.12     |K0III           |    ~     ~    |    1|  498.902   pc  |  -3.6340     +3.6340  |paral   |2020yCat.1350....0G
15  |CD-40 14590                                                                                              |Star                              |22 00 12.6006552048 -39 48 35.088888564|001.9981203370680 -52.5146569066602|   -4.512 4.808    |9.97     |~               |    ~     ~    |    1|  762.544   pc  |  -8.1406     +8.1406  |paral   |2020yCat.1350....0G
16  |CD-40 14591                                                                                              |Star                              |22 00 23.0393088840 -39 38 34.827647244|002.2645789653667 -52.5662070706341|   1.392 -9.763    |10.86    |~               |    ~     ~    |    1|  356.761   pc  |  -2.4437     +2.4437  |paral   |2020yCat.1350....0G
17  |CD-39 14522                                                                                              |Star                              |22 00 31.2970182840 -38 37 22.184286384|003.9332170496390 -52.6915742258052|-17.674 -16.450    |10.16    |~               |    ~     ~    |    1|  267.201   pc  |  -1.0924     +1.0924  |paral   |2020yCat.1350....0G
18  |CD-39 14531                                                                                              |Star                              |22 01 48.2488670400 -38 43 20.613063504|003.7324362682624 -52.9320918517639| 24.547 -33.179    |10.45    |~               |    ~     ~    |    1|  235.224   pc  |  -3.4970     +3.4970  |ST-L    |2020AJ....160...83S
19  |CD-40 14604                                                                                              |Star                              |22 01 54.3794860632 -39 43 38.920180368|002.0720905744542 -52.8478349977949|  34.440 -5.289    |10.406   |~               |    ~     ~    |    1|  171.373   pc  |  -1.6020     +1.6020  |ST-L    |2020AJ....160...83S
20  |CD-39 14535                                                                                              |Star                              |22 02 03.4839383352 -39 06 44.927242920|003.0802910561768 -52.9435559383574|  15.731 -7.697    |9.57     |~               |    ~     ~    |    1| 1572.822   pc  | -53.4334    +53.4334  |paral   |2020yCat.1350....0G
21  |CD-39 14538                                                                                              |Star                              |22 02 23.3019891576 -38 53 40.577356140|003.4298006426445 -53.0290918384563|   18.485 4.197    |10.270   |~               |    ~     ~    |    1|  540.976   pc  | -22.8400    +22.8400  |ST-L    |2020AJ....160...83S
22  |CD-39 14555                                                                                              |Star                              |22 04 40.6942856448 -39 06 19.381276152|003.0024523127779 -53.4497405703835| -15.156 -4.569    |10.23    |~               |    ~     ~    |    1|  296.974   pc  |  -9.3926     +9.3926  |paral   |2020yCat.1350....0G
23  |CD-39 14557                                                                                              |Star                              |22 04 58.6229995032 -38 48 13.080951144|003.4963668264457 -53.5397032489745|  7.826 -12.813    |10.64    |~               |    ~     ~    |    1|  222.826   pc  | -18.6889    +18.6889  |paral   |2020yCat.1350....0G
24  |CD-39 14572                                                                                              |High Proper Motion Star           |22 06 59.9852129304 -39 19 45.354076032|002.5390529927378 -53.8703411634210|156.184 -91.019    |10.49    |~               |    ~     ~    |    1|   87.381   pc  |  -0.6535     +0.6535  |ST-L    |2020AJ....160...83S
25  |CD-40 14616                                                                                              |Star                              |22 02 41.7664117584 -40 16 40.135112760|001.1361106063554 -52.9304723246997|  16.181 -1.737    |10.784   |~               |    ~     ~    |    1|  367.217   pc  |  -9.5290     +9.5290  |ST-L    |2020AJ....160...83S
26  |CD-41 14748                                                                                              |Star                              |22 05 09.7417077744 -40 44 36.184300944|000.2586382573548 -53.3296155047395| 35.405 -21.141    |10.83    |~               |    ~     ~    |    1|  345.901   pc  |  -2.1178     +2.1178  |paral   |2020yCat.1350....0G
27  |CD-41 14752                                                                                              |Star                              |22 06 05.3523521688 -40 31 04.752787656|000.5890440352843 -53.5369340521958|  10.493 -1.696    |10.655   |~               |    ~     ~    |    1|  336.601   pc  |  -9.9430     +9.9430  |ST-L    |2020AJ....160...83S
28  |CD-41 14758                                                                                              |High Proper Motion Star           |22 07 18.1160131056 -40 27 41.501342376|000.6254034853760 -53.7733420486173|   81.880 3.121    |10.433   |~               |    ~     ~    |    1|  338.934   pc  |  -6.9530     +6.9530  |ST-L    |2020AJ....160...83S
29  |CPD-40 9647                                                                                              |Star                              |22 04 13.2805207896 -39 35 15.977640192|002.2160887274620 -53.3067070690262|  4.175 -12.908    |10.535   |~               |    ~     ~    |    1|  854.421   pc  | -68.8100    +68.8100  |ST-L    |2020AJ....160...83S
30  |CD-40 14638                                                                                              |Star                              |22 06 07.8867529872 -39 50 49.075213128|001.7065451879190 -53.6385538736535|   20.446 1.034    |9.79     |~               |    ~     ~    |    1| 1069.061   pc  | -26.1722    +26.1722  |paral   |2020yCat.1350....0G
31  |CD-39 14564                                                                                              |Star                              |22 06 10.3167396936 -38 53 01.089286512|003.3203365202612 -53.7625207136299|   9.015 -1.149    |10.154   |~               |    ~     ~    |    1|  678.030   pc  | -19.6700    +19.6700  |ST-L    |2020AJ....160...83S
32  |CD-41 14746                                                                                              |Star                              |22 04 56.2013198472 -40 35 09.486198924|000.5298339968816 -53.3104282397428|   9.679 -7.790    |10.25    |~               |    ~     ~    |    1| 1045.588   pc  | -18.0387    +18.0387  |paral   |2020yCat.1350....0G
33  |HD 209526                                                                                                |Star                              |22 05 02.6110658616 -40 53 01.007226384|000.0322965577405 -53.2862654149356|  33.178 -5.842    |9.50     |K1III           |    ~     ~    |    1|  257.076   pc  |  -9.0739     +9.0739  |paral   |2020yCat.1350....0G
