C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 211044                                                                                                                                   |Star                                  |22 15 16.7612819496 -39 08 27.208570740|002.4895693500443 -55.4843360049528|   -2.470 7.702   |9.26     |K2III          |    ~     ~    |    1|  691.372   pc  |  -8.8907     +8.8907  |paral   |2020yCat.1350....0G
2   |HD 211066                                                                                                                                   |Star                                  |22 15 26.4694532256 -39 34 49.044073260|001.7150574221461 -55.4486125620077|  8.734 -15.112   |10.04    |M2/3           |    ~     ~    |    1| 1220.554   pc  | -39.1805    +39.1805  |paral   |2020yCat.1350....0G
3   |CD-40 14724                                                                                                                                 |High Proper Motion Star               |22 18 26.6524591152 -39 44 42.836154504|001.2571539641175 -55.9914886371594| 24.701 -96.142   |10.97    |F5             |    ~     ~    |    1|  270.190   pc  |  -1.0001     +1.0001  |paral   |2020yCat.1350....0G
4   |HD 211562                                                                                                                                   |High Proper Motion Star               |22 18 42.4228159872 -39 33 12.340981872|001.5800263796040 -56.0739893923193| 30.120 -46.630   |8.05     |F3V            |    ~     ~    |    1|   94.858   pc  |  -0.2303     +0.2303  |paral   |2020yCat.1350....0G
5   |HD 211132                                                                                                                                   |High Proper Motion Star               |22 15 57.0055019064 -40 19 19.683620040|000.3971437461036 -55.4205682038068|104.796 -11.994   |10.06    |G2V(+F/G)      |    ~     ~    |    1|   99.179   pc  |  -0.1279     +0.1279  |paral   |2020yCat.1350....0G
6   |HD 211191                                                                                                                                   |High Proper Motion Star               |22 16 14.6281536072 -39 47 41.689941252|001.2970120024339 -55.5663534210094|-20.172 -99.293   |9.70     |G3V            |    ~     ~    |    1|   89.399   pc  |  -0.1095     +0.1095  |paral   |2020yCat.1350....0G
7   |HD 211238                                                                                                                                   |Star                                  |22 16 35.4658186392 -40 15 39.725721612|000.4648872280764 -55.5517205021345|   27.354 9.277   |8.91     |K0III          |    ~     ~    |    1|  440.567   pc  | -16.2656    +16.2656  |paral   |2020yCat.1350....0G
8   |* mu.01 Gru                                                                                                                                 |Double or Multiple Star               |22 15 36.9188246184 -41 20 48.345473292|358.6511617810362 -55.1644006598915|  41.607 41.819   |4.798    |G8III+G        |0.0000  0.0    |    1|  107.144   pc  |  -5.5505     +5.5505  |paral   |2020yCat.1350....0G
9   |HD 211328B                                                                                                                                  |Star                                  |22 17 15.3197337840 -41 22 49.018429308|358.4828742393419 -55.4587524183220| 20.357 -18.828   |10.23    |~              |    ~     ~    |    1|  194.598   pc  |  -0.7233     +0.7233  |paral   |2020yCat.1350....0G
10  |CPD-41 9762                                                                                                                                 |Star                                  |22 16 01.6634074008 -41 05 27.607823700|359.0636324611879 -55.2912520516775| 20.632 -19.986   |10.92    |~              |    ~     ~    |    1|  320.901   pc  |  -5.8840     +5.8840  |ST-L    |2020AJ....160...83S
11  |CD-41 14824                                                                                                                                 |Star                                  |22 17 14.1004663440 -40 51 57.516197148|359.3737763214170 -55.5587981964699|   3.300 -7.199   |10.31    |~              |    ~     ~    |    1|  573.296   pc  |  -4.1412     +4.1412  |paral   |2020yCat.1350....0G
12  |CD-40 14707                                                                                                                                 |High Proper Motion Star               |22 15 20.5043471592 -39 41 31.550086068|001.5258514552180 -55.4119833605096|  9.071 -72.358   |10.63    |~              |    ~     ~    |    1|  153.231   pc  |  -0.4579     +0.4579  |paral   |2020yCat.1350....0G
13  |* mu.02 Gru                                                                                                                                 |Star                                  |22 16 26.5517539200 -41 37 37.854126516|358.1142719431947 -55.2582140286752|-17.666 -13.765   |5.117    |G8III          |    ~     ~    |    1|   68.927   pc  |  -1.2961     +1.2961  |paral   |2020yCat.1350....0G
14  |HD 211110                                                                                                                                   |Star                                  |22 15 44.1627303000 -41 49 39.862121952|357.8200253107783 -55.0868683660342|   11.598 3.899   |9.56     |K0III          |    ~     ~    |    1|  495.466   pc  |  -3.1913     +3.1913  |paral   |2020yCat.1350....0G
15  |CD-42 15831                                                                                                                                 |High Proper Motion Star               |22 15 01.6912943832 -41 30 27.733703508|358.4145428970610 -55.0241105091321| 51.122 -22.892   |10.066   |~              |    ~     ~    |    1|  423.012   pc  |  -2.5946     +2.5946  |paral   |2020yCat.1350....0G
16  |CD-42 15857                                                                                                                                 |High Proper Motion Star               |22 17 41.9676926016 -41 39 39.628814364|357.9677823791751 -55.4803750514653| 37.058 -63.433   |10.73    |~              |    ~     ~    |    1|  134.501   pc  |  -0.2533     +0.2533  |paral   |2020yCat.1350....0G
