C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:30:16

dec< 0&rah >=2.25&rah< 2.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2419

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 13993                                                                                                 |High Proper Motion Star           |02 15 08.3051142456 -38 02 28.423837500|250.0673626458799 -69.3396412931859|  75.186 32.247   |10.483   |F7V              |    ~     ~    |    1|  225.068   pc  |  -2.8250     +2.8250  |ST-L    |2020AJ....160...83S
2   |HD 14120                                                                                                 |Star                              |02 16 08.4035980464 -37 51 11.315405556|249.3478055852612 -69.2415440937786|  13.479 -2.965   |9.32     |G8III            |    ~     ~    |    1|  590.842   pc  |  -8.3084     +8.3084  |paral   |2020yCat.1350....0G
3   |HD 14111                                                                                                 |Star                              |02 15 59.4788319216 -38 27 40.783256100|250.9218948993905 -69.0046625407004|   14.933 5.124   |9.77     |A0mA9-F2         |    ~     ~    |    1|  267.903   pc  |  -4.9640     +4.9640  |ST-L    |2020AJ....160...83S
4   |CD-37 851                                                                                                |High Proper Motion Star           |02 15 09.3532442616 -37 19 02.114273424|248.1880447135994 -69.6407195374923| -98.569 22.181   |10.41    |~                |    ~     ~    |    1|   90.909   pc  |  -0.1322     +0.1322  |paral   |2020yCat.1350....0G
5   |CD-37 860                                                                                                |Star                              |02 15 58.1199949896 -37 16 34.105187424|247.8935794370873 -69.5093467831709|-38.072 -17.580   |10.63    |~                |    ~     ~    |    1|  205.913   pc  |  -2.2640     +2.2640  |ST-L    |2020AJ....160...83S
6   |CD-39 660                                                                                                |Star                              |02 15 03.6467994336 -38 26 02.496482376|251.0815627401703 -69.1798568221242| -10.595 -6.266   |10.799   |~                |    ~     ~    |    1|  315.556   pc  |  -5.1210     +5.1210  |ST-L    |2020AJ....160...83S
7   |CD-39 663                                                                                                |Star                              |02 16 06.2052000096 -39 07 12.432839700|252.5189526976740 -68.6847957155099|   0.953 -9.359   |10.14    |~                |    ~     ~    |    1|  981.932   pc  | -13.0166    +13.0166  |paral   |2020yCat.1350....0G
8   |HD 14248                                                                                                 |Star                              |02 17 21.2655172080 -37 08 05.983811664|247.2161644846111 -69.3110867468156|   7.557 10.746   |8.71     |K3/4III          |    ~     ~    |    1|  530.729   pc  |  -5.0138     +5.0138  |paral   |2020yCat.1350....0G
9   |CD-37 871                                                                                                |Star                              |02 17 40.7617015848 -36 48 33.103542348|246.2917704011308 -69.3744575113811|   34.595 9.383   |10.546   |~                |    ~     ~    |    1|  673.976   pc  | -22.3600    +22.3600  |ST-L    |2020AJ....160...83S
10  |HD 14450                                                                                                 |High Proper Motion Star           |02 19 06.3790510080 -36 53 29.334905448|246.2103077227453 -69.0787786114364|-61.137 -59.821   |10.175   |G0/1V            |    ~     ~    |    1|  148.958   pc  |  -1.2070     +1.2070  |ST-L    |2020AJ....160...83S
