C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1   |HD 213515                                                             |High Proper Motion Star       |22 32 39.6217565760 -40 55 02.813945448|358.0713606489113 -58.3866155345494| 56.719 -38.027   |10.047   |G5V             |    ~     ~    
2   |HD 213527                                                             |Star                          |22 32 43.0787052096 -41 07 55.434409212|357.6708730483329 -58.3413211355467|  10.370 -4.757   |9.914    |G8III/IV        |    ~     ~    
3   |CD-41 14931                                                           |High Proper Motion Star       |22 32 42.3444814704 -40 38 35.857877316|358.5736983371663 -58.4644069256735|-80.502 -40.723   |10.97    |K0              |    ~     ~    
4   |CD-42 15951                                                           |High Proper Motion Star       |22 30 37.3537723320 -41 26 26.960296596|357.3026123948502 -57.8804177069666|  -47.970 3.896   |10.46    |G5              |    ~     ~    
5   |HD 213255                                                             |High Proper Motion Star       |22 30 53.2025458824 -41 40 28.671547404|356.8540727214570 -57.8658829850746| 30.968 -52.189   |8.81     |F3V             |    ~     ~    
6   |HD 213333                                                             |Star                          |22 31 23.8736750784 -41 25 59.434850100|357.2442612034082 -58.0225997043076| 17.425 -21.995   |8.17     |K2III           |    ~     ~    
7   |CD-42 15961                                                           |Star                          |22 32 04.3971899808 -41 37 40.503834948|356.8254453492239 -58.0918963615928|  23.485 -4.515   |9.869    |K5              |    ~     ~    
8   |HD 213155                                                             |Rotating Variable             |22 30 15.7451839488 -42 17 27.843206856|355.8044777447831 -57.5842039478548|  31.318 -0.708   |6.916    |B9.5V           |    ~     ~    
9   |HD 213300                                                             |Star                          |22 31 11.4821284200 -41 55 22.835915364|356.3757999420477 -57.8526216448711| -3.433 -10.257   |9.60     |G8III           |    ~     ~    
10  |CD-41 14916                                                           |Star                          |22 30 52.3569702816 -40 29 07.684462644|359.0268800441830 -58.1653171551809|  4.916 -32.921   |10.80    |~               |    ~     ~    
11  |CD-41 14917                                                           |High Proper Motion Star       |22 30 53.9158146648 -40 35 56.995344204|358.8154428426755 -58.1428361320519| 18.813 -80.175   |10.49    |~               |    ~     ~    
12  |CD-42 15954                                                           |Star                          |22 31 02.3184408984 -41 24 44.581626864|357.3156804633626 -57.9631442269378| 30.278 -10.594   |9.80     |~               |    ~     ~    
13  |CD-41 14925                                                           |Star                          |22 31 50.1263516112 -40 58 16.742513100|358.0481531960346 -58.2222402382991|  9.519 -20.748   |10.634   |~               |    ~     ~    
14  |CD-41 14915                                                           |Star                          |22 30 38.9606287944 -41 15 38.732181408|357.6273991895090 -57.9320973511288|  -1.209 -9.454   |10.47    |~               |    ~     ~    
15  |HD 213697                                                             |Spectroscopic Binary          |22 33 58.2870118896 -40 09 22.884009696|359.3668103265015 -58.8177226103314|   -7.686 1.294   |9.21     |G6III           |    ~     ~    
16  |HD 213773                                                             |Star                          |22 34 28.5108350136 -40 12 10.894142412|359.2339723495444 -58.8996749420741| -6.160 -44.836   |10.09    |F8V             |    ~     ~    
17  |HD 213904                                                             |Star                          |22 35 21.9208118544 -40 13 51.284813628|359.0999721144690 -59.0574283050862|  47.997 -3.569   |10.14    |G0V             |    ~     ~    
18  |HD 213698                                                             |High Proper Motion Star       |22 34 02.4801122232 -40 30 17.311609620|358.7089673143349 -58.7446468742981| 19.289 -76.266   |10.204   |G5V             |    ~     ~    
19  |HD 213827                                                             |Star                          |22 34 51.5890040256 -40 22 56.466023484|358.8622704694598 -58.9261743771375| 22.027 -13.552   |8.85     |F5IV            |    ~     ~    
20  |HD 214016                                                             |Star                          |22 36 05.3653660992 -41 10 29.347847076|357.2619142464729 -58.9407321673131| -3.129 -27.586   |8.87     |K0III/IV        |    ~     ~    
21  |* sig01 Gru                                                           |High Proper Motion Star       |22 36 29.3022614016 -40 34 57.736798932|358.3306842328739 -59.1737560039814| 45.625 -64.970   |6.276    |A3V             |    ~     ~    
22  |* sig02 Gru                                                           |High Proper Motion Star       |22 36 58.8533540496 -40 35 27.726103608|358.2665861138029 -59.2617155073040| 43.533 -69.825   |5.874    |A1V             |    ~     ~    
23  |HD 214161                                                             |Chemically Peculiar Star      |22 37 08.0751067608 -40 30 38.630349000|358.4030188306653 -59.3111678024758| 50.677 -23.982   |9.13     |G5/8wF(0)       |    ~     ~    
24  |CD-41 14969                                                           |High Proper Motion Star       |22 37 38.1656430312 -40 27 19.840498740|358.4579632062917 -59.4177469159014|-58.244 -51.201   |10.248   |F5              |    ~     ~    
25  |HD 214467                                                             |Star                          |22 38 57.0065496408 -40 53 46.048200288|357.4892246458351 -59.5366891428169|   29.100 3.076   |9.26     |G8III/IV        |    ~     ~    
