C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-41 15027                                                                                              |High Proper Motion Star               |22 47 34.4513520696 -41 19 58.860161148|355.6443818688408 -60.9477970811866|   55.589 0.395     |10.35    |~              |    ~     ~    |    1|  193.390   pc  |  -0.6769     +0.6769    |paral   |2020yCat.1350....0G
2   |CD-41 15041                                                                                              |High Proper Motion Star               |22 49 10.7006196528 -40 48 43.117854336|356.4585285851766 -61.4047765701994| 39.218 -46.554     |10.45    |~              |    ~     ~    |    1|  230.798   pc  |  -1.0227     +1.0227    |paral   |2020yCat.1350....0G
3   |CD-41 15044                                                                                              |Star                                  |22 49 27.5318720616 -41 10 50.873692008|355.6956908778751 -61.3325288422122|  7.908 -21.522     |10.31    |~              |    ~     ~    |    1|  242.813   pc  |  -1.1674     +1.1674    |paral   |2020yCat.1350....0G
4   |CD-41 15048                                                                                              |Chemically Peculiar Star              |22 50 14.0199769224 -40 57 42.839116956|356.0243593754219 -61.5435942842866|38.479 -119.103     |10.24    |F8             |    ~     ~    |    1|  885.112   pc  | -11.2813    +11.2813    |paral   |2020yCat.1350....0G
5   |CD-42 16070                                                                                              |Star                                  |22 47 00.3799355280 -41 42 33.613645392|354.9907174149099 -60.7209928620860|-14.448 -22.991     |9.31     |K0             |    ~     ~    |    1|  481.510   pc  |  -3.9415     +3.9415    |paral   |2020yCat.1350....0G
6   |HD 215725                                                                                                |High Proper Motion Star               |22 47 46.5603512712 -41 33 09.878953572|355.1923371009761 -60.9095133187252|-99.557 -35.650     |8.76     |F7V            |    ~     ~    |    1|  108.891   pc  |  -0.2265     +0.2265    |paral   |2020yCat.1350....0G
7   |HD 216054                                                                                                |High Proper Motion Star               |22 50 10.5271225576 -41 29 24.379272270|354.9936318849785 -61.3527166863546|-366.211 -208.576   |7.77     |G9V            |    ~     ~    |    1|   28.4821  pc  |  -0.0180     +0.0180    |paral   |2020yCat.1350....0G
8   |HD 216186                                                                                                |Star                                  |22 51 20.3623559808 -41 34 55.074908532|354.6529592823160 -61.5240372909307|-11.988 -21.254     |7.44     |M0III          |    ~     ~    |    1|  447.387   pc  |  -4.4635     +4.4635    |paral   |2020yCat.1350....0G
9   |HD 215454                                                                                                |Star                                  |22 45 50.0858929752 -41 48 16.822561788|354.9590300997388 -60.4831170618466|  -0.322 14.197     |9.53     |G8IV           |    ~     ~    |    1|  305.726   pc  |  -1.3086     +1.3086    |paral   |2020yCat.1350....0G
10  |CD-42 16099                                                                                              |High Proper Motion Star               |22 51 23.3913075096 -42 05 43.805868468|353.6456894043748 -61.3455912732837|121.801 -31.365     |10.96    |G5             |    ~     ~    |    1|  116.455   pc  |  -0.9055     +0.9055    |ST-L    |2020AJ....160...83S
