C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:53:14

dec< 0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2790

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-42 16172                                                           |High Proper Motion Star           |23 03 07.2801567552 -42 00 23.042812572|351.9453155853637 -63.3775655665714|58.218 -116.951   |10.67    |G5                |    ~     ~    |    1|  138.835   pc  |  -1.2250     +1.2250    |ST-L    |2020AJ....160...83S
2   |HD 217269                                                             |High Proper Motion Star           |23 00 05.9908241424 -42 41 12.379809228|351.1198969414551 -62.5813376492972|-61.264 -96.852   |10.375   |G3/5V             |    ~     ~    |    1|  100.825   pc  |  -2.7800     +2.7800    |ST-L    |2020AJ....160...83S
3   |HD 217330                                                             |High Proper Motion Star           |23 00 31.8732257448 -42 49 07.571151732|350.7869489257909 -62.5954321300990|13.974 -107.729   |9.71     |G8/K0V            |    ~     ~    |    1|  168.396   pc  |  -1.9420     +1.9420    |ST-L    |2020AJ....160...83S
4   |HD 217470                                                             |High Proper Motion Star           |23 01 29.8352237928 -42 26 34.582736472|351.3581787719023 -62.9186134729090|   65.364 3.864   |8.95     |F5V               |    ~     ~    |    1|  111.809   pc  |  -0.2438     +0.2438    |paral   |2020yCat.1350....0G
5   |HD 217612                                                             |Star                              |23 02 31.8131712360 -42 47 32.706752928|350.4849460933307 -62.9360563474414|   -4.164 6.536   |10.35    |F0V               |    ~     ~    |    1|  285.750   pc  |  -9.2450     +9.2450    |ST-L    |2020AJ....160...83S
6   |HD 217630                                                             |Star                              |23 02 36.9460583016 -42 29 15.841874616|351.0717734378243 -63.0849045433181|   -6.215 0.470   |9.70     |G8/K0III          |    ~     ~    |    1|  634.330   pc  | -22.5300    +22.5300    |ST-L    |2020AJ....160...83S
7   |HD 217766                                                             |High Proper Motion Star           |23 03 28.5447913032 -43 04 42.559443588|349.7518202308715 -62.9609268489929|-3.413 -128.296   |7.78     |F7V               |    ~     ~    |    1|   69.134   pc  |  -0.1262     +0.1262    |paral   |2020yCat.1350....0G
8   |HD 217270                                                             |Star                              |23 00 05.5339095144 -43 32 02.932907820|349.4811246568941 -62.2052979560918|  -9.463 -1.661   |9.81     |G6(IV)            |    ~     ~    |    1|  314.452   pc  |  -6.9160     +6.9160    |ST-L    |2020AJ....160...83S
9   |HD 217503                                                             |High Proper Motion Star           |23 01 45.0836638944 -43 34 25.574093940|349.1085815765894 -62.4543094468679|  51.104 -7.513   |10.261   |G0V               |    ~     ~    |    1|  230.913   pc  |  -5.5640     +5.5640    |ST-L    |2020AJ....160...83S
10  |CD-43 15227                                                           |Star                              |23 01 04.1138417544 -42 28 02.883891072|351.3842850447289 -62.8366841149822| 26.335 -13.863   |10.892   |~                 |    ~     ~    |    1|  247.368   pc  |  -4.1940     +4.1940    |ST-L    |2020AJ....160...83S
11  |CD-43 15225                                                           |Long-Period Variable              |23 00 20.2671751200 -42 34 09.401776068|351.3097038954148 -62.6713601114309|  11.709 -5.154   |10.762   |~                 |    ~     ~    |    1| 2790.590   pc  |-346.6000   +346.6000    |ST-L    |2020AJ....160...83S
12  |CD-43 15247                                                           |Star                              |23 03 11.9469497376 -42 52 36.685494408|350.1977397623019 -63.0077057691659|   -7.776 2.908   |10.369   |~                 |    ~     ~    |    1|  822.248   pc  | -69.9100    +69.9100    |ST-L    |2020AJ....160...83S
