C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 219298                                                                                                |Star                              |23 15 06.2603059056 -41 47 15.783422028|350.0388447019458 -65.4615830778128|  2.144 -32.737   |9.79     |K0/1(III)(+G)  |    ~     ~    |    1|  331.279   pc  |  -1.6352     +1.6352  |paral   |2020yCat.1350....0G
2   |HD 219494                                                                                                |Variable Star                     |23 16 34.1779146912 -42 12 26.988426360|348.8354088399937 -65.4901962069146|   1.981 -4.801   |9.51     |M1(III)        |    ~     ~    |    1|  974.184   pc  | -22.4921    +22.4921  |paral   |2020yCat.1350....0G
3   |HD 219609                                                                                                |Star                              |23 17 25.5631195056 -42 05 03.462042876|348.8981591008981 -65.6894607215409|  -1.266 -4.011   |10.59    |F8/G0V         |    ~     ~    |    1|  254.998   pc  |  -1.2745     +1.2745  |paral   |2020yCat.1350....0G
4   |HD 219630                                                                                                |High Proper Motion Star           |23 17 38.0179736160 -42 11 29.779709856|348.6263108915559 -65.6679885661675|288.808 -58.123   |10.40    |K6+Vk:         |    ~     ~    |    1|   33.037   pc  |  -0.1882     +0.1882  |paral   |2020yCat.1350....0G
5   |HD 219319                                                                                                |Star                              |23 15 15.3094128048 -43 15 49.548007764|346.9819123964815 -64.7380221414040| 20.065 -32.943   |9.58     |F5V            |    ~     ~    |    1|  184.145   pc  |  -0.6070     +0.6070  |paral   |2020yCat.1350....0G
6   |HD 219369                                                                                                |Star                              |23 15 41.4102842160 -42 41 25.968138360|348.0388255893009 -65.1043959957517|  45.937 -5.603   |9.92     |F8/G0V         |    ~     ~    |    1|  126.510   pc  |  -0.2625     +0.2625  |paral   |2020yCat.1350....0G
7   |HD 219380                                                                                                |Star                              |23 15 47.0822013576 -42 35 15.680631588|348.2276427700451 -65.1720721302870|  8.150 -21.198   |9.24     |K1III          |    ~     ~    |    1|  371.154   pc  |  -7.1633     +7.1633  |paral   |2020yCat.1350....0G
8   |CD-43 15315                                                                                              |Star                              |23 16 01.8375382224 -42 49 43.126479516|347.6813829913626 -65.0865116666472| 27.722 -11.827   |10.32    |F8             |    ~     ~    |    1|  827.130   pc  | -11.2884    +11.2884  |paral   |2020yCat.1350....0G
9   |HD 219342                                                                                                |High Proper Motion Star           |23 15 27.7188165672 -43 36 17.234620812|346.2605733458628 -64.5882892557142|-28.616 -97.611   |8.15     |F8V            |    ~     ~    |    1|  110.670   pc  |  -0.3233     +0.3233  |paral   |2020yCat.1350....0G
10  |CD-43 15323                                                                                              |Star                              |23 16 53.0140958880 -42 24 39.522628548|348.3425206251954 -65.4365472515081|   6.485 39.658   |10.44    |~              |    ~     ~    |    1|  262.347   pc  |  -4.7170     +4.7170  |ST-L    |2020AJ....160...83S
