C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |CD-42 16358                                                           |Double or Multiple Star           |23 30 50.1654719242 -42 01 22.035462269|345.5860761639896 -67.8093526589545| 10.667 -49.753   |9.98     |G5                   |    ~     ~    |    1|  183.286   pc  | -18.7500    +18.7500  |ST-L    |2020AJ....160...83S
2   |HD 221330                                                             |Double or Multiple Star           |23 31 25.86563 -42 09 34.0303          |345.12145975 -67.81833273          |    26.70 24.45   |8.27     |G0V                  |    ~     ~    |    0|                |                       |        |                   
3   |HD 221735                                                             |Star                              |23 34 50.5868592024 -42 05 27.663256464|344.2486946514949 -68.3650556011943|  13.007 -8.184   |9.24     |G8/K0III/IV          |    ~     ~    |    1|  523.341   pc  |  -5.4229     +5.4229  |paral   |2020yCat.1350....0G
4   |HD 221908                                                             |Star                              |23 36 20.2282147440 -42 03 40.457592828|343.8477961291214 -68.6019680903605|   5.162 -5.542   |9.56     |G3V                  |    ~     ~    |    1|  248.460   pc  |  -1.1297     +1.1297  |paral   |2020yCat.1350....0G
5   |HD 221984                                                             |Star                              |23 37 02.1779630688 -42 03 13.733824788|343.6421957088932 -68.7082556525949| -19.722 -6.448   |8.75     |A2V                  |    ~     ~    |    1|  239.762   pc  |  -2.1787     +2.1787  |paral   |2020yCat.1350....0G
6   |CD-43 15378                                                           |Star                              |23 30 04.8037957968 -42 28 41.474397324|344.8347450382721 -67.4283983049561| -0.395 -15.303   |10.047   |~                    |    ~     ~    |    1|  268.369   pc  |  -4.1500     +4.1500  |ST-L    |2020AJ....160...83S
7   |CD-43 15402                                                           |Star                              |23 32 17.5033195728 -42 56 34.352055600|343.2289721894940 -67.4707482180627|-19.811 -15.263   |9.36     |~                    |    ~     ~    |    1|  791.891   pc  | -22.3245    +22.3245  |paral   |2020yCat.1350....0G
8   |* iot Phe                                                             |alpha2 CVn Variable               |23 35 04.5603656472 -42 36 54.503275932|343.0670794487429 -68.0746332101866|   47.072 8.543   |4.71     |ApSrCrEu             |    ~     ~    |    1|   81.264   pc  |  -3.8315     +3.8315  |paral   |2020yCat.1350....0G
9   |CD-43 15424                                                           |High Proper Motion Star           |23 35 40.3118218224 -42 45 51.417244512|342.5722523578554 -68.0656700595736|  82.545 57.170   |9.90     |F8                   |    ~     ~    |    1|  113.807   pc  |  -0.2163     +0.2163  |paral   |2020yCat.1350....0G
10  |CD-43 15426                                                           |Star                              |23 35 41.7611461632 -43 09 00.457394076|341.7743051647387 -67.8225313271636|  16.089 27.157   |10.55    |F2                   |    ~     ~    |    1|  269.114   pc  |  -1.1081     +1.1081  |paral   |2020yCat.1350....0G
11  |HD 221844                                                             |High Proper Motion Star           |23 35 47.0262967512 -43 07 59.274886008|341.7814443506615 -67.8457222661670| 73.417 -14.684   |9.49     |F5V                  |    ~     ~    |    1|  219.719   pc  |  -2.9260     +2.9260  |ST-L    |2020AJ....160...83S
