C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 222997                                                             |Star                               |23 45 52.6148043768 -42 20 28.254862356|339.9996689712943 -69.7554618651800|  16.159 -7.362   |8.23     |K2III          |    ~     ~    |    1|  736.377   pc  | -40.2350    +40.2350    |paral   |2020yCat.1350....0G
2   |HD 223051                                                             |Star                               |23 46 24.9290360976 -43 15 14.337296172|337.9448812150127 -69.1863614279214| 29.790 -11.833   |9.883    |G0/5(IV)(+A/F) |    ~     ~    |    1|  248.830   pc  |  -4.8860     +4.8860    |ST-L    |2020AJ....160...83S
3   |CD-43 15506                                                           |Star                               |23 48 43.2830773176 -43 12 18.044428464|337.1839937878351 -69.5131989920651|  45.290 -7.751   |10.208   |~              |    ~     ~    |    1|  306.856   pc  |  -5.7890     +5.7890    |ST-L    |2020AJ....160...83S
4   |HD 223123                                                             |Star                               |23 46 59.7391294344 -43 27 00.123745356|337.3483872234749 -69.1192938921237|-17.640 -26.469   |9.12     |G6/8IV         |    ~     ~    |    1|  248.423   pc  |  -1.1972     +1.1972    |paral   |2020yCat.1350....0G
5   |CD-44 15359B                                                          |Star                               |23 47 39.0 -43 35 12                   |336.8432 -69.1021                  |            ~ ~   |10.6     |~              |    ~     ~    |    0|                |                         |        |                   
6   |CD-43 15485                                                           |Star                               |23 45 36.5195916696 -42 34 37.431064812|339.6067507648207 -69.5568931462414| 23.553 -30.692   |10.77    |~              |    ~     ~    |    1|  392.034   pc  |  -2.7203     +2.7203    |paral   |2020yCat.1350....0G
7   |CD-44 15352                                                           |Star                               |23 46 23.9436081288 -44 05 01.604001840|336.3570784272656 -68.5851130494226|  -9.528 -4.482   |10.86    |~              |    ~     ~    |    1|  282.979   pc  |  -5.3370     +5.3370    |ST-L    |2020AJ....160...83S
8   |CD-45 15129                                                           |Star                               |23 46 31.4853131304 -44 23 57.274132956|335.7284938310416 -68.3686788962603|  26.859 -9.712   |10.943   |~              |    ~     ~    |    1|  131.662   pc  |  -1.0080     +1.0080    |ST-L    |2020AJ....160...83S
9   |HD 222985                                                             |Star                               |23 45 44.7733855616 -44 39 01.012520088|335.5481615890645 -68.0897486992101| 20.375 -37.487   |9.45     |F6V            |    ~     ~    |    1|  174.250   pc  |  -3.9490     +3.9490    |ST-L    |2020AJ....160...83S
10  |CD-45 15126                                                           |Variable Star                      |23 46 26.2577669400 -44 45 00.988591824|335.1241500303858 -68.0980457060842| 28.647 -11.473   |10.300   |G5             |    ~     ~    |    1|  180.415   pc  |  -1.9420     +1.9420    |ST-L    |2020AJ....160...83S
